<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AFKS,M,20070901,000000,32776.0000000,39001.0000000,32776.0000000,34400.0000000,2226
AFKS,M,20071001,000000,34000.0000000,37999.9687500,33100.0000000,37500.0000000,19647
AFKS,M,20071101,000000,38450.0000000,38890.0000000,36900.0000000,38299.9804700,3039
AFKS,M,20071201,000000,43.0000000,43.0000000,40.0000000,40.8000000,10098500
AFKS,M,20080101,000000,41.2600000,46.5500000,36.0000000,38.6990000,15074200
AFKS,M,20080201,000000,39.4870000,41.5000000,37.2000000,38.2000000,9017800
AFKS,M,20080301,000000,38.0000000,39.0060000,33.3340000,33.7500000,6416000
AFKS,M,20080401,000000,34.0950000,35.3230000,30.0030000,31.5000000,8301700
AFKS,M,20080501,000000,32.3000000,36.4900000,31.1330000,35.8000000,17741100
AFKS,M,20080601,000000,35.3500000,36.7890000,33.3000000,34.3490000,8961000
AFKS,M,20080701,000000,33.7500000,33.7800000,26.5000000,27.2100000,9976700
AFKS,M,20080801,000000,27.0000000,30.0000000,20.0000000,25.2500000,5340900
AFKS,M,20080901,000000,25.4880000,26.5000000,13.5000000,16.6000000,9988800
AFKS,M,20081001,000000,17.0460000,17.8300000,3.4100000,6.2970000,15450400
AFKS,M,20081101,000000,7.0000000,8.6000000,3.7500000,5.1000000,15118600
AFKS,M,20081201,000000,5.0130000,5.4000000,4.3000000,4.4970000,28538500
AFKS,M,20090101,000000,4.7890000,5.3500000,4.3020000,5.2000000,20187000
AFKS,M,20090201,000000,5.0130000,6.0000000,4.6510000,5.3990000,36391800
AFKS,M,20090301,000000,5.3450000,8.3900000,5.0000000,7.5010000,36535800
AFKS,M,20090401,000000,7.5900000,9.3000000,7.4000000,8.6700000,36152000
AFKS,M,20090501,000000,8.9000000,15.2000000,8.8120000,14.5000000,42155200
AFKS,M,20090601,000000,14.6890000,15.0000000,10.1810000,11.7500000,70383300
AFKS,M,20090701,000000,11.9500000,13.8800000,10.2630000,13.4000000,20322600
AFKS,M,20090801,000000,13.7990000,14.7800000,13.0700000,14.0000000,13632200
AFKS,M,20090901,000000,14.0000000,16.8990000,13.1050000,15.9990000,26369100
AFKS,M,20091001,000000,16.1000000,22.8310000,15.1600000,18.3990000,29642000
AFKS,M,20091101,000000,18.4000000,23.7990000,17.4000000,22.4990000,28457800
AFKS,M,20091201,000000,22.9870000,26.7770000,22.3550000,23.8470000,18815000
AFKS,M,20100101,000000,25.5000000,29.1000000,25.0010000,27.2000000,23706800
AFKS,M,20100201,000000,26.9190000,27.4900000,24.2500000,26.9500000,14752300
AFKS,M,20100301,000000,27.0470000,31.2500000,26.7510000,29.8960000,24460700
AFKS,M,20100401,000000,29.8810000,35.8600000,29.0000000,30.2300000,28287600
AFKS,M,20100501,000000,30.2500000,30.5000000,24.6030000,28.6500000,20569800
AFKS,M,20100601,000000,28.6000000,29.1700000,25.7550000,26.0810000,9404000
AFKS,M,20100701,000000,25.9400000,28.5020000,25.1890000,26.1780000,11613700
AFKS,M,20100801,000000,26.3790000,28.1200000,25.5720000,26.0700000,17318000
AFKS,M,20100901,000000,26.1520000,27.9580000,25.9110000,27.8950000,19494900
AFKS,M,20101001,000000,27.7150000,27.8500000,26.2020000,27.1910000,14866000
AFKS,M,20101101,000000,27.2880000,27.7380000,26.0700000,26.3010000,14465400
AFKS,M,20101201,000000,26.2940000,27.2700000,25.5500000,27.2490000,36176100
AFKS,M,20110101,000000,27.3580000,29.5000000,27.1010000,27.9000000,29444800
AFKS,M,20110201,000000,28.0000000,30.4600000,27.6000000,29.8730000,39593700
AFKS,M,20110301,000000,30.0990000,35.4990000,29.0210000,34.0000000,110747600
AFKS,M,20110401,000000,34.0010000,36.4820000,30.6640000,31.7500000,33497100
