<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AFLT,M,19990801,000000,4.0000000,4.0000000,2.3000000,2.3000000,13750
AFLT,M,19990901,000000,2.5000000,2.5000000,0.0100000,1.4000000,1752
AFLT,M,19991001,000000,1.4900000,1.5500000,1.4900000,1.5500000,29400
AFLT,M,19991101,000000,1.7000000,2.2000000,1.6000000,2.2000000,62300
AFLT,M,19991201,000000,2.2000000,5.5000000,2.2000000,5.4000000,132881
AFLT,M,20000101,000000,7.0000000,7.0000000,5.4000000,6.1000000,218751
AFLT,M,20000201,000000,5.0000000,5.8000000,5.0000000,5.5900000,111684
AFLT,M,20000301,000000,4.8000000,5.4000000,4.8000000,5.0000000,905786
AFLT,M,20000401,000000,5.1900000,6.0900000,5.0200000,5.5500000,1035772
AFLT,M,20000501,000000,5.6000000,6.2200000,4.3000000,5.0000000,173512
AFLT,M,20000601,000000,4.1500000,5.5000000,4.0000000,4.4400000,266366
AFLT,M,20000701,000000,4.4500000,4.9500000,4.3600000,4.7000000,246917
AFLT,M,20000801,000000,5.4000000,5.9200000,4.6000000,5.7000000,1202978
AFLT,M,20000901,000000,5.5100000,7.0000000,5.0000000,7.0000000,456277
AFLT,M,20001001,000000,7.0000000,7.6000000,5.7000000,6.9500000,557428
AFLT,M,20001101,000000,6.7000000,7.0000000,5.9000000,6.3000000,108857
AFLT,M,20001201,000000,5.6000000,7.0000000,5.3100000,5.7000000,226088
AFLT,M,20010101,000000,5.9000000,7.0000000,5.9000000,6.1500000,89797
AFLT,M,20010201,000000,6.0600000,8.6000000,6.0600000,7.9800000,1285446
AFLT,M,20010301,000000,8.4000000,9.5000000,8.4000000,9.2000000,1109369
AFLT,M,20010401,000000,9.2500000,10.5900000,9.2100000,10.0800000,819204
AFLT,M,20010501,000000,10.0600000,10.7500000,8.3000000,8.7500000,1225109
AFLT,M,20010601,000000,8.9300000,9.3900000,8.0000000,8.3900000,654164
AFLT,M,20010701,000000,8.4000000,8.6800000,7.9000000,7.9000000,439835
AFLT,M,20010801,000000,7.8900000,8.0800000,7.2400000,7.6000000,420348
AFLT,M,20010901,000000,7.6300000,9.4000000,7.0900000,8.1800000,1118352
AFLT,M,20011001,000000,8.0100000,9.0000000,7.8500000,8.2500000,381833
AFLT,M,20011101,000000,8.3000000,9.5000000,8.0000000,9.0800000,852737
AFLT,M,20011201,000000,8.7500000,13.4000000,8.6500000,10.4500000,1698226
AFLT,M,20020101,000000,10.5500000,12.3500000,10.5500000,10.9000000,1352010
AFLT,M,20020201,000000,10.7500000,11.4800000,10.4000000,11.1400000,766997
AFLT,M,20020301,000000,11.0000000,12.9900000,11.0000000,12.2200000,2585687
AFLT,M,20020401,000000,12.3500000,12.4000000,10.0000000,11.4500000,3384229
AFLT,M,20020501,000000,11.5000000,11.7900000,10.2000000,10.2200000,1825535
