<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AKRN,M,20061001,000000,652.0000000,1160.0000000,652.0000000,748.0000000,7898
AKRN,M,20061101,000000,750.0000000,750.0000000,709.9900000,733.0000000,34668
AKRN,M,20061201,000000,725.0000000,788.0000000,720.0000000,770.0000000,41176
AKRN,M,20070101,000000,760.0000000,785.0000000,721.0000000,730.0000000,54424
AKRN,M,20070201,000000,733.0000000,744.1000000,665.0100000,688.0000000,50651
AKRN,M,20070301,000000,675.0000000,691.4000000,616.0000000,649.5000000,46926
AKRN,M,20070401,000000,650.0000000,650.0000000,600.0100000,605.0000000,63603
AKRN,M,20070501,000000,607.7700000,654.0000000,580.0000000,600.0000000,44293
AKRN,M,20070601,000000,599.5600000,615.0000000,588.0000000,606.0000000,37857
AKRN,M,20070701,000000,605.0000000,668.1300000,601.0000000,622.9900000,68648
AKRN,M,20070801,000000,615.0100000,630.0000000,600.0000000,619.9900000,39112
AKRN,M,20070901,000000,611.9900000,660.0000000,482.0000000,660.0000000,23561
AKRN,M,20071001,000000,630.0100000,919.0000000,593.7000000,901.5000000,446938
AKRN,M,20071101,000000,900.0000000,1085.0000000,875.0300000,1018.0000000,258330
AKRN,M,20071201,000000,1029.0000000,1235.0000000,1001.4900000,1234.9000000,120186
AKRN,M,20080101,000000,1247.0100000,1650.0000000,1156.0000000,1469.3500000,207940
AKRN,M,20080201,000000,1500.0000000,2120.0000000,1500.0000000,2080.0000000,227229
AKRN,M,20080301,000000,2050.0000000,2099.0000000,1650.0000000,1870.0000000,214949
AKRN,M,20080401,000000,1870.0000000,2330.0000000,1810.0000000,2284.0000000,265214
AKRN,M,20080501,000000,2295.0000000,2645.0000000,2262.0000000,2630.0000000,233544
AKRN,M,20080601,000000,2631.6700000,2992.0000000,2601.0000000,2900.0000000,308318
AKRN,M,20080701,000000,2897.9900000,3036.9900000,1900.0000000,2189.0000000,619218
AKRN,M,20080801,000000,2189.0000000,2289.0000000,1598.7500000,1731.0000000,193281
AKRN,M,20080901,000000,1739.9900000,1800.0000000,822.0100000,999.9700000,177988
AKRN,M,20081001,000000,1025.0000000,1090.0000000,399.0000000,455.0000000,190944
AKRN,M,20081101,000000,460.0000000,649.0000000,207.0000000,302.7000000,387894
AKRN,M,20081201,000000,304.0000000,374.0000000,251.0300000,300.0000000,752771
AKRN,M,20090101,000000,304.4300000,370.0000000,283.0000000,356.5000000,519014
AKRN,M,20090201,000000,366.4900000,525.0000000,360.0100000,494.0000000,1148044
AKRN,M,20090301,000000,481.9900000,638.0000000,465.0000000,544.8500000,792756
AKRN,M,20090401,000000,548.0000000,635.0000000,521.1600000,619.0000000,1352801
AKRN,M,20090501,000000,624.0000000,849.0000000,615.1600000,845.0000000,1185349
AKRN,M,20090601,000000,855.0000000,970.0000000,666.0000000,711.7000000,454330
AKRN,M,20090701,000000,702.0000000,798.9900000,592.5700000,798.9900000,437787
AKRN,M,20090801,000000,810.0000000,880.0000000,750.0000000,760.0000000,314058
AKRN,M,20090901,000000,770.6100000,860.0000000,740.0000000,821.9900000,512789
AKRN,M,20091001,000000,822.0100000,1025.3000000,783.0000000,858.9900000,1198763
AKRN,M,20091101,000000,855.0000000,927.3100000,784.1800000,862.9800000,540361
AKRN,M,20091201,000000,864.9900000,914.0000000,815.5100000,860.0000000,420080
AKRN,M,20100101,000000,866.7500000,1050.0000000,866.7500000,977.0000000,784671
AKRN,M,20100201,000000,963.2500000,1100.0000000,940.0000000,1098.9900000,527458
AKRN,M,20100301,000000,1120.0000000,1164.9000000,1055.7300000,1091.0000000,498083
AKRN,M,20100401,000000,1088.0000000,1180.0000000,959.5300000,974.9500000,895483
AKRN,M,20100501,000000,979.0900000,979.0900000,712.0000000,790.0600000,716406
AKRN,M,20100601,000000,790.0000000,850.0000000,750.0000000,774.8000000,673531
AKRN,M,20100701,000000,765.0000000,825.0000000,745.5000000,809.8800000,488256
AKRN,M,20100801,000000,811.1000000,972.0000000,810.7000000,900.5300000,1019464
AKRN,M,20100901,000000,900.0100000,939.9900000,865.0400000,920.0000000,385234
AKRN,M,20101001,000000,923.0000000,947.0000000,886.0000000,896.3200000,656325
AKRN,M,20101101,000000,900.2000000,959.0000000,885.0000000,952.5000000,924836
AKRN,M,20101201,000000,955.0000000,1182.5800000,954.0100000,1136.0100000,1251261
AKRN,M,20110101,000000,1140.0000000,1433.7700000,1140.0000000,1376.5000000,1579162
AKRN,M,20110201,000000,1391.0600000,1414.1400000,1210.0000000,1359.0000000,900311
AKRN,M,20110301,000000,1360.0000000,1385.1000000,1123.3000000,1237.9000000,901540
AKRN,M,20110401,000000,1236.0000000,1329.0000000,1199.5000000,1290.0000000,1549309
AKRN,M,20110501,000000,1290.0000000,1300.0000000,1175.0000000,1199.9000000,932364
AKRN,M,20110601,000000,1191.5000000,1340.0000000,1173.2000000,1334.4000000,584915
AKRN,M,20110701,000000,1339.6000000,1540.5000000,1315.0000000,1529.0000000,713942
AKRN,M,20110801,000000,1547.0000000,1567.9000000,985.0000000,1364.8000000,874143
AKRN,M,20110901,000000,1360.1000000,1395.0000000,1081.6000000,1130.0000000,719428
AKRN,M,20111001,000000,1050.6000000,1299.0000000,889.3000000,1256.2000000,591331
AKRN,M,20111101,000000,1254.8000000,1625.0000000,1150.0000000,1587.6000000,740053
AKRN,M,20111201,000000,1575.0000000,1600.0000000,1232.5000000,1331.5000000,544869
AKRN,M,20120101,000000,1339.0000000,1462.9000000,1260.0000000,1399.0000000,454760
AKRN,M,20120201,000000,1395.3000000,1445.0000000,1360.1000000,1365.0000000,356613
AKRN,M,20120301,000000,1365.0000000,1371.0000000,1186.4000000,1239.9000000,475278
AKRN,M,20120401,000000,1250.1000000,1414.1000000,1234.7000000,1335.1000000,505790
