<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ALRS,M,20111101,000000,35.0000000,54.6000000,35.0000000,54.6000000,95900
ALRS,M,20111201,000000,67.0000000,107.0160000,29.4000000,31.0000000,9606000
ALRS,M,20120101,000000,31.0000000,31.3840000,29.3300000,29.8000000,6236800
ALRS,M,20120201,000000,29.8000000,33.9500000,29.8000000,32.1090000,22270800
ALRS,M,20120301,000000,31.9510000,33.3330000,30.5100000,31.0950000,13481600
ALRS,M,20120401,000000,31.2480000,31.2480000,29.4000000,29.9980000,9058800
ALRS,M,20120501,000000,29.9030000,30.0000000,21.9990000,22.7870000,6558000
ALRS,M,20120601,000000,22.7750000,26.9000000,22.5500000,24.3000000,15551900
ALRS,M,20120701,000000,24.3990000,25.8870000,24.0000000,25.5000000,11520300
ALRS,M,20120801,000000,25.5500000,26.1700000,24.3010000,24.4700000,2972900
ALRS,M,20120901,000000,24.4010000,25.1010000,23.9500000,24.1460000,4249400
ALRS,M,20121001,000000,24.0060000,25.0010000,21.8200000,22.7800000,17942000
ALRS,M,20121101,000000,22.7990000,23.5000000,22.6500000,23.1000000,13441700
ALRS,M,20121201,000000,23.0900000,30.4500000,23.0550000,30.0000000,47557400
ALRS,M,20130101,000000,31.3000000,31.4000000,28.5010000,29.9290000,10135100
ALRS,M,20130201,000000,29.8970000,35.4450000,29.7000000,32.6000000,17696300
ALRS,M,20130301,000000,32.5030000,33.6150000,30.1110000,31.6660000,17596100
ALRS,M,20130401,000000,31.4100000,33.5000000,30.5100000,31.2300000,12673900
ALRS,M,20130501,000000,30.5380000,33.1110000,30.5090000,32.1500000,85060800
ALRS,M,20130601,000000,32.4000000,34.9500000,31.8500000,34.0000000,25777300
ALRS,M,20130701,000000,34.4950000,34.7650000,24.0000000,33.3990000,8284400
ALRS,M,20130801,000000,33.4650000,34.4980000,32.3000000,33.0500000,29801100
ALRS,M,20130901,000000,33.0000000,37.5500000,32.5950000,36.0000000,58288700
ALRS,M,20131001,000000,36.0910000,40.9890000,34.5800000,36.2190000,125035200
ALRS,M,20131101,000000,36.3700000,36.8000000,33.0010000,34.9140000,50305900
ALRS,M,20131201,000000,34.9190000,36.0140000,32.5010000,35.6700000,31841600
ALRS,M,20140101,000000,35.3990000,36.9800000,31.7080000,36.5000000,62246200
ALRS,M,20140201,000000,36.5710000,39.4990000,34.3460000,38.7300000,53779500
ALRS,M,20140301,000000,37.8890000,37.8970000,29.2000000,36.0630000,80430600
ALRS,M,20140401,000000,36.4800000,38.5440000,34.9000000,36.8120000,66534000
ALRS,M,20140501,000000,36.8050000,42.5100000,35.6500000,41.3000000,234442100
ALRS,M,20140601,000000,41.2990000,45.1970000,38.8570000,41.8000000,162999000
ALRS,M,20140701,000000,41.9260000,49.4400000,41.8030000,44.1000000,103969800
ALRS,M,20140801,000000,44.0140000,46.4440000,41.4810000,42.5000000,65821400
ALRS,M,20140901,000000,42.4970000,42.8980000,34.1320000,35.5000000,142507900
ALRS,M,20141001,000000,35.5000000,41.3700000,35.4700000,38.5000000,94912700
ALRS,M,20141101,000000,38.2000000,47.5000000,37.5000000,47.4900000,86304500
ALRS,M,20141201,000000,47.3000000,69.4600000,47.0200000,63.0000000,171594300
ALRS,M,20150101,000000,63.1700000,83.7600000,57.5400000,78.4900000,105689700
ALRS,M,20150201,000000,78.1000000,82.1200000,67.3200000,68.5000000,112736800
ALRS,M,20150301,000000,68.4200000,84.1000000,68.0500000,72.0000000,281758700
ALRS,M,20150401,000000,71.6000000,74.1900000,62.0200000,68.3900000,154634700
ALRS,M,20150501,000000,68.3500000,72.1100000,63.1300000,63.2500000,90900500
ALRS,M,20150601,000000,64.5000000,66.7600000,60.0900000,63.0000000,106958300
ALRS,M,20150701,000000,63.0200000,74.5000000,62.9000000,71.2000000,182701600
ALRS,M,20150801,000000,70.8400000,74.0900000,62.0800000,65.0000000,158967100
ALRS,M,20150901,000000,65.3400000,67.0300000,52.3200000,57.9700000,188785600
ALRS,M,20151001,000000,58.0800000,60.4300000,51.4000000,51.4000000,160763600
ALRS,M,20151101,000000,51.3500000,55.3200000,50.3000000,52.1800000,181188300
ALRS,M,20151201,000000,52.3000000,57.8700000,48.4200000,55.9400000,203737500
ALRS,M,20160101,000000,56.0000000,61.9500000,52.3300000,61.7300000,150459100
ALRS,M,20160201,000000,61.7000000,72.5200000,60.2200000,69.5000000,268280700
ALRS,M,20160301,000000,69.6900000,73.0900000,68.1000000,69.6000000,227402200
ALRS,M,20160401,000000,69.6000000,77.1000000,69.1300000,73.9000000,170471500
ALRS,M,20160501,000000,73.3100000,79.0000000,70.0800000,70.4500000,121939900
ALRS,M,20160601,000000,70.6900000,74.0000000,68.0900000,69.2900000,148120200
ALRS,M,20160701,000000,69.1500000,72.7700000,67.0000000,71.2500000,357260600
ALRS,M,20160801,000000,71.4600000,76.8000000,69.7000000,75.3000000,189908400
ALRS,M,20160901,000000,75.5800000,92.0000000,74.7000000,86.6000000,241776600
ALRS,M,20161001,000000,86.9500000,95.4800000,85.1200000,88.6000000,221917200
ALRS,M,20161101,000000,89.0000000,93.7400000,80.0500000,92.4900000,338883700
ALRS,M,20161201,000000,93.1700000,100.4000000,89.6200000,97.4300000,287843300
