Date,Amount
20161213,24.96
20160916,19.66
20160705,8.25
20160705,20.27
20151221,13.17
20150928,12.63
20150605,12.81
20150605,14.65
20141125,54.46
20140922,2.14
20140623,2.43
20140623,3.83
20131031,2.01
20130812,2.03
20130426,0.43
20130426,1.89
20121109,3.18
20120810,1.52
20120515,4.07
20120515,3.56
20111115,3.36
20110824,4.37
20110522,3.9
20110522,2.42
20101112,4.29
20081114,7.17
20080820,18.35
20080515,5.2
20080515,4
20071114,2.5
20070820,10
20070518,2.6
20070426,5
20061116,2
20060807,3.6
20060421,4
20051019,3
20050804,3.9
20050421,4
20050421,3
20041023,9.2
20040805,4
20040402,1.68
20040402,1.12
20030630,8.2
20030523,3
20010503,2.4
