<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CHMF,M,20050601,000000,220.0000000,230.0000000,207.0000000,208.0000000,19600
CHMF,M,20050701,000000,208.0000000,250.0000000,207.0000000,240.9000000,157000
CHMF,M,20050801,000000,241.0000000,250.0000000,228.9600000,236.5000000,128800
CHMF,M,20050901,000000,235.1000000,280.0000000,227.0000000,279.0000000,127300
CHMF,M,20051001,000000,278.0000000,289.9000000,242.0000000,253.8000000,219100
CHMF,M,20051101,000000,255.3000000,277.9000000,252.0000000,264.1000000,174800
CHMF,M,20051201,000000,264.1000000,300.0000000,264.1000000,289.0000000,195061
CHMF,M,20060101,000000,292.0000000,343.0000000,286.2100000,332.0000000,452882
CHMF,M,20060201,000000,332.0000000,390.0000000,300.0000000,358.5000000,957002
CHMF,M,20060301,000000,357.0000000,443.0000000,351.0000000,383.1000000,821319
CHMF,M,20060401,000000,386.7100000,404.9800000,360.2200000,376.7600000,756382
CHMF,M,20060501,000000,373.0000000,402.0000000,312.0000000,359.0000000,1452347
CHMF,M,20060601,000000,364.9900000,369.9500000,270.0000000,296.0000000,1137436
CHMF,M,20060701,000000,305.0000000,340.0000000,295.9500000,338.0000000,1672347
CHMF,M,20060801,000000,339.3900000,360.0000000,337.0000000,337.9700000,1598640
CHMF,M,20060901,000000,336.1100000,339.9700000,301.0000000,313.0000000,1421017
CHMF,M,20061001,000000,314.9900000,354.9000000,310.4100000,345.5000000,3547564
CHMF,M,20061101,000000,345.5000000,352.4800000,303.5100000,314.9000000,4502930
CHMF,M,20061201,000000,316.9600000,320.7000000,295.1000000,306.2400000,3627553
CHMF,M,20070101,000000,301.4900000,343.0000000,288.7700000,329.4000000,7344561
CHMF,M,20070201,000000,331.0000000,363.9500000,318.3500000,351.5000000,8963831
CHMF,M,20070301,000000,348.8000000,362.5000000,307.0100000,359.1600000,8233753
CHMF,M,20070401,000000,361.7000000,379.1500000,339.0100000,344.5100000,6939313
CHMF,M,20070501,000000,342.0000000,363.8000000,305.5300000,335.0000000,3871514
CHMF,M,20070601,000000,338.5000000,366.7000000,327.6000000,361.9800000,3869419
CHMF,M,20070701,000000,362.5000000,464.4000000,362.5000000,448.0000000,11078355
CHMF,M,20070801,000000,437.0000000,453.9300000,358.1200000,440.9500000,9958226
CHMF,M,20070901,000000,441.8000000,528.3000000,424.0000000,523.9900000,10415269
CHMF,M,20071001,000000,524.0000000,598.0000000,517.5100000,584.0100000,16755184
CHMF,M,20071101,000000,591.0000000,605.0400000,530.2500000,564.1000000,8248410
CHMF,M,20071201,000000,563.9500000,586.6900000,543.0000000,559.4900000,6036507
CHMF,M,20080101,000000,562.4500000,607.1000000,491.0100000,509.3000000,6008473
CHMF,M,20080201,000000,521.9700000,659.1300000,520.7800000,624.0000000,8374660
CHMF,M,20080301,000000,615.0100000,656.0000000,522.0000000,527.0000000,9552333
CHMF,M,20080401,000000,529.0000000,627.6900000,525.0000000,590.0100000,9799593
CHMF,M,20080501,000000,594.0000000,677.9700000,582.0000000,618.0000000,9497005
CHMF,M,20080601,000000,620.7700000,628.0000000,568.1000000,608.0000000,9982576
CHMF,M,20080701,000000,609.9100000,613.9800000,383.0000000,442.0000000,13416234
CHMF,M,20080801,000000,439.0000000,476.7500000,370.6200000,417.1500000,9461051
CHMF,M,20080901,000000,416.0000000,432.6300000,254.5000000,271.9900000,9978655
CHMF,M,20081001,000000,275.0000000,282.9800000,68.0000000,89.9900000,14619344
CHMF,M,20081101,000000,90.1800000,130.0000000,56.7200000,86.2300000,19140340
CHMF,M,20081201,000000,85.5000000,116.8000000,70.2800000,84.6500000,28820557
CHMF,M,20090101,000000,88.0300000,94.9900000,70.8100000,90.0400000,10524179
CHMF,M,20090201,000000,88.5000000,165.0000000,87.4000000,130.1200000,53608458
CHMF,M,20090301,000000,128.0000000,144.9000000,116.0000000,116.4600000,42013526
CHMF,M,20090401,000000,116.9800000,162.7200000,112.2500000,135.0000000,56512342
CHMF,M,20090501,000000,140.0100000,174.7000000,137.2000000,173.1400000,50056744
CHMF,M,20090601,000000,178.2800000,201.7500000,148.0000000,165.5400000,39989847
CHMF,M,20090701,000000,167.0100000,215.0000000,140.1000000,213.7800000,46367254
CHMF,M,20090801,000000,216.9900000,248.0000000,200.8000000,225.4100000,31113401
CHMF,M,20090901,000000,226.0300000,244.1000000,200.2000000,235.0100000,30481447
CHMF,M,20091001,000000,237.4900000,253.0000000,209.2500000,213.9900000,30354008
CHMF,M,20091101,000000,213.0000000,257.0000000,210.7700000,223.0000000,25437068
CHMF,M,20091201,000000,225.4000000,260.6900000,223.3000000,253.1000000,16671475
CHMF,M,20100101,000000,265.6500000,384.9000000,262.1500000,351.4300000,52836124
CHMF,M,20100201,000000,347.9900000,371.0000000,315.1000000,342.0500000,55895290
CHMF,M,20100301,000000,345.0000000,404.0000000,342.6200000,397.0000000,62871390
CHMF,M,20100401,000000,398.1900000,435.2200000,379.0500000,390.7000000,43266690
CHMF,M,20100501,000000,391.7900000,391.9900000,300.2500000,344.5000000,36462274
CHMF,M,20100601,000000,341.3300000,349.8900000,305.1200000,307.9400000,41577792
CHMF,M,20100701,000000,302.0000000,376.7600000,294.3600000,358.0000000,46196250
CHMF,M,20100801,000000,363.3300000,384.7900000,348.1200000,372.6000000,38265171
CHMF,M,20100901,000000,374.1100000,471.9000000,370.7500000,450.0400000,38365310
CHMF,M,20101001,000000,450.0000000,474.5000000,417.0100000,421.5000000,35802564
CHMF,M,20101101,000000,424.8700000,465.4000000,423.9000000,446.2100000,34698107
CHMF,M,20101201,000000,447.9300000,519.9900000,447.0000000,519.8500000,35360238
CHMF,M,20110101,000000,520.0500000,598.5800000,520.0000000,540.1000000,29858725
CHMF,M,20110201,000000,545.2200000,557.9000000,490.1300000,548.9900000,33775640
CHMF,M,20110301,000000,551.8000000,564.3000000,505.0000000,557.4000000,38708010
CHMF,M,20110401,000000,557.9000000,569.8000000,490.4000000,501.6000000,34262000
CHMF,M,20110501,000000,501.0000000,519.0000000,446.2000000,506.6000000,39135350
CHMF,M,20110601,000000,509.6000000,533.0000000,489.0000000,513.0000000,34344440
CHMF,M,20110701,000000,513.7000000,538.7000000,501.1000000,533.9000000,27554470
CHMF,M,20110801,000000,540.0000000,544.0000000,385.0000000,448.0000000,73216690
CHMF,M,20110901,000000,449.8000000,449.9000000,315.0000000,340.1000000,62681430
CHMF,M,20111001,000000,331.9000000,452.7000000,310.1000000,443.0000000,74944000
CHMF,M,20111101,000000,437.4000000,474.0000000,383.3000000,423.0000000,71658160
CHMF,M,20111201,000000,427.7000000,427.9000000,350.0000000,363.8000000,47232360
CHMF,M,20120101,000000,366.1000000,441.7000000,366.1000000,438.7000000,35790350
CHMF,M,20120201,000000,438.4000000,456.7000000,415.9000000,448.1000000,40197720
CHMF,M,20120301,000000,443.9000000,453.0000000,388.5000000,392.8000000,38071160
CHMF,M,20120401,000000,396.3000000,413.7000000,374.3000000,400.3000000,33780320
CHMF,M,20120501,000000,401.4000000,405.8000000,330.2000000,367.0000000,35989940
CHMF,M,20120601,000000,368.0000000,404.8000000,354.1000000,378.8000000,28748030
CHMF,M,20120701,000000,378.8000000,396.7000000,336.7000000,363.0000000,30222850
CHMF,M,20120801,000000,361.3000000,400.3000000,355.5000000,369.4000000,32488490
CHMF,M,20120901,000000,368.6000000,437.7000000,367.5000000,394.6000000,39980360
CHMF,M,20121001,000000,392.1000000,405.3000000,379.1000000,383.9000000,30682210
CHMF,M,20121101,000000,382.9000000,395.5000000,348.3000000,352.0000000,26516420
CHMF,M,20121201,000000,353.9000000,387.6000000,350.3000000,369.1000000,27852400
CHMF,M,20130101,000000,386.2000000,399.1000000,368.7000000,377.2000000,23084010
CHMF,M,20130201,000000,377.5000000,379.5000000,340.0000000,341.1000000,24813870
CHMF,M,20130301,000000,341.1000000,344.5000000,270.3000000,279.7000000,31344830
CHMF,M,20130401,000000,278.3000000,279.6000000,233.0000000,262.0000000,53773420
CHMF,M,20130501,000000,261.0000000,290.0000000,252.8000000,263.7000000,34532180
CHMF,M,20130601,000000,256.5000000,263.0000000,203.2000000,209.8000000,39161920
CHMF,M,20130701,000000,210.4000000,259.7000000,208.2000000,247.0000000,36973370
CHMF,M,20130801,000000,250.5000000,284.9000000,247.3000000,275.9000000,38027550
CHMF,M,20130901,000000,279.2000000,306.0000000,273.4000000,282.9000000,28579290
CHMF,M,20131001,000000,282.9000000,301.9000000,273.5000000,280.5000000,27706390
CHMF,M,20131101,000000,280.5000000,311.7000000,262.3000000,301.9000000,35056570
CHMF,M,20131201,000000,300.4000000,321.0000000,294.7000000,319.5000000,23775550
CHMF,M,20140101,000000,315.8000000,317.2000000,280.4000000,283.5000000,26921540
CHMF,M,20140201,000000,285.4000000,304.7000000,270.5000000,297.7000000,30524490
CHMF,M,20140301,000000,287.5000000,289.0000000,210.4000000,266.5000000,48394200
CHMF,M,20140401,000000,268.2000000,287.9000000,239.4000000,248.9000000,38642140
CHMF,M,20140501,000000,242.1000000,319.0000000,242.0000000,294.5000000,39532200
CHMF,M,20140601,000000,295.4000000,305.0000000,276.2000000,279.0000000,28289260
CHMF,M,20140701,000000,279.2000000,346.2000000,277.1000000,343.0000000,46411840
CHMF,M,20140801,000000,343.1000000,370.2000000,325.5000000,359.5000000,34507170
CHMF,M,20140901,000000,362.4000000,397.0000000,354.6000000,393.5000000,25593150
CHMF,M,20141001,000000,392.5000000,457.1000000,378.5000000,457.1000000,37119270
CHMF,M,20141101,000000,455.1000000,525.0000000,431.6000000,454.7500000,42196710
CHMF,M,20141201,000000,451.9000000,568.0000000,451.1500000,501.9000000,38463930
CHMF,M,20150101,000000,499.3000000,656.4000000,499.3000000,642.3500000,20730690
CHMF,M,20150201,000000,640.0000000,721.0000000,626.0500000,682.0000000,19486700
CHMF,M,20150301,000000,685.1000000,749.5000000,630.6500000,658.0000000,19838330
CHMF,M,20150401,000000,654.9500000,663.0000000,539.6500000,578.5500000,23017080
CHMF,M,20150501,000000,579.5000000,640.7000000,554.0000000,608.4000000,20877830
CHMF,M,20150601,000000,618.0000000,630.4000000,570.0000000,594.0000000,17406960
CHMF,M,20150701,000000,590.8000000,687.5000000,576.6000000,687.5000000,22560880
CHMF,M,20150801,000000,688.0000000,738.5000000,673.1000000,725.2000000,19987960
CHMF,M,20150901,000000,722.6000000,768.0000000,675.1000000,700.0000000,15453210
CHMF,M,20151001,000000,700.0000000,757.7000000,643.2000000,742.0000000,22908110
CHMF,M,20151101,000000,745.0000000,757.6000000,695.2000000,703.8000000,16085550
CHMF,M,20151201,000000,707.0000000,714.5000000,593.3000000,609.5000000,17647110
CHMF,M,20160101,000000,608.1000000,675.0000000,588.5000000,621.5000000,20365110
CHMF,M,20160201,000000,621.5000000,668.8000000,617.0000000,630.0000000,17018330
CHMF,M,20160301,000000,626.1000000,735.6000000,617.7000000,712.0000000,23527410
CHMF,M,20160401,000000,709.0000000,830.9000000,707.2000000,727.0000000,19053100
CHMF,M,20160501,000000,729.0000000,739.8000000,670.5000000,670.5000000,17547440
CHMF,M,20160601,000000,674.1000000,706.2000000,631.7000000,700.7000000,13493650
CHMF,M,20160701,000000,700.6000000,794.9000000,650.1000000,793.2000000,14584760
CHMF,M,20160801,000000,792.5000000,822.7000000,752.0000000,752.0000000,12087360
CHMF,M,20160901,000000,755.0000000,798.9000000,719.7000000,753.0000000,13076650
CHMF,M,20161001,000000,755.6000000,894.7000000,751.0000000,886.4000000,12816810
CHMF,M,20161101,000000,888.0000000,997.5000000,838.0000000,960.7000000,16661660
CHMF,M,20161201,000000,967.1000000,1051.5000000,898.0000000,942.2000000,11154870
CHMF,M,20170101,000000,942.2000000,994.3000000,897.4000000,950.0000000,8177710
CHMF,M,20170201,000000,953.6000000,984.5000000,921.0000000,932.6000000,1480470
