MonthYear,Rate
Dec-01,2.5
Jan-02,2.5
Feb-02,2.5
Mar-02,2.5
Apr-02,2.5
May-02,2.5
Jun-02,2.5
Jul-02,2.5
Aug-02,2.5
Sep-02,2.5
Oct-02,2.5
Nov-02,2.5
Dec-02,2.5
Jan-03,2.5
Feb-03,2.5
Mar-03,2.5
Apr-03,2.5
May-03,2.5
Jun-03,2.5
Jul-03,2.5
Aug-03,2.5
Sep-03,2.5
Oct-03,2.5
Nov-03,2.5
Dec-03,2.5
Jan-04,2.5
Feb-04,2.5
Mar-04,2.5
Apr-04,2.5
May-04,2.5
Jun-04,2.5
Jul-04,2.5
Aug-04,2.5
Sep-04,2.5
Oct-04,2.5
Nov-04,2.5
Dec-04,2.5
Jan-05,2.5
Feb-05,2.5
Mar-05,2.5
Apr-05,2.5
May-05,2.5
Jun-05,2.5
Jul-05,2.5
Aug-05,2.5
Sep-05,2.5
Oct-05,2.5
Nov-05,2.5
Dec-05,2.5
Jan-06,2.5
Feb-06,2.5
Mar-06,2.5
Apr-06,2.5
May-06,2.5
Jun-06,2.5
Jul-06,2.5
Aug-06,2.5
Sep-06,2.5
Oct-06,2.5
Nov-06,2.5
Dec-06,2.5
Jan-07,2.5
Feb-07,2.5
Mar-07,2.5
Apr-07,2.5
May-07,2.5
Jun-07,2.5
Jul-07,2.5
Aug-07,2.5
Sep-07,2.5
Oct-07,2.5
Nov-07,2.5
Dec-07,2.5
Jan-08,2.5
Feb-08,2.5
Mar-08,2.5
Apr-08,2.5
May-08,2.5
Jun-08,2.5
Jul-08,2.5
Aug-08,2.5
Sep-08,2.5
Oct-08,2.5
Nov-08,2.5
Dec-08,2.5
Jan-09,2.5
Feb-09,2.5
Mar-09,2.5
Apr-09,2.5
May-09,2.5
Jun-09,2.5
Jul-09,2.5
Aug-09,2.5
Sep-09,2.5
Oct-09,2.5
Nov-09,2.5
Dec-09,2.5
Jan-10,2.5
Feb-10,2.5
Mar-10,2.5
Apr-10,2.5
May-10,2.5
Jun-10,2.5
Jul-10,2.5
Aug-10,2.5
Sep-10,2.5
Oct-10,2.5
Nov-10,2.5
Dec-10,2.5
Jan-11,3.2
Feb-11,3.1
Mar-11,3.2
Apr-11,3
May-11,2.9
Jun-11,3
Jul-11,3
Aug-11,3
Sep-11,3
Oct-11,3.3
Nov-11,3.4
Dec-11,3.3
Jan-12,3.5
Feb-12,3.4
Mar-12,3.4
Apr-12,3.3
May-12,3
Jun-12,2.9
Jul-12,3
Aug-12,3
Sep-12,3
Oct-12,3.1
Nov-12,3.1
Dec-12,3.3
Jan-13,3.1
Feb-13,3.2
Mar-13,2.8
Apr-13,2.8
May-13,2.5
Jun-13,2.3
Jul-13,2.3
Aug-13,2.4
Sep-13,2.3
Oct-13,2.1
Nov-13,2.1
Dec-13,1.9
Jan-14,1.8
Feb-14,1.7
Mar-14,1.58
Apr-14,1.73
May-14,1.64
Jun-14,1.67
Jul-14,1.56
Aug-14,1.61
Sep-14,1.81
Oct-14,1.98
Nov-14,2.24
Dec-14,5.21
Jan-15,5.16
Feb-15,5.04
Mar-15,4.92
Apr-15,3.81
May-15,3.35
Jun-15,2.36
Jul-15,1.89
Aug-15,1.57
Sep-15,1.48
Oct-15,1.31
Nov-15,1.18
Dec-15,1.1
Jan-16,0.99
Feb-16,0.96
Mar-16,0.93
Apr-16,0.86
May-16,0.64
Jun-16,0.64
Jul-16,0.66
Aug-16,0.7
Sep-16,0.58
Oct-16,0.56
