MonthYear,Rate
Dec-01,10.2
Jan-02,10.1
Feb-02,10
Mar-02,10.7
Apr-02,10.7
May-02,11.1
Jun-02,11.1
Jul-02,12
Aug-02,10.3
Sep-02,10.5
Oct-02,12.4
Nov-02,12.8
Dec-02,12
Jan-03,12.1
Feb-03,11.9
Mar-03,11.2
Apr-03,10.9
May-03,10.8
Jun-03,11
Jul-03,11.1
Aug-03,10.6
Sep-03,9.8
Oct-03,10.4
Nov-03,10.4
Dec-03,11
Jan-04,10
Feb-04,9.4
Mar-04,9.2
Apr-04,9
May-04,9.2
Jun-04,8.8
Jul-04,9
Aug-04,9.2
Sep-04,9.5
Oct-04,9.5
Nov-04,9.6
Dec-04,9.6
Jan-05,9.7
Feb-05,9.5
Mar-05,9.2
Apr-05,8.4
May-05,8.7
Jun-05,8.7
Jul-05,8.6
Aug-05,8.4
Sep-05,8.5
Oct-05,8.4
Nov-05,8.6
Dec-05,8.2
Jan-06,8.3
Feb-06,8.4
Mar-06,8.3
Apr-06,8.3
May-06,7.8
Jun-06,7.6
Jul-06,7.3
Aug-06,7.8
Sep-06,7.6
Oct-06,7.7
Nov-06,7.7
Dec-06,7.7
Jan-07,7.5
Feb-07,7.4
Mar-07,7.4
Apr-07,7.5
May-07,7.2
Jun-07,7.2
Jul-07,7
Aug-07,7
Sep-07,7
Oct-07,7.2
Nov-07,7.2
Dec-07,7.3
Jan-08,7
Feb-08,6.9
Mar-08,7
Apr-08,7.1
May-08,6.9
Jun-08,7.4
Jul-08,7.4
Aug-08,7.4
Sep-08,7.6
Oct-08,8.4
Nov-08,8.9
Dec-08,9.7
Jan-09,9.7
Feb-09,10
Mar-09,10.3
Apr-09,10.8
May-09,10.8
Jun-09,10.8
Jul-09,10.7
Aug-09,10.7
Sep-09,10.8
Oct-09,10.6
Nov-09,10.2
Dec-09,9.7
Jan-10,9.1
Feb-10,8.4
Mar-10,7.9
Apr-10,7.6
May-10,7
Jun-10,6.6
Jul-10,6.4
Aug-10,6.1
Sep-10,5.7
Oct-10,5.6
Nov-10,5.6
Dec-10,5.5
Jan-11,5.4
Feb-11,5.3
Mar-11,5.2
Apr-11,5.1
May-11,5.1
Jun-11,5.1
Jul-11,5
Aug-11,5.1
Sep-11,5.1
Oct-11,5.6
Nov-11,6.6
Dec-11,6.9
Jan-12,6.9
Feb-12,6.5
Mar-12,6.4
Apr-12,6.8
May-12,6.2
Jun-12,6.4
Jul-12,6.2
Aug-12,6.1
Sep-12,6.4
Oct-12,6.7
Nov-12,6.8
Dec-12,7
Jan-13,7.1
Feb-13,7.1
Mar-13,7
Apr-13,7.1
May-13,6.6
Jun-13,6.4
Jul-13,6.3
Aug-13,6.2
Sep-13,6.3
Oct-13,6.1
Nov-13,6
Dec-13,6.2
Jan-14,6.03
Feb-14,5.94
Mar-14,5.91
Apr-14,6.04
May-14,6.06
Jun-14,6.21
Jul-14,6.17
Aug-14,6.19
Sep-14,6.27
Oct-14,6.5
Nov-14,6.75
Dec-14,12.74
Jan-15,12.85
Feb-15,11.79
Mar-15,11.67
Apr-15,9.41
May-15,9.36
Jun-15,9.92
Jul-15,9.23
Aug-15,8.96
Sep-15,8.9
Oct-15,7.21
Nov-15,7.79
Dec-15,8.83
Jan-16,8.53
Feb-16,7.97
Mar-16,7.71
Apr-16,8.02
May-16,7.30
Jun-16,7.20
Jul-16,7.06
Aug-16,7.05
Sep-16,6.18
Oct-16,6.22
