MonthYear,Rate
Dec-01,3
Jan-02,3
Feb-02,3
Mar-02,3
Apr-02,3
May-02,3
Jun-02,3
Jul-02,3
Aug-02,3
Sep-02,3
Oct-02,3
Nov-02,3
Dec-02,3
Jan-03,3
Feb-03,3
Mar-03,3
Apr-03,3
May-03,3
Jun-03,3
Jul-03,3
Aug-03,3
Sep-03,3
Oct-03,3
Nov-03,3
Dec-03,3
Jan-04,3
Feb-04,3
Mar-04,3
Apr-04,3
May-04,3
Jun-04,3
Jul-04,3
Aug-04,3
Sep-04,3
Oct-04,3
Nov-04,3
Dec-04,3
Jan-05,3
Feb-05,3
Mar-05,3
Apr-05,3
May-05,3
Jun-05,3
Jul-05,3
Aug-05,3
Sep-05,3
Oct-05,3
Nov-05,3
Dec-05,3
Jan-06,3
Feb-06,3
Mar-06,3
Apr-06,3
May-06,3
Jun-06,3
Jul-06,3
Aug-06,3
Sep-06,3
Oct-06,3
Nov-06,3
Dec-06,3
Jan-07,3
Feb-07,3
Mar-07,3
Apr-07,3
May-07,3
Jun-07,3
Jul-07,3
Aug-07,3
Sep-07,3
Oct-07,3
Nov-07,3
Dec-07,3
Jan-08,3
Feb-08,3
Mar-08,3
Apr-08,3
May-08,3
Jun-08,3
Jul-08,3
Aug-08,3
Sep-08,3
Oct-08,3
Nov-08,3
Dec-08,3
Jan-09,3
Feb-09,3
Mar-09,3
Apr-09,3
May-09,3
Jun-09,3
Jul-09,3
Aug-09,3
Sep-09,3
Oct-09,3
Nov-09,3
Dec-09,3
Jan-10,3
Feb-10,3
Mar-10,3
Apr-10,3
May-10,3
Jun-10,3
Jul-10,3
Aug-10,3
Sep-10,3
Oct-10,3
Nov-10,3
Dec-10,3
Jan-11,3.4
Feb-11,3.7
Mar-11,3.5
Apr-11,3.1
May-11,3.1
Jun-11,3.1
Jul-11,3.1
Aug-11,3.1
Sep-11,3
Oct-11,3.4
Nov-11,3.5
Dec-11,3.6
Jan-12,3.5
Feb-12,3.5
Mar-12,3.5
Apr-12,3.6
May-12,3.2
Jun-12,3.2
Jul-12,3.3
Aug-12,3.3
Sep-12,3.3
Oct-12,3.3
Nov-12,3.2
Dec-12,3.4
Jan-13,3.3
Feb-13,3.4
Mar-13,3.4
Apr-13,3.3
May-13,3
Jun-13,2.9
Jul-13,2.8
Aug-13,2.8
Sep-13,2.7
Oct-13,2.5
Nov-13,2.3
Dec-13,2.6
Jan-14,2.26
Feb-14,2.2
Mar-14,2.01
Apr-14,2.12
May-14,1.99
Jun-14,2.06
Jul-14,1.88
Aug-14,2.06
Sep-14,2.06
Oct-14,2.23
Nov-14,2.58
Dec-14,5.56
Jan-15,5.48
Feb-15,5.47
Mar-15,5.41
Apr-15,4.3
May-15,3.87
Jun-15,2.91
Jul-15,2.45
Aug-15,2.09
Sep-15,2.06
Oct-15,1.83
Nov-15,1.78
Dec-15,1.76
Jan-16,1.64
Feb-16,1.68
Mar-16,1.63
Apr-16,1.39
May-16,1.28
Jun-16,1.09
Jul-16,0.97
Aug-16,0.95
Sep-16,0.88
Oct-16,0.77
