DATE,CLOSE
19990101,24.09
19990106,24.40
19990107,25.73
19990111,25.89
19990112,26.71
19990113,25.95
19990114,25.24
19990115,25.00
19990116,25.63
19990119,25.89
19990120,26.59
19990121,25.93
19990122,26.31
19990123,26.38
19990126,26.62
19990127,26.41
19990128,26.14
19990129,26.06
19990130,25.79
19990202,25.86
19990203,25.97
19990204,26.20
19990205,26.16
19990206,26.20
19990209,25.93
19990210,25.89
19990211,25.69
19990212,25.81
19990213,25.73
19990216,25.76
19990217,25.90
19990218,25.68
19990219,25.81
19990220,25.58
19990223,25.20
19990224,25.19
19990225,25.05
19990226,25.17
19990227,25.11
19990302,25.17
19990303,24.92
19990304,25.05
19990305,25.00
19990306,25.00
19990310,25.10
19990311,25.00
19990312,25.24
19990313,25.46
19990316,25.38
19990317,25.33
19990318,25.69
19990319,26.09
19990320,25.96
19990323,26.00
19990324,26.46
19990325,26.42
19990326,26.33
19990327,26.26
19990330,26.02
19990331,25.94
19990401,25.92
19990402,26.16
19990403,26.75
19990406,27.01
19990407,26.92
19990408,27.15
19990409,27.06
19990410,26.91
19990413,27.02
19990414,26.95
19990415,26.80
19990416,26.77
19990417,26.40
19990420,26.48
19990421,26.41
19990422,26.26
19990423,26.20
19990424,26.22
19990427,26.02
19990428,25.91
19990429,25.94
19990430,25.73
19990501,25.67
19990506,25.63
19990507,25.86
19990508,25.96
19990512,25.89
19990513,25.73
19990514,26.30
19990515,26.57
19990518,26.49
19990519,26.52
19990520,26.39
19990521,26.36
19990522,26.09
19990525,25.97
19990526,26.02
19990527,25.95
19990528,25.57
19990529,25.52
19990601,25.54
19990602,25.48
19990603,25.51
19990604,25.24
19990605,25.10
19990608,25.03
19990609,25.13
19990610,25.40
19990611,25.38
19990612,25.48
19990616,25.29
19990617,25.25
19990618,24.98
19990619,25.00
19990622,25.20
19990623,25.03
19990624,25.05
19990625,25.01
19990626,25.24
19990629,25.21
19990630,25.07
19990701,25.02
19990702,25.13
19990703,24.87
19990706,24.82
19990707,25.03
19990708,25.06
19990709,24.88
19990710,24.97
19990713,24.87
19990714,24.69
19990715,24.79
19990716,24.87
19990717,24.81
19990720,24.65
19990721,24.98
19990722,25.35
19990723,25.48
19990724,25.45
19990727,25.51
19990728,25.86
19990729,25.81
19990730,25.80
19990731,25.94
19990803,25.85
19990804,25.82
19990805,26.04
19990806,26.28
19990807,26.39
19990810,27.10
19990811,26.76
19990812,26.73
19990813,26.53
19990814,26.60
19990817,26.30
19990818,26.17
19990819,25.88
19990820,25.80
19990821,26.39
19990824,26.45
19990825,25.83
19990826,26.03
19990827,25.86
19990828,25.90
19990831,25.92
19990901,26.05
19990902,26.67
19990903,27.33
19990904,27.61
19990907,27.33
19990908,27.25
19990909,27.28
19990910,27.31
19990911,27.06
19990914,26.47
19990915,26.51
19990916,26.26
19990917,26.49
19990918,26.34
19990921,26.48
19990922,26.32
19990923,26.58
19990924,26.41
19990925,26.58
19990928,26.42
19990929,26.37
19990930,26.46
19991001,26.66
19991002,27.02
19991005,27.32
19991006,27.77
19991007,27.61
19991008,27.54
19991009,27.58
19991012,27.35
19991013,27.41
19991014,27.71
19991015,27.71
19991016,27.91
19991019,28.17
19991020,27.95
19991021,27.86
19991022,27.78
19991023,27.77
19991026,27.46
19991027,27.42
19991028,27.30
19991029,27.41
19991030,27.43
19991102,27.46
19991103,27.78
19991104,27.62
19991105,27.53
19991106,27.18
19991110,27.14
19991111,27.18
19991112,27.23
19991113,27.38
19991116,27.10
19991117,27.11
19991118,27.15
19991119,27.49
19991120,27.19
19991123,27.30
19991124,27.30
19991125,27.11
19991126,26.91
19991127,26.87
19991130,26.84
19991201,26.72
19991202,27.00
19991203,26.85
19991204,26.78
19991207,26.87
19991208,27.41
19991209,27.58
19991210,27.63
19991211,27.35
19991215,27.20
19991216,26.95
19991217,26.96
19991218,27.23
19991221,26.95
19991222,27.01
19991223,26.98
19991224,26.96
19991225,27.14
19991228,27.33
19991229,27.32
19991230,27.23
20000101,27.20
20000106,27.92
20000107,28.21
20000111,28.48
20000112,29.26
20000113,29.85
20000114,29.48
20000115,29.29
20000118,28.92
20000119,28.84
20000120,28.94
20000121,28.84
20000122,28.93
20000125,28.51
20000126,28.72
20000127,28.60
20000128,28.56
20000129,28.23
20000201,27.98
20000202,27.89
20000203,27.81
20000204,28.00
20000205,28.49
20000208,28.20
20000209,28.18
20000210,28.32
20000211,28.45
20000212,28.35
20000215,28.45
20000216,28.12
20000217,28.18
20000218,28.39
20000219,28.44
20000222,28.35
20000223,28.67
20000224,29.01
20000225,28.87
20000226,28.46
20000229,27.44
20000301,27.75
20000302,27.76
20000303,27.90
20000304,27.61
20000307,27.37
20000308,27.39
20000310,27.43
20000311,27.57
20000314,27.51
20000315,27.48
20000316,27.52
20000317,27.57
20000318,27.58
20000321,27.57
20000322,27.59
20000323,27.25
20000324,27.26
20000325,27.54
20000328,27.69
20000329,27.37
20000330,27.08
20000331,27.13
20000401,27.40
20000404,27.43
20000405,27.50
20000406,27.66
20000407,27.57
20000408,27.41
20000411,27.36
20000412,27.51
20000413,27.39
20000414,27.32
20000415,27.17
20000418,27.59
20000419,27.28
20000420,27.07
20000421,26.90
20000422,26.80
20000425,26.80
20000426,26.78
20000427,26.15
20000428,26.20
20000429,25.89
20000504,25.77
20000505,25.31
20000506,25.27
20000507,25.41
20000511,25.72
20000512,25.61
20000513,25.55
20000516,25.94
20000517,25.71
20000518,25.49
20000519,25.34
20000520,25.30
20000523,25.38
20000524,25.59
20000525,25.61
20000526,25.44
20000527,25.79
20000530,26.31
20000531,26.19
20000601,26.27
20000602,26.45
20000603,26.37
20000606,26.75
20000607,26.83
20000608,27.02
20000609,27.11
20000610,26.98
20000614,27.10
20000615,27.30
20000616,27.10
20000617,26.94
20000620,27.31
20000621,27.04
20000622,26.82
20000623,26.68
20000624,26.38
20000627,26.34
20000628,26.38
20000629,26.57
20000630,26.48
20000701,26.72
20000704,26.72
20000705,26.56
20000706,26.66
20000707,26.71
20000708,26.58
20000711,26.63
20000712,26.64
20000713,26.50
20000714,26.22
20000715,26.03
20000718,26.11
20000719,26.01
20000720,25.67
20000721,25.59
20000722,25.77
20000725,25.86
20000726,25.83
20000727,26.00
20000728,26.15
20000729,25.92
20000801,25.67
20000802,25.83
20000803,25.49
20000804,25.48
20000805,25.12
20000808,25.20
20000809,25.16
20000810,24.94
20000811,25.02
20000812,25.13
20000815,24.99
20000816,25.14
20000817,25.40
20000818,25.36
20000819,25.38
20000822,25.12
20000823,25.02
20000824,24.77
20000825,24.99
20000826,24.88
20000829,25.04
20000830,24.93
20000831,24.74
20000901,24.81
20000902,24.65
20000905,25.00
20000906,24.94
20000907,24.73
20000908,24.19
20000909,24.22
20000912,24.20
20000913,23.90
20000914,23.95
20000915,23.84
20000916,23.98
20000919,23.72
20000920,23.67
20000921,23.63
20000922,23.59
20000923,23.90
20000926,24.56
20000927,24.32
20000928,24.59
20000929,24.50
20000930,24.42
20001003,24.47
20001004,24.36
20001005,24.38
20001006,24.35
20001007,24.26
20001010,24.24
20001011,24.24
20001012,24.32
20001013,24.20
20001014,24.07
20001017,23.78
20001018,23.61
20001019,23.84
20001020,23.44
20001021,23.64
20001024,23.47
20001025,23.35
20001026,23.32
20001027,23.07
20001028,23.12
20001031,23.42
20001101,23.35
20001102,23.70
20001103,23.95
20001104,23.92
20001105,24.14
20001109,23.96
20001110,23.64
20001111,24.10
20001114,24.02
20001115,23.83
20001116,23.77
20001117,23.83
20001118,23.78
20001121,23.65
20001122,23.71
20001123,23.60
20001124,23.51
20001125,23.37
20001128,23.43
20001129,23.78
20001130,23.88
20001201,23.97
20001202,24.41
20001205,24.51
20001206,24.78
20001207,24.56
20001208,24.97
20001209,24.80
20001210,24.81
20001214,24.53
20001215,24.53
20001216,24.98
20001219,25.12
20001220,24.99
20001221,25.11
20001222,25.33
20001223,25.62
20001226,25.84
20001227,25.96
20001228,26.20
20001229,26.15
20001230,26.14
20010104,26.79
20010105,26.53
20010106,27.18
20010110,26.86
20010111,26.77
20010112,26.69
20010113,27.09
20010116,26.82
20010117,26.62
20010118,26.76
20010119,26.62
20010120,26.82
20010123,26.50
20010124,26.75
20010125,26.57
20010126,26.16
20010127,26.18
20010130,26.18
20010131,26.00
20010201,26.31
20010202,26.72
20010203,26.71
20010206,26.69
20010207,26.63
20010208,26.43
20010209,26.46
20010210,26.28
20010213,26.62
20010214,26.66
20010215,26.36
20010216,26.35
20010217,26.00
20010220,26.20
20010221,26.43
20010222,25.99
20010223,26.02
20010224,25.96
20010227,26.39
20010228,26.22
20010301,26.29
20010302,26.42
20010303,26.63
20010306,26.75
20010307,26.60
20010308,26.80
20010312,26.72
20010313,26.75
20010314,26.51
20010315,26.18
20010316,26.06
20010317,25.71
20010320,25.63
20010321,25.88
20010322,26.03
20010323,25.67
20010324,25.62
20010327,25.65
20010328,25.71
20010329,25.71
20010330,25.50
20010331,25.29
20010403,25.23
20010404,25.47
20010405,25.86
20010406,26.14
20010407,25.90
20010410,26.02
20010411,25.85
20010412,25.68
20010413,25.64
20010414,25.71
20010417,25.64
20010418,25.67
20010419,25.44
20010420,25.62
20010421,25.86
20010424,26.12
20010425,25.90
20010426,25.82
20010427,25.88
20010428,26.02
20010429,25.67
20010504,25.90
20010505,25.80
20010508,25.84
20010509,25.75
20010511,25.66
20010512,25.50
20010515,25.33
20010516,25.40
20010517,25.42
20010518,25.71
20010519,25.65
20010522,25.65
20010523,25.43
20010524,25.15
20010525,24.90
20010526,25.01
20010529,24.98
20010530,24.93
20010531,24.87
20010601,24.82
20010602,24.72
20010605,24.83
20010606,24.63
20010607,24.86
20010608,24.70
20010609,24.71
20010610,24.78
20010614,24.85
20010615,24.86
20010616,25.07
20010619,25.08
20010620,25.00
20010621,24.86
20010622,24.87
20010623,24.85
20010626,25.01
20010627,25.04
20010628,25.14
20010629,25.03
20010630,24.57
20010703,24.70
20010704,24.74
20010705,24.72
20010706,24.62
20010707,24.39
20010710,24.79
20010711,24.88
20010712,24.96
20010713,25.02
20010714,24.89
20010717,25.01
20010718,24.87
20010719,25.13
20010720,25.53
20010721,25.55
20010724,25.48
20010725,25.46
20010726,25.54
20010727,25.75
20010728,25.70
20010731,25.60
20010801,25.68
20010802,25.81
20010803,25.88
20010804,25.88
20010807,25.83
20010808,25.78
20010809,25.71
20010810,25.95
20010811,26.16
20010814,26.21
20010815,26.33
20010816,26.51
20010817,26.88
20010818,26.76
20010821,26.99
20010822,26.77
20010823,26.90
20010824,26.84
20010825,26.90
20010828,26.73
20010829,26.53
20010830,26.80
20010831,26.67
20010901,27.01
20010904,26.72
20010905,26.51
20010906,26.12
20010907,26.14
20010908,26.34
20010911,26.62
20010912,26.44
20010913,26.94
20010914,26.72
20010915,26.78
20010918,27.29
20010919,27.14
20010920,27.24
20010921,27.30
20010922,27.10
20010925,26.89
20010926,26.93
20010927,27.13
20010928,27.02
20010929,26.86
20011002,26.77
20011003,26.99
20011004,27.16
20011005,27.02
