<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
FXGD,M,20131001,000000,296.0000000,312.0000000,295.5000000,304.7400000,27840
FXGD,M,20131101,000000,305.7600000,308.5000000,290.0000000,298.2200000,90220
FXGD,M,20131201,000000,297.3900000,297.5000000,281.0000000,285.1300000,80310
FXGD,M,20140101,000000,296.6500000,321.5300000,291.8600000,317.3000000,42910
FXGD,M,20140201,000000,316.1100000,346.8500000,313.2400000,341.8000000,105380
FXGD,M,20140301,000000,354.2500000,366.2500000,325.5100000,325.5100000,243470
FXGD,M,20140401,000000,324.3300000,343.8900000,322.7700000,331.6300000,131010
FXGD,M,20140501,000000,330.0000000,340.4500000,312.2600000,313.1800000,117970
FXGD,M,20140601,000000,312.5000000,326.7000000,310.1500000,322.5600000,86720
FXGD,M,20140701,000000,323.9500000,334.7600000,319.0300000,328.0000000,164650
FXGD,M,20140801,000000,332.4700000,342.0000000,330.3800000,340.5000000,115040
FXGD,M,20140901,000000,342.0000000,345.0300000,332.4000000,344.8000000,55370
FXGD,M,20141001,000000,344.8000000,376.4500000,341.6300000,357.2300000,57980
FXGD,M,20141101,000000,364.3200000,418.7000000,359.1700000,418.0900000,58210
FXGD,M,20141201,000000,432.5000000,625.5000000,432.5000000,481.5000000,96300
FXGD,M,20150101,000000,505.0000000,647.0000000,497.0000000,639.5000000,35424
FXGD,M,20150201,000000,690.0000000,749.0000000,525.0000000,540.0000000,25857
FXGD,M,20150301,000000,545.5000000,547.0000000,485.0000000,496.5000000,37130
FXGD,M,20150401,000000,496.5000000,498.0000000,429.0000000,434.5000000,101908
FXGD,M,20150501,000000,441.0000000,453.5000000,423.5000000,445.5000000,45880
FXGD,M,20150601,000000,450.5000000,478.5000000,449.5000000,466.5000000,72267
FXGD,M,20150701,000000,466.5000000,484.0000000,448.5000000,481.5000000,77550
FXGD,M,20150801,000000,487.0000000,615.0000000,487.0000000,539.0000000,103046
FXGD,M,20150901,000000,535.5000000,559.5000000,523.0000000,526.0000000,79938
FXGD,M,20151001,000000,523.0000000,553.5000000,506.0000000,526.0000000,57891
FXGD,M,20151101,000000,525.5000000,529.5000000,499.5000000,505.5000000,227769
FXGD,M,20151201,000000,512.5000000,564.0000000,508.0000000,559.0000000,76432
FXGD,M,20160101,000000,564.5000000,677.0000000,562.5000000,604.5000000,151766
FXGD,M,20160201,000000,612.5000000,717.0000000,608.5000000,664.5000000,138630
FXGD,M,20160301,000000,658.0000000,668.0000000,588.0000000,593.0000000,161089
FXGD,M,20160401,000000,599.0000000,612.0000000,578.0000000,599.0000000,116570
FXGD,M,20160501,000000,599.5000000,613.0000000,566.5000000,573.0000000,71003
FXGD,M,20160601,000000,578.5000000,621.5000000,571.0000000,600.0000000,127667
FXGD,M,20160701,000000,606.0000000,637.0000000,593.5000000,632.0000000,87699
FXGD,M,20160801,000000,629.5000000,648.0000000,607.5000000,611.0000000,92714
FXGD,M,20160901,000000,610.0000000,624.5000000,592.5000000,592.5000000,118652
FXGD,M,20161001,000000,580.0000000,587.5000000,551.5000000,575.5000000,119230
FXGD,M,20161101,000000,577.0000000,603.0000000,534.5000000,538.5000000,112580
FXGD,M,20161201,000000,537.0000000,537.0000000,488.0000000,501.5000000,157184
FXGD,M,20170101,000000,500.5000000,507.0000000,455.0000000,502.0000000,18267
