<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
FXMM,M,20140501,000000,1002.5000000,1004.0000000,1002.5000000,1004.0000000,35
FXMM,M,20140601,000000,1005.8000000,1010.1000000,1005.8000000,1010.1000000,523
FXMM,M,20140701,000000,1011.9000000,1017.6000000,1011.9000000,1017.4000000,2234
FXMM,M,20140801,000000,1018.8000000,1024.3000000,1018.8000000,1024.3000000,547
FXMM,M,20140901,000000,1024.6000000,1029.5000000,1024.6000000,1029.5000000,9217
FXMM,M,20141001,000000,1029.6000000,1041.2000000,1029.6000000,1035.0000000,9014
FXMM,M,20141101,000000,1035.5000000,1043.1000000,1035.5000000,1042.9000000,953
FXMM,M,20141201,000000,1043.7000000,1052.9000000,1043.5000000,1052.7000000,4294
FXMM,M,20150101,000000,1059.1000000,1070.2000000,1059.1000000,1070.0000000,3660
FXMM,M,20150201,000000,1071.0000000,1081.5000000,1071.0000000,1081.3000000,2966
FXMM,M,20150301,000000,1082.7000000,1097.2000000,1082.7000000,1097.2000000,22746
FXMM,M,20150401,000000,1097.6000000,1200.0000000,1030.2000000,1110.0000000,19959
FXMM,M,20150501,000000,1112.5000000,1121.7000000,1112.5000000,1121.7000000,8597
FXMM,M,20150601,000000,1122.2000000,1135.7000000,1112.2000000,1135.5000000,31856
FXMM,M,20150701,000000,1136.0000000,1146.5000000,1135.7000000,1146.5000000,76085
FXMM,M,20150801,000000,1146.5000000,1160.0000000,1146.5000000,1155.7000000,100561
FXMM,M,20150901,000000,1156.0000000,1164.5000000,1155.9000000,1164.4000000,79748
FXMM,M,20151001,000000,1164.6000000,1174.3000000,1091.2000000,1174.3000000,48233
FXMM,M,20151101,000000,1174.4000000,1183.9000000,1174.4000000,1183.8000000,40173
FXMM,M,20151201,000000,1184.2000000,1221.0000000,1170.0000000,1194.7000000,191469
FXMM,M,20160101,000000,1198.2000000,1203.8000000,1190.0000000,1203.8000000,171969
FXMM,M,20160201,000000,1204.3000000,1215.1000000,1204.1000000,1215.1000000,248224
FXMM,M,20160301,000000,1215.7000000,1232.1000000,1215.5000000,1228.6000000,439446
FXMM,M,20160401,000000,1228.8000000,1233.2000000,1150.1000000,1233.2000000,485342
FXMM,M,20160501,000000,1233.1000000,1237.5000000,1233.1000000,1237.3000000,347999
FXMM,M,20160601,000000,1237.9000000,1249.9000000,1237.7000000,1246.6000000,203298
FXMM,M,20160701,000000,1246.8000000,1253.8000000,1246.8000000,1253.7000000,155808
FXMM,M,20160801,000000,1253.7000000,1265.5000000,1253.7000000,1265.5000000,293549
FXMM,M,20160901,000000,1265.5000000,1273.6000000,1187.0000000,1273.4000000,443701
FXMM,M,20161001,000000,1273.0000000,1282.7000000,1273.0000000,1282.7000000,189008
FXMM,M,20161101,000000,1282.8000000,1292.2000000,1280.5000000,1292.1000000,213251
FXMM,M,20161201,000000,1292.3000000,1302.5000000,1292.3000000,1302.2000000,299457
FXMM,M,20170101,000000,1302.5000000,1304.3000000,1302.5000000,1304.3000000,49535
