<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
FXRL,M,20160301,000000,1547.5000000,1612.5000000,1525.5000000,1569.5000000,33534
FXRL,M,20160401,000000,1554.0000000,1658.0000000,1541.0000000,1645.0000000,6276
FXRL,M,20160501,000000,1647.0000000,1655.0000000,1547.5000000,1592.5000000,8590
FXRL,M,20160601,000000,1590.5000000,1645.5000000,1559.5000000,1605.0000000,9984
FXRL,M,20160701,000000,1596.0000000,1683.5000000,1580.0000000,1679.0000000,7024
FXRL,M,20160801,000000,1689.0000000,1718.0000000,1639.5000000,1695.5000000,2408
FXRL,M,20160901,000000,1697.5000000,1778.5000000,1697.5000000,1710.0000000,2601
FXRL,M,20161001,000000,1698.5000000,1740.5000000,1687.0000000,1724.5000000,2622
FXRL,M,20161101,000000,1727.0000000,1835.0000000,1694.0000000,1835.0000000,3349
FXRL,M,20161201,000000,1837.5000000,1956.0000000,1832.5000000,1951.5000000,5899
FXRL,M,20170101,000000,1979.0000000,2010.0000000,1920.0000000,1933.0000000,1481
