<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
FXRU,M,20131201,000000,3355.4000000,3355.4000000,3293.2000000,3293.2000000,75
FXRU,M,20140101,000000,3364.1000000,3520.0000000,3364.1000000,3520.0000000,3439
FXRU,M,20140201,000000,3535.0000000,3629.9000000,3531.7000000,3617.0000000,2059
FXRU,M,20140301,000000,3658.5000000,3658.5000000,3320.5000000,3320.5000000,7122
FXRU,M,20140401,000000,3360.0000000,3431.2000000,3289.0000000,3330.0000000,6669
FXRU,M,20140501,000000,3325.0000000,3380.0000000,3270.0000000,3380.0000000,6621
FXRU,M,20140601,000000,3380.0000000,3415.6000000,3320.0000000,3340.0000000,6085
FXRU,M,20140701,000000,3390.9000000,3415.2000000,3330.0000000,3354.4000000,4639
FXRU,M,20140801,000000,3350.0000000,3469.5000000,3322.9000000,3460.0000000,5709
FXRU,M,20140901,000000,3492.5000000,3689.6000000,3440.0000000,3595.9000000,5120
FXRU,M,20141001,000000,3600.0000000,3920.0000000,3580.0000000,3855.0000000,4530
FXRU,M,20141101,000000,4028.3000000,4407.7000000,4010.0000000,4403.3000000,3927
FXRU,M,20141201,000000,4610.0000000,5540.0000000,4260.0000000,4670.0000000,4167
FXRU,M,20150101,000000,4940.0000000,5590.0000000,4940.0000000,5560.0000000,2351
FXRU,M,20150201,000000,5470.0000000,5550.0000000,5090.0000000,5210.0000000,4584
FXRU,M,20150301,000000,5300.0000000,5390.0000000,4930.0000000,5070.0000000,7585
FXRU,M,20150401,000000,5130.0000000,5430.0000000,4050.0000000,4670.0000000,10030
FXRU,M,20150501,000000,4660.0000000,4890.0000000,4500.0000000,4830.0000000,2254
FXRU,M,20150601,000000,4850.0000000,5180.0000000,4850.0000000,5110.0000000,6368
FXRU,M,20150701,000000,5110.0000000,5650.0000000,5080.0000000,5650.0000000,3836
FXRU,M,20150801,000000,5790.0000000,6560.0000000,5770.0000000,6130.0000000,5662
FXRU,M,20150901,000000,6110.0000000,6400.0000000,6020.0000000,6160.0000000,6840
FXRU,M,20151001,000000,6160.0000000,6310.0000000,5520.0000000,6140.0000000,6709
FXRU,M,20151101,000000,6090.0000000,6400.0000000,6000.0000000,6330.0000000,3630
FXRU,M,20151201,000000,6330.0000000,7030.0000000,6330.0000000,7020.0000000,5500
FXRU,M,20160101,000000,7000.0000000,8060.0000000,6950.0000000,7230.0000000,6910
FXRU,M,20160201,000000,7320.0000000,7740.0000000,7200.0000000,7250.0000000,3049
FXRU,M,20160301,000000,7250.0000000,7470.0000000,6660.0000000,6720.0000000,9462
FXRU,M,20160401,000000,6700.0000000,6930.0000000,6490.0000000,6540.0000000,22236
FXRU,M,20160501,000000,6710.0000000,6870.0000000,6570.0000000,6710.0000000,12283
FXRU,M,20160601,000000,6790.0000000,6930.0000000,6550.0000000,6630.0000000,11295
FXRU,M,20160701,000000,6630.0000000,6860.0000000,6490.0000000,6760.0000000,11779
FXRU,M,20160801,000000,6650.0000000,6930.0000000,6620.0000000,6770.0000000,16859
FXRU,M,20160901,000000,6770.0000000,6870.0000000,6550.0000000,6550.0000000,9499
FXRU,M,20161001,000000,6540.0000000,6620.0000000,6410.0000000,6610.0000000,20926
FXRU,M,20161101,000000,6570.0000000,6820.0000000,6460.0000000,6570.0000000,10271
FXRU,M,20161201,000000,6520.0000000,6590.0000000,6200.0000000,6260.0000000,8470
FXRU,M,20170101,000000,6270.0000000,6320.0000000,6150.0000000,6200.0000000,1268
