<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,M,20060101,0,239,239,215,219.02,78796025
GAZP,M,20060201,0,219.5,230.16,215,218.79,152805259
GAZP,M,20060301,0,219,239.37,214.6,230.15,340823503
GAZP,M,20060401,0,230.98,325.4,230.1,310.25,876671192
GAZP,M,20060501,0,315,359.27,229.54,283,1861403977
GAZP,M,20060601,0,287.56,306,219,281.83,1409730758
GAZP,M,20060701,0,283.5,287.97,252.54,277.88,861231997
GAZP,M,20060801,0,278.55,319.4,274.6,313.45,1472862012
GAZP,M,20060901,0,313.69,314.36,261.51,288,1038721814
GAZP,M,20061001,0,290.25,303.4,275.5,282.19,1110817824
GAZP,M,20061101,0,283.6,311,281.9,305.5,889955771
GAZP,M,20061201,0,306.9,311.8,290.94,302.56,963525571
GAZP,M,20070101,0,298,298,276.4,285,651372357
GAZP,M,20070201,0,288.32,293.98,262.01,267.42,689019305
GAZP,M,20070301,0,266.25,277.45,239.8,270.98,1157482924
GAZP,M,20070401,0,270.98,276.48,249.5,257.49,630087758
GAZP,M,20070501,0,254.88,258.29,222.65,236,572781893
GAZP,M,20070601,0,236.96,270.4,233.6,267.74,922443873
GAZP,M,20070701,0,267.94,294.4,262.7,275.6,1249742323
GAZP,M,20070801,0,270.16,282.48,251.82,265.8,989470941
GAZP,M,20070901,0,266.11,277.14,260,274.2,837453801
GAZP,M,20071001,0,273.25,306.99,270.77,306.68,1061266958
GAZP,M,20071101,0,308.45,328.5,301,323.39,1430798583
GAZP,M,20071201,0,322.89,359.4,319.12,342.88,1390266444
GAZP,M,20080101,0,354.1,365.64,281.6,290.95,1512033876
GAZP,M,20080201,0,297,322,281.6,304.95,1506758061
GAZP,M,20080301,0,298.25,313.09,284.5,297.61,1170534247
GAZP,M,20080401,0,297.5,319.87,294.75,312.49,1018611138
GAZP,M,20080501,0,315.09,369.5,313.11,360.09,1232799023
GAZP,M,20080601,0,359,360.35,330.1,341,779386418
GAZP,M,20080701,0,339.02,340.43,262.2,277.89,1112650512
GAZP,M,20080801,0,276,279.68,220.55,242.34,1221803615
GAZP,M,20080901,0,239,248.47,150,198,1279400193
GAZP,M,20081001,0,202,203.99,84,133.5,1512354342
GAZP,M,20081101,0,137.13,160,88.88,118.36,1857728057
GAZP,M,20081201,0,117.25,118.86,101.6,107.63,1937215132
GAZP,M,20090101,0,115.01,118.27,99.5,114.7,1197814302
GAZP,M,20090201,0,113,130.91,107.1,116.5,1548264219
GAZP,M,20090301,0,113.12,141.5,108.76,126.4,1810247832
GAZP,M,20090401,0,126,152.4,124.6,147.82,1586699632
GAZP,M,20090501,0,151.02,186.28,151,178.1,1633132613
GAZP,M,20090601,0,182.84,195.84,143.01,155.79,1630558467
GAZP,M,20090701,0,157.41,169.25,130.57,162.52,2061439756
GAZP,M,20090801,0,164.59,174.98,147.78,163.1,1899460727
GAZP,M,20090901,0,164.5,186.39,154.62,175,2084212251
GAZP,M,20091001,0,176.89,204.97,167,175.9,2378518769
GAZP,M,20091101,0,174.31,189.51,158.75,166.49,1678965773
GAZP,M,20091201,0,167.53,186.09,161.2,183.09,1443099782
GAZP,M,20100101,0,192.55,196.9,177.1,186.44,804195386
GAZP,M,20100201,0,184.75,195.27,162.01,167.61,1354261225
GAZP,M,20100301,0,168.7,178.09,159.49,171.5,1419795862
GAZP,M,20100401,0,172.46,185.22,169.67,170,1524224501
GAZP,M,20100501,0,171.44,172.2,142.09,159.84,1336499867
GAZP,M,20100601,0,158.19,168.19,147.03,149.1,1138524871
GAZP,M,20100701,0,146.98,167,143.04,162.85,915650918
GAZP,M,20100801,0,163.99,170.64,154.72,159.15,916831396
GAZP,M,20100901,0,159.6,167.39,155.71,160,906820165
GAZP,M,20101001,0,160,171.4,159.47,168.89,1148029422
GAZP,M,20101101,0,169.99,177.44,165.6,174.2,999579748
GAZP,M,20101201,0,174.7,198.15,174.55,193.5,1397069769
GAZP,M,20110101,0,193.92,202.85,187.26,196.98,1047185648
GAZP,M,20110201,0,198.43,216.65,194.12,210.71,1685236706
GAZP,M,20110301,0,212.37,230.44,204,229.09,1736168610
GAZP,M,20110401,0,229.1,247.47,217,231.78,1539492480
GAZP,M,20110501,0,231.02,232,190.05,204.02,1515262890
GAZP,M,20110601,0,205.42,212.49,194.07,203.87,1423683130
GAZP,M,20110701,0,203.56,208.78,197.79,199.44,1011323340
GAZP,M,20110801,0,202.51,204.67,153.11,178.08,2019407180
GAZP,M,20110901,0,177.89,178.79,145.5,155.9,1532773160
GAZP,M,20111001,0,152.44,190.24,139.4,179.2,1702626450
GAZP,M,20111101,0,176.9,189.72,161.84,174.9,1693370960
GAZP,M,20111201,0,176.11,186.69,160.1,171.36,1510639020
GAZP,M,20120101,0,172.53,187.43,172.22,183.8,855896450
GAZP,M,20120201,0,183,196,182.6,194.09,842368320
