<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GMKN,M,20011001,000000,379.0000000,379.0000000,366.0000000,366.0100000,1200
GMKN,M,20011101,000000,371.9900000,502.9000000,345.0000000,468.9500000,537828
GMKN,M,20011201,000000,456.0000000,518.0000000,456.0000000,512.8900000,488566
GMKN,M,20020101,000000,515.2000000,598.0000000,456.2000000,498.0000000,1118266
GMKN,M,20020201,000000,503.0000000,623.0000000,488.0000000,608.5000000,1789962
GMKN,M,20020301,000000,609.9800000,695.0000000,600.0000000,678.0000000,1307810
GMKN,M,20020401,000000,681.0000000,793.9800000,615.0000000,735.0000000,1827006
GMKN,M,20020501,000000,735.0000000,753.0000000,600.5000000,728.0000000,1495535
GMKN,M,20020601,000000,729.9000000,738.5000000,577.1100000,658.0000000,1030344
GMKN,M,20020701,000000,660.0000000,737.0000000,601.0000000,627.0000000,1345767
GMKN,M,20020801,000000,626.0000000,648.0000000,584.0000000,600.9000000,745477
GMKN,M,20020901,000000,596.0100000,629.0000000,518.0000000,519.0100000,960869
GMKN,M,20021001,000000,528.9500000,630.9900000,518.2200000,630.9000000,3270687
GMKN,M,20021101,000000,630.0000000,691.0000000,617.0100000,660.0000000,2273086
GMKN,M,20021201,000000,663.0000000,675.9900000,595.0000000,646.9700000,1708884
GMKN,M,20030101,000000,646.9700000,774.9000000,641.0000000,773.0000000,3050187
GMKN,M,20030201,000000,775.0000000,799.5000000,755.5000000,789.9000000,1396696
GMKN,M,20030301,000000,792.0000000,845.0000000,745.5200000,748.0000000,1591259
GMKN,M,20030401,000000,748.8900000,798.9000000,710.0000000,715.0000000,2459176
GMKN,M,20030501,000000,716.0000000,858.2000000,716.0000000,853.0000000,3925597
GMKN,M,20030601,000000,858.0000000,1105.0000000,834.2200000,1051.0000000,4869162
GMKN,M,20030701,000000,1050.5000000,1144.0000000,911.0000000,1136.0000000,2449628
GMKN,M,20030801,000000,1090.0000000,1244.9900000,1074.5000000,1204.7900000,1820114
GMKN,M,20030901,000000,1206.0000000,1553.9900000,1204.0000000,1512.0000000,2454617
GMKN,M,20031001,000000,1509.0500000,2000.0000000,1464.0000000,1578.5000000,4715689
GMKN,M,20031101,000000,1599.0000000,1777.0000000,1477.0000000,1731.0000000,2865091
GMKN,M,20031201,000000,1730.0000000,1944.0000000,1603.1100000,1900.0000000,3428371
GMKN,M,20040101,000000,1970.0000000,2118.0000000,1858.0000000,2058.8000000,4973758
GMKN,M,20040201,000000,2065.0000000,2093.0000000,1920.0000000,2037.0000000,5055975
GMKN,M,20040301,000000,2041.7600000,2174.0000000,1982.3000000,2148.8000000,7570159
GMKN,M,20040401,000000,2150.0000000,2357.5000000,1653.0000000,1750.0000000,7728035
GMKN,M,20040501,000000,1771.0000000,1899.0000000,1531.1000000,1646.9800000,4343313
GMKN,M,20040601,000000,1643.5000000,1795.9900000,1384.0000000,1596.9700000,7409290
GMKN,M,20040701,000000,1615.4500000,1753.0000000,1292.0000000,1490.0000000,5614509
GMKN,M,20040801,000000,1485.6400000,1653.0000000,1463.0000000,1642.0000000,5430128
GMKN,M,20040901,000000,1635.0000000,1885.0000000,1610.0000000,1858.0000000,8240071
GMKN,M,20041001,000000,1871.0000000,2038.0000000,1730.0000000,1792.0000000,12512629
GMKN,M,20041101,000000,1800.0100000,1851.9900000,1576.0000000,1640.0000000,8788422
GMKN,M,20041201,000000,1640.0000000,1640.0000000,1192.0000000,1507.0000000,11775245
GMKN,M,20050101,000000,1449.5000000,1674.0000000,1416.0000000,1614.0000000,8719859
GMKN,M,20050201,000000,1614.5000000,1834.5000000,1583.1000000,1832.0000000,10703336
GMKN,M,20050301,000000,1830.0000000,1830.0000000,1527.0100000,1639.0000000,14687589
