Date,Value
Jan-1998,1.5
Feb-1998,0.9
Mar-1998,0.6
Apr-1998,0.4
May-1998,0.5
Jun-1998,0.1
Jul-1998,0.2
Aug-1998,3.7
Sep-1998,38.4
Oct-1998,4.5
Nov-1998,5.7
Dec-1998,11.6
Jan-1999,8.4
Feb-1999,4.1
Mar-1999,2.8
Apr-1999,3
May-1999,2.2
Jun-1999,1.9
Jul-1999,2.8
Aug-1999,1.2
Sep-1999,1.5
Oct-1999,1.4
Nov-1999,1.2
Dec-1999,1.3
Jan-2000,2.3
Feb-2000,1
Mar-2000,0.6
Apr-2000,0.9
May-2000,1.8
Jun-2000,2.6
Jul-2000,1.8
Aug-2000,1
Sep-2000,1.3
Oct-2000,2.1
Nov-2000,1.5
Dec-2000,1.6
Jan-2001,2.8
Feb-2001,2.3
Mar-2001,1.9
Apr-2001,1.8
May-2001,1.8
Jun-2001,1.6
Jul-2001,0.5
Aug-2001,0
Sep-2001,0.6
Oct-2001,1.1
Nov-2001,1.4
Dec-2001,1.6
Jan-2002,3.09
Feb-2002,1.16
Mar-2002,1.08
Apr-2002,1.16
May-2002,1.69
Jun-2002,0.53
Jul-2002,0.72
Aug-2002,0.09
Sep-2002,0.4
Oct-2002,1.07
Nov-2002,1.61
Dec-2002,1.54
Jan-2003,2.4
Feb-2003,1.63
Mar-2003,1.05
Apr-2003,1.02
May-2003,0.8
Jun-2003,0.8
Jul-2003,0.71
Aug-2003,-0.41
Sep-2003,0.34
Oct-2003,1
Nov-2003,0.96
Dec-2003,1.1
Jan-2004,1.75
Feb-2004,0.99
Mar-2004,0.75
Apr-2004,0.99
May-2004,0.74
Jun-2004,0.78
Jul-2004,0.92
Aug-2004,0.42
Sep-2004,0.43
Oct-2004,1.14
Nov-2004,1.11
Dec-2004,1.14
Jan-2005,2.62
Feb-2005,1.23
Mar-2005,1.34
Apr-2005,1.12
May-2005,0.8
Jun-2005,0.64
Jul-2005,0.46
Aug-2005,-0.14
Sep-2005,0.25
Oct-2005,0.55
Nov-2005,0.74
Dec-2005,0.82
Jan-2006,2.43
Feb-2006,1.66
Mar-2006,0.82
Apr-2006,0.35
May-2006,0.48
Jun-2006,0.28
Jul-2006,0.67
Aug-2006,0.19
Sep-2006,0.09
Oct-2006,0.28
Nov-2006,0.63
Dec-2006,0.79
Jan-2007,1.68
Feb-2007,1.11
Mar-2007,0.59
Apr-2007,0.57
May-2007,0.63
Jun-2007,0.95
Jul-2007,0.87
Aug-2007,0.09
Sep-2007,0.79
Oct-2007,1.64
Nov-2007,1.23
Dec-2007,1.13
Jan-2008,2.31
Feb-2008,1.2
Mar-2008,1.2
Apr-2008,1.42
May-2008,1.35
Jun-2008,0.97
Jul-2008,0.51
Aug-2008,0.36
Sep-2008,0.8
Oct-2008,0.91
Nov-2008,0.83
Dec-2008,0.69
Jan-2009,2.37
Feb-2009,1.65
Mar-2009,1.31
Apr-2009,0.69
May-2009,0.57
Jun-2009,0.6
Jul-2009,0.63
Aug-2009,0
Sep-2009,-0.03
Oct-2009,0
Nov-2009,0.29
Dec-2009,0.41
Jan-2010,1.64
Feb-2010,0.86
Mar-2010,0.63
Apr-2010,0.29
May-2010,0.5
Jun-2010,0.39
Jul-2010,0.36
Aug-2010,0.55
Sep-2010,0.84
Oct-2010,0.5
Nov-2010,0.81
Dec-2010,1.08
Jan-2011,2.37
Feb-2011,0.78
Mar-2011,0.62
Apr-2011,0.43
May-2011,0.48
Jun-2011,0.23
Jul-2011,-0.01
Aug-2011,-0.24
Sep-2011,-0.04
Oct-2011,0.48
Nov-2011,0.42
Dec-2011,0.44
Jan-2012,0.5
Feb-2012,0.37
Mar-2012,0.58
Apr-2012,0.31
May-2012,0.52
Jun-2012,0.89
Jul-2012,1.23
Aug-2012,0.1
Sep-2012,0.55
Oct-2012,0.46
Nov-2012,0.34
Dec-2012,0.54
Jan-2013,0.97
Feb-2013,0.56
Mar-2013,0.34
Apr-2013,0.51
May-2013,0.66
Jun-2013,0.42
Jul-2013,0.82
Aug-2013,0.14
Sep-2013,0.21
Oct-2013,0.57
Nov-2013,0.56
Dec-2013,0.51
Jan-2014,0.59
Feb-2014,0.7
Mar-2014,1.02
Apr-2014,0.9
May-2014,0.9
Jun-2014,0.62
Jul-2014,0.49
Aug-2014,0.24
Sep-2014,0.65
Oct-2014,0.82
Nov-2014,1.28
Dec-2014,2.62
Jan-2015,3.85
Feb-2015,2.22
Mar-2015,1.21
Apr-2015,0.46
May-2015,0.35
Jun-2015,0.19
Jul-2015,0.8
Aug-2015,0.35
Sep-2015,0.57
Oct-2015,0.74
Nov-2015,0.75
Dec-2015,0.77
Jan-2016,0.96
Feb-2016,0.63
Mar-2016,0.46
Apr-2016,0.44
May-2016,0.41
Jun-2016,0.36
Jul-2016,0.54
Aug-2016,0.01
Sep-2016,0.17
Oct-2016,0.43
Nov-2016,0.44
