<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,,,,,
LKOH,M,19980101,0,143.05,144.45,87,99.7,4886300,6.026,10,0.41716857,0.41716857,6.022845275
LKOH,M,19980201,0,103.99,114.9,99.9,106.75,7658200,6.072,20,0.52845953,0.9456281,15.55801173
LKOH,M,19980301,0,106.6,117.29,98.5,107.04,9718600,6.106,30,0.520589991,1.466218091,23.65255191
LKOH,M,19980401,0,106.15,108.97,99.7,101.8,7006700,6.133,40,0.562815454,2.029033545,32.9846151
LKOH,M,19980501,0,105,106.01,52.6,62.2,4273500,6.166,50,0.581643241,2.610676786,22.27077505
LKOH,M,19980601,0,60,72.15,50.65,52.42,4511000,6.198,60,0.859043659,3.469720445,28.35452413
LKOH,M,19980701,0,53.3,71,46.5,50.8,5821500,6.238,70,0.878591549,4.348311994,32.4136755
LKOH,M,19980801,0,49.9,53.5,25,39.3,4249000,7.905,80,1.477570093,5.825882088,18.42467453
LKOH,M,19980901,0,40,81,39,49,1241400,20.825,90,2.570987654,8.396869742,15.72523025
LKOH,M,19981001,0,48,72,30,65,877200,17.09,100,2.373611111,10.77048085,18.90663696
LKOH,M,19981101,0,65,101.21,62,91,770100,17.88,110,1.766623851,12.5371047,43.47318186
LKOH,M,19981201,0,91,95,81,84,392000,20.99,120,2.209473684,14.74657839,56.90675796
LKOH,M,19990101,0,84,94.9,78.5,85.6,340700,23.06,130,2.429926238,17.17650463,58.47162243
LKOH,M,19990201,0,85.15,140.33,84,120,938400,23.14,140,1.648970284,18.82547491,68.33793831
LKOH,M,19990301,0,122,212,120.05,182.89999,2663330,24.29,150,1.145754717,19.97122963,98.70506862
LKOH,M,19990401,0,181.5,217,154.5,214.60001,1618778,25.12,160,1.157603687,21.12883332,129.9524183
LKOH,M,19990501,0,221,256,180.55,226,1021482,24.92,170,0.9734375,22.10227082,160.1350319
LKOH,M,19990601,0,228.5,253.49,214,241,1108195,24.44,180,0.964140597,23.06641141,201.9726695
LKOH,M,19990701,0,249,278,199,204,1192150,24.48,190,0.88057554,23.94698695,194.6670916
LKOH,M,19990801,0,205,216.5,167,186,1151395,25.29,200,1.16812933,25.11511628,165.8451728
LKOH,M,19990901,0,186,206,156,169.99,1032562,25.87,210,1.255825243,26.37094152,159.0207529
LKOH,M,19991001,0,171,211.4,170.31,208.44,961771,26.09,220,1.234153264,27.60509479,180.2002182
LKOH,M,19991101,0,207,258,205,229.48,1585229,26.49,230,1.026744186,28.63183897,221.5751978
LKOH,M,19991201,0,222.1,315,211,297.01,1304093,27,240,0.857142857,29.48898183,230.4509321
LKOH,M,20000101,0,315,396.8,306.5,315,1200817,28.85,250,0.727066532,30.21604836,321.0127842
LKOH,M,20000201,0,319,362.5,287,297.99,6946293,28.87,260,0.796413793,31.01246216,308.2984634
LKOH,M,20000301,0,302,490,300.01,443,9885655,28.65,270,0.584693878,31.59715603,330.8713013
LKOH,M,20000401,0,452,458,382,428.49,3010107,28.78,280,0.628384279,32.22554031,427.7330229
LKOH,M,20000501,0,432,442,300,387.49,4605096,28.38,290,0.642081448,32.86762176,347.4378622
LKOH,M,20000601,0,390.95,427,338.26,357,4164384,28.43,300,0.665807963,33.53342972,398.9805817
LKOH,M,20000701,0,360,388.99,349,386,3984665,28.05,310,0.721098229,34.25452795,426.1971571
LKOH,M,20000801,0,389.2,468.98,389.2,449.89,4322438,27.85,320,0.593841955,34.84836991,487.0012771
LKOH,M,20000901,0,450,457.77,356.01,401,6210229,27.88,330,0.609039474,35.45740938,452.7687344
LKOH,M,20001001,0,399.49,434,363.15,371,3416675,27.94,340,0.643778802,36.10118818,469.2249996
LKOH,M,20001101,0,383,387,256.5,259.9,8937504,27.88,350,0.720413437,36.82160162,338.7640178
LKOH,M,20001201,0,261,302,219,260.6,4491172,28.16,360,0.932450331,37.75405195,293.612833
LKOH,M,20010101,0,241,335,233,287,10809667,28.48,370,0.850149254,38.60420121,315.8279101
LKOH,M,20010201,0,283.84,313.4,259.5,274.49,4108812,28.76,380,0.91767709,39.5218783,356.6038741
LKOH,M,20010301,0,267,303.5,259,270.5,3260605,28.76,390,0.947611203,40.4694895,364.4505487
LKOH,M,20010401,0,272.5,306.5,247.6,298,2849001,28.9,400,0.942903752,41.41239325,354.7996045
LKOH,M,20010501,0,306,381.9,306,378.4,7123742,29.1,410,0.761979576,42.17437283,443.4830957
LKOH,M,20010601,0,380,416,344.02,350,8551716,29.16,420,0.700961538,42.87533436,505.8289619
LKOH,M,20010701,0,351,354.49,294.6,310,10274843,29.28,430,0.825975345,43.70130971,439.699653
LKOH,M,20010801,0,312,332,305.03,323,14153375,29.37,440,0.884638554,44.58594826,463.0593054
LKOH,M,20010901,0,323.9,336.7,268.4,275.93,18602725,29.47,450,0.875259875,45.46120814,414.0409998
LKOH,M,20011001,0,279.4,335,265.01,329.5,15599105,29.7,460,0.886567164,46.3477753,413.5563614
LKOH,M,20011101,0,328,414,318.01,333.49,23950011,29.93,470,0.72294686,47.07072216,500.1323206
LKOH,M,20011201,0,332.5,369.8,325.5,369.13,13384471,30.3,480,0.819361817,47.89008398,514.4627834
LKOH,M,20020101,0,373,479.5,373,432,25537607,30.685,490,0.639937435,48.53002142,589.9200909
LKOH,M,20020201,0,439.9,457,373,375.2,17966585,30.9274,500,0.676748359,49.20676977,593.4583937
LKOH,M,20020301,0,374.7,460,374.1,454.5,20085670,31.151,510,0.677195652,49.88396543,599.0687768
LKOH,M,20020401,0,450.25,569.48,427,556,27235181,31.1982,520,0.547836623,50.43180205,690.2442921
LKOH,M,20020501,0,558.68,586.69,522,555,16450553,31.3071,530,0.533622526,50.96542458,849.7737455
LKOH,M,20020601,0,556.34,569,481.1,510,11037193,31.4758,540,0.553177504,51.51860208,787.4493884
LKOH,M,20020701,0,511,546.47,433,440,12750328,31.5555,550,0.577442495,52.09604457,714.8543772
LKOH,M,20020801,0,448.88,530,421,503.22,15737113,31.5828,560,0.595901887,52.69194646,702.3857752
LKOH,M,20020901,0,503,521.5,462.01,481,11409145,31.6493,570,0.606889741,53.2988362,778.0454959
