<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MAGN,M,20060101,000000,20.0000000,32.0000000,14.5200000,16.6700000,1656900
MAGN,M,20060201,000000,16.2000000,30.8500000,15.5200000,19.9800000,15231400
MAGN,M,20060301,000000,20.1500000,21.3000000,18.3000000,21.3000000,12262900
MAGN,M,20060401,000000,21.2000000,21.7900000,19.5000000,20.4000000,9232900
MAGN,M,20060501,000000,20.4900000,21.2000000,18.0000000,20.1030000,5697100
MAGN,M,20060601,000000,20.0700000,20.5790000,19.0000000,19.9330000,2961200
MAGN,M,20060701,000000,19.7100000,20.0000000,18.5260000,18.8300000,7122800
MAGN,M,20060801,000000,19.0990000,19.3000000,18.3100000,18.7500000,1184400
MAGN,M,20060901,000000,18.8000000,18.9500000,17.0500000,18.1000000,2622800
MAGN,M,20061001,000000,17.6510000,21.8000000,17.5000000,20.7700000,14052900
MAGN,M,20061101,000000,20.3060000,21.2000000,20.2600000,20.4960000,8908700
MAGN,M,20061201,000000,20.4890000,23.9700000,19.9600000,22.9460000,17301500
MAGN,M,20070101,000000,23.0000000,23.0500000,21.6010000,22.9700000,8356900
MAGN,M,20070201,000000,22.9700000,25.5980000,22.9700000,24.7000000,34527100
MAGN,M,20070301,000000,24.6990000,27.5000000,23.1110000,27.2990000,16227600
MAGN,M,20070401,000000,27.1190000,28.4490000,24.5650000,25.5700000,31402100
MAGN,M,20070501,000000,25.3010000,25.5990000,21.8290000,24.3900000,11381700
MAGN,M,20070601,000000,24.0400000,28.0980000,23.8100000,26.0500000,20117700
MAGN,M,20070701,000000,26.0400000,30.9500000,25.8000000,29.1100000,25924700
MAGN,M,20070801,000000,28.5100000,29.7200000,24.2000000,28.5010000,18402100
MAGN,M,20070901,000000,28.6000000,31.2000000,26.3330000,28.8000000,25508400
MAGN,M,20071001,000000,28.6110000,32.3000000,28.2550000,32.2400000,43655500
