<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MGNT,M,20060501,000000,810.0000000,810.0000000,730.0000000,730.0000000,600
MGNT,M,20060601,000000,638.0000000,644.0000000,540.1300000,608.0000000,19700
MGNT,M,20060701,000000,604.5000000,730.0000000,604.5000000,730.0000000,9500
MGNT,M,20060801,000000,720.0000000,1000.0000000,711.0000000,1000.0000000,10000
MGNT,M,20060901,000000,850.0000000,1000.0000000,787.0000000,879.0000000,12300
MGNT,M,20061001,000000,883.0000000,900.0000000,800.0000000,883.0000000,34000
MGNT,M,20061101,000000,888.0000000,930.0000000,888.0000000,905.0000000,14000
MGNT,M,20061201,000000,905.0000000,1000.0000000,870.0000000,984.0000000,65500
MGNT,M,20070101,000000,900.0000000,1400.0000000,900.0000000,980.0000000,38900
MGNT,M,20070201,000000,1000.0000000,1147.0000000,1000.0000000,1031.0000000,133400
MGNT,M,20070301,000000,1058.0000000,1185.0000000,935.0000000,1125.5000000,65140
MGNT,M,20070401,000000,1132.0000000,1232.0000000,1051.0000000,1225.0000000,225708
MGNT,M,20070501,000000,1208.0000000,1240.0000000,1025.0100000,1083.0000000,56625
MGNT,M,20070601,000000,1083.0000000,1147.0000000,1010.0100000,1129.0000000,97701
MGNT,M,20070701,000000,1130.0000000,1239.0000000,1124.0000000,1191.0000000,123494
MGNT,M,20070801,000000,1191.0000000,1205.0000000,1012.0000000,1058.0000000,107055
MGNT,M,20070901,000000,1057.2100000,1099.0000000,1040.0000000,1042.5000000,94780
MGNT,M,20071001,000000,1059.9800000,1190.0000000,1000.0000000,1155.0000000,448150
MGNT,M,20071101,000000,1163.0000000,1190.0000000,1120.0000000,1145.0000000,280779
MGNT,M,20071201,000000,1145.0000000,1295.7800000,1110.0200000,1270.0000000,265843
MGNT,M,20080101,000000,1260.0100000,1388.8800000,1120.0000000,1147.0000000,500202
MGNT,M,20080201,000000,1150.0000000,1245.0000000,1085.4400000,1226.0000000,377521
MGNT,M,20080301,000000,1220.0000000,1229.9000000,1120.1200000,1121.0000000,330961
MGNT,M,20080401,000000,1121.0000000,1123.0000000,1007.0400000,1038.0000000,270694
MGNT,M,20080501,000000,1038.0000000,1298.0000000,1030.1000000,1220.0000000,582480
MGNT,M,20080601,000000,1220.0000000,1249.5000000,1101.0000000,1110.0000000,107658
MGNT,M,20080701,000000,1117.0000000,1180.0000000,1021.5000000,1059.9300000,136829
MGNT,M,20080801,000000,1054.0000000,1100.0000000,911.1800000,984.0000000,235676
MGNT,M,20080901,000000,999.9900000,1111.7100000,730.0000000,858.0000000,110743
MGNT,M,20081001,000000,860.0000000,870.0000000,325.0000000,408.0000000,252949
MGNT,M,20081101,000000,420.0000000,420.0000000,260.0400000,370.0000000,219346
MGNT,M,20081201,000000,359.3800000,520.0000000,348.4600000,475.1300000,348547
MGNT,M,20090101,000000,475.1100000,639.9800000,459.6000000,506.9000000,288526
MGNT,M,20090201,000000,515.0000000,725.0000000,496.1800000,595.0000000,255288
MGNT,M,20090301,000000,599.9900000,809.0000000,560.0100000,783.0000000,288432
MGNT,M,20090401,000000,823.0000000,1130.0000000,800.0300000,1094.9700000,582809
MGNT,M,20090501,000000,1094.9900000,1243.0000000,1045.0000000,1125.0000000,542345
MGNT,M,20090601,000000,1138.6200000,1212.0000000,1123.0000000,1175.0000000,525596
MGNT,M,20090701,000000,1189.9900000,1350.0000000,1070.6000000,1310.0000000,268688
MGNT,M,20090801,000000,1310.0100000,1684.0000000,1284.0100000,1585.0000000,413575
MGNT,M,20090901,000000,1584.9900000,1820.0600000,1503.7300000,1800.0000000,318047
MGNT,M,20091001,000000,1791.5100000,1890.0000000,1526.0000000,1748.0000000,364062
MGNT,M,20091101,000000,1750.0000000,1889.0000000,1680.0000000,1805.0000000,240594
MGNT,M,20091201,000000,1805.0000000,2300.0000000,1792.3200000,2162.0000000,226351
MGNT,M,20100101,000000,2160.5300000,2297.0000000,2002.0900000,2067.0000000,128188
MGNT,M,20100201,000000,2041.0000000,2117.0000000,1900.0000000,1920.0700000,122949
MGNT,M,20100301,000000,1930.1500000,2640.0000000,1925.7100000,2570.0000000,384361
MGNT,M,20100401,000000,2570.0000000,2620.0000000,2401.1300000,2560.0000000,101393
MGNT,M,20100501,000000,2580.0000000,2969.0000000,2290.0000000,2721.0000000,176366
