<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MTSS,M,20031001,0,129,131,112.01,114,184200
MTSS,M,20031101,0,115,123.49,109,117,205700
MTSS,M,20031201,0,119.5,123,104,113,559800
MTSS,M,20040101,0,117.11,145,117.11,135.7,452804
MTSS,M,20040201,0,138,155,135.02,147.5,498273
MTSS,M,20040301,0,148.39,181,147.1,177.2,465579
MTSS,M,20040401,0,179.05,198.5,160,167,482452
MTSS,M,20040501,0,169,186.99,145,170,286985
MTSS,M,20040601,0,169,183,161,179.9,329722
MTSS,M,20040701,0,179.4,182.7,160,165.61,443423
MTSS,M,20040801,0,169,185,165.12,182,420173
MTSS,M,20040901,0,185.5,219.99,185.01,210,717678
MTSS,M,20041001,0,210.01,221.2,198,208.2,668099
MTSS,M,20041101,0,209,227,191,193.99,1500066
MTSS,M,20041201,0,193.6,197.76,162,193,762587
MTSS,M,20050101,0,189.93,205,182,201,653213
MTSS,M,20050201,0,200.11,222,196.45,221,1130801
MTSS,M,20050301,0,222.1,222.1,188.45,196,1425457
MTSS,M,20050401,0,197,209.4,182,183,1720535
MTSS,M,20050501,0,183.34,196.5,178.1,196,1313954
MTSS,M,20050601,0,196.51,198.98,175.55,191,1684639
MTSS,M,20050701,0,191.01,214,184.5,205,1919405
MTSS,M,20050801,0,205,218,200.01,212.5,2488271
MTSS,M,20050901,0,212,237.7,208.5,226.49,5108521
MTSS,M,20051001,0,228,228.88,186.22,207.01,10177016
MTSS,M,20051101,0,207,220,199.86,203.9,6867019
MTSS,M,20051201,0,204,208.99,192,193.5,7986653
MTSS,M,20060101,0,199,204.24,189.1,190,6469779
MTSS,M,20060201,0,190.1,208,185.5,193.98,12799222
MTSS,M,20060301,0,193.34,213.9,184.39,188,21986010
MTSS,M,20060401,0,187,190.3,177.22,178.97,18017269
MTSS,M,20060501,0,180,188.57,144.99,161.89,14654044
MTSS,M,20060601,0,163.49,168.88,137.37,147,10628839
MTSS,M,20060701,0,148,170.99,147.33,169.7,12217100
MTSS,M,20060801,0,170.1,192.94,168.87,189.31,13182420
MTSS,M,20060901,0,189.31,205,173.1,188.65,24381320
MTSS,M,20061001,0,189,207,181,202.48,15216537
MTSS,M,20061101,0,205,220.4,199.7,218.89,49050546
MTSS,M,20061201,0,219,230.15,211.11,227.69,32343373
MTSS,M,20070101,0,221.2,263.9,211.12,250.5,25889195
MTSS,M,20070201,0,250.82,261,224.5,238.5,23999227
MTSS,M,20070301,0,235.95,263.5,214,254.36,39574952
MTSS,M,20070401,0,250.3,267.5,235.11,249.6,26901359
MTSS,M,20070501,0,247.98,249,227.89,243.76,19853927
MTSS,M,20070601,0,242,261.79,231.24,255,20729870
MTSS,M,20070701,0,255,280,253.4,265.3,23229720
MTSS,M,20070801,0,260,280.69,239.01,280.1,25868238
MTSS,M,20070901,0,276,291.89,259.42,287.5,26342877
MTSS,M,20071001,0,285.89,344.49,280.9,337.5,28006705
MTSS,M,20071101,0,340.38,369.66,326.5,361.6,39288015
MTSS,M,20071201,0,359.1,383.13,350,377.5,25887374
MTSS,M,20080101,0,371.5,384.3,275.01,310,33120716
MTSS,M,20080201,0,314.8,334.79,293.01,307.9,32031017
MTSS,M,20080301,0,304.48,317.34,294.15,300.45,21371562
MTSS,M,20080401,0,301,312.49,274.5,282.1,40570632
MTSS,M,20080501,0,284,313.9,282.5,303.75,62460573
MTSS,M,20080601,0,304.5,304.99,273.21,273.21,24187140
MTSS,M,20080701,0,274,283.5,250.41,264.8,23598167
MTSS,M,20080801,0,262,289.8,232.02,256.99,29823728
MTSS,M,20080901,0,254.7,268.45,155,223.6,19351258
MTSS,M,20081001,0,228.8,238.3,80.62,134,21383511
MTSS,M,20081101,0,138,191.89,91,109.1,16292609
MTSS,M,20081201,0,109.1,130.9,100.2,111.66,16849417
MTSS,M,20090101,0,113.97,124.99,102.01,111,12242386
MTSS,M,20090201,0,111,143,106.09,123.37,25886260
MTSS,M,20090301,0,120,153.09,119.5,143.6,25680486
MTSS,M,20090401,0,144.01,182,141.31,164.64,19358281
MTSS,M,20090501,0,166.45,181.72,157.22,175.6,25385757
MTSS,M,20090601,0,179,191.9,149.5,162.65,18783233
MTSS,M,20090701,0,162.97,185,144.26,176.7,16452214
MTSS,M,20090801,0,177.7,188.3,172,182,17601136
MTSS,M,20090901,0,183.44,217.9,181,203,21335129
MTSS,M,20091001,0,204.01,236.89,195,203.49,22012221
MTSS,M,20091101,0,202.86,231.9,198.1,219.3,19844113
MTSS,M,20091201,0,220.79,232,218.22,220.98,15588013
MTSS,M,20100101,0,224.5,242.98,223.26,233.1,23222899
MTSS,M,20100201,0,231.55,241.3,225.01,234.99,20401264
MTSS,M,20100301,0,235.8,256.99,233,253.7,23825665
MTSS,M,20100401,0,253.83,276.98,253.83,266.99,25033857
MTSS,M,20100501,0,266.98,269,217,233,22214914
MTSS,M,20100601,0,231.83,247.6,226.13,236.7,21370802
MTSS,M,20100701,0,232.17,245.98,225,240.5,14494199
MTSS,M,20100801,0,242.91,253.5,241.01,249.22,13054169
MTSS,M,20100901,0,250,259.8,245,250.7,13315943
MTSS,M,20101001,0,250.71,256.99,248.12,250.2,15037809
MTSS,M,20101101,0,251.06,264.5,249.82,254.1,18153052
MTSS,M,20101201,0,254.84,262.99,249.5,259.88,17927088
MTSS,M,20110101,0,260.02,263.36,248.5,249.8,18072688
MTSS,M,20110201,0,250.37,255.53,245.25,247.25,19915612
MTSS,M,20110301,0,248.39,262.26,242.15,259.48,32938150
MTSS,M,20110401,0,259.56,264.48,250.28,255.77,21321820
MTSS,M,20110501,0,255.01,257.44,227.81,235.49,26157070
MTSS,M,20110601,0,235.6,244.9,228,230.05,16975170
MTSS,M,20110701,0,230,246.01,228.05,240.5,15554780
MTSS,M,20110801,0,242.8,244.5,197.49,218.62,27742950
MTSS,M,20110901,0,218,225.1,175.05,177.13,28674320
MTSS,M,20111001,0,173.91,197.3,168.25,193.9,33795350
MTSS,M,20111101,0,192.22,211.9,181.11,211.67,32047870
MTSS,M,20111201,0,213,216.4,176.4,183.18,30946100
MTSS,M,20120101,0,184,222,184,213.37,39513360
MTSS,M,20120201,0,213.57,226,211.57,223.97,24253650
MTSS,M,20120301,0,223.01,239.83,221,229.04,30433930
MTSS,M,20120401,0,229.9,239.9,221.7,233.5,24023440
MTSS,M,20120501,0,234.23,240.71,202.02,225.92,44569750
MTSS,M,20120601,0,225.18,237.6,215.52,234.5,23300190
MTSS,M,20120701,0,233.31,249,221,247.08,19009620
MTSS,M,20120801,0,246.5,249.5,231,241.16,20136100
MTSS,M,20120901,0,241.6,255.9,225.22,229.89,30300020
MTSS,M,20121001,0,228.41,237.99,222.78,230.7,31953430
MTSS,M,20121101,0,231.31,238.44,223.5,231.73,22690670
MTSS,M,20121201,0,232,246.97,230.57,246,20813010
MTSS,M,20130101,0,246.88,257.8,244.5,255.12,30099920
MTSS,M,20130201,0,255.73,268.75,253.4,267.73,40110870
MTSS,M,20130301,0,267.13,289.8,266.22,276.43,24298560
MTSS,M,20130401,0,276,284.98,255.12,274,19875100
MTSS,M,20130501,0,274,281.05,252,255.34,24587350
MTSS,M,20130601,0,253.1,263.58,245.12,261.45,25572210
MTSS,M,20130701,0,259.1,284.75,255.01,273.54,27260110
MTSS,M,20130801,0,274.34,302.69,274.13,287.98,24995160
MTSS,M,20130901,0,290.89,323.49,282.61,323,35003020
