<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NLMK,M,20060401,000000,63.0000000,69.8000000,62.1000000,63.7000000,277300
NLMK,M,20060501,000000,62.6000000,70.1000000,48.5000000,60.5000000,754400
NLMK,M,20060601,000000,60.8000000,65.0000000,49.1000000,59.8000000,1243000
NLMK,M,20060701,000000,60.0000000,64.9000000,53.2000000,58.2000000,653900
NLMK,M,20060801,000000,57.2000000,61.9000000,53.0000000,53.3000000,2449500
NLMK,M,20060901,000000,53.9000000,54.8000000,48.7000000,51.5000000,2137500
NLMK,M,20061001,000000,51.6100000,57.8000000,49.4100000,56.8000000,3201700
NLMK,M,20061101,000000,56.8000000,61.5000000,54.3500000,61.4100000,3405100
NLMK,M,20061201,000000,61.4000000,65.5100000,59.5200000,63.4500000,2808200
NLMK,M,20070101,000000,63.4500000,65.1000000,56.1100000,64.9000000,4356500
NLMK,M,20070201,000000,64.5000000,77.8300000,64.5000000,70.0000000,4738500
NLMK,M,20070301,000000,70.0000000,77.0000000,61.0000000,75.4800000,6349600
NLMK,M,20070401,000000,73.0100000,81.7000000,69.0000000,71.1000000,6037100
NLMK,M,20070501,000000,71.0000000,74.5000000,65.4900000,69.9900000,2966500
NLMK,M,20070601,000000,70.0200000,80.0000000,68.5500000,76.5000000,4831500
NLMK,M,20070701,000000,76.6000000,91.4500000,75.6100000,82.5000000,8500100
NLMK,M,20070801,000000,78.3800000,85.4400000,72.0100000,82.3000000,6643000
NLMK,M,20070901,000000,82.9000000,87.5600000,78.5200000,85.4100000,8909000
NLMK,M,20071001,000000,85.5000000,106.4500000,83.5000000,101.0000000,18186000
NLMK,M,20071101,000000,102.5000000,107.9000000,90.6100000,97.0000000,15023600
NLMK,M,20071201,000000,97.5000000,104.4600000,95.0000000,99.5100000,9002900
NLMK,M,20080101,000000,100.4900000,107.5000000,72.7300000,88.0000000,12862800
NLMK,M,20080201,000000,90.3000000,118.4400000,89.0000000,112.7000000,13751600
NLMK,M,20080301,000000,110.5000000,114.8000000,92.5000000,100.0000000,12118000
NLMK,M,20080401,000000,100.9600000,121.4000000,99.1200000,111.8000000,12734100
NLMK,M,20080501,000000,113.9700000,135.4000000,110.5000000,115.9800000,15768100
NLMK,M,20080601,000000,116.8900000,133.5000000,108.0700000,132.4100000,18231700
NLMK,M,20080701,000000,132.0100000,132.5000000,95.0000000,104.8000000,14697000
NLMK,M,20080801,000000,103.9900000,109.7400000,88.0000000,95.1000000,8631600
NLMK,M,20080901,000000,93.6700000,97.6000000,45.0000000,51.0100000,9922700
NLMK,M,20081001,000000,52.4900000,54.7000000,15.8000000,25.0000000,13352700
NLMK,M,20081101,000000,25.9800000,36.0000000,15.5000000,28.7800000,24627300
NLMK,M,20081201,000000,28.5000000,42.8000000,21.5100000,30.1500000,27537200
NLMK,M,20090101,000000,35.0100000,39.8800000,27.5100000,33.5000000,22733900
NLMK,M,20090201,000000,32.9000000,51.5000000,31.9700000,35.7500000,39773700
NLMK,M,20090301,000000,35.1000000,53.5000000,34.1700000,41.7700000,39138400
NLMK,M,20090401,000000,44.3100000,57.7500000,40.5600000,50.5300000,33181700
NLMK,M,20090501,000000,51.5000000,62.9300000,50.9000000,59.3000000,18481700
NLMK,M,20090601,000000,60.2800000,66.8900000,48.6900000,62.6500000,21563300
NLMK,M,20090701,000000,62.8500000,80.3500000,56.8000000,80.0100000,22810800
NLMK,M,20090801,000000,80.0000000,86.6200000,73.7000000,74.1000000,15447100
NLMK,M,20090901,000000,74.5400000,78.2000000,63.4800000,76.2200000,32292200
NLMK,M,20091001,000000,76.9000000,89.8700000,71.7100000,76.4000000,20341400
NLMK,M,20091101,000000,75.5200000,93.0700000,74.0500000,87.6000000,15157600
NLMK,M,20091201,000000,88.0400000,101.4100000,87.5500000,91.8400000,11931800
