<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NVTK,M,20060801,000000,133.3500000,140.0000000,125.0100000,129.3900000,1194127
NVTK,M,20060901,000000,130.0000000,139.0000000,114.0500000,133.5000000,1171083
NVTK,M,20061001,000000,134.9900000,170.0000000,130.0100000,155.8000000,2421336
NVTK,M,20061101,000000,157.9800000,172.0000000,149.7500000,170.0000000,3395735
NVTK,M,20061201,000000,170.0000000,175.4000000,160.0200000,166.4000000,1592428
NVTK,M,20070101,000000,160.0000000,161.0000000,144.4200000,146.7500000,3661340
NVTK,M,20070201,000000,148.1000000,155.6400000,132.7100000,142.0000000,2410889
NVTK,M,20070301,000000,141.9600000,160.0000000,125.9900000,150.0000000,4709613
NVTK,M,20070401,000000,151.2000000,157.0000000,136.7000000,139.0000000,9966623
NVTK,M,20070501,000000,140.3500000,141.4400000,116.2000000,125.5000000,4721906
NVTK,M,20070601,000000,126.0000000,136.3800000,124.2500000,132.1000000,7061975
NVTK,M,20070701,000000,133.0000000,153.2000000,132.0000000,139.0000000,8756186
NVTK,M,20070801,000000,138.0000000,138.9900000,120.0000000,130.0000000,8942822
NVTK,M,20070901,000000,130.5900000,133.9900000,122.0000000,130.9000000,5695857
NVTK,M,20071001,000000,131.1300000,146.0000000,127.1000000,141.0000000,12770617
NVTK,M,20071101,000000,142.5000000,158.4600000,136.0000000,156.9700000,13910390
NVTK,M,20071201,000000,157.0000000,199.9300000,156.9800000,184.8000000,17386458
NVTK,M,20080101,000000,191.0900000,216.8200000,154.0000000,159.3900000,20232019
NVTK,M,20080201,000000,163.5700000,195.0000000,158.5000000,180.2000000,15425846
NVTK,M,20080301,000000,176.6100000,203.0000000,174.0000000,188.3200000,14242198
NVTK,M,20080401,000000,188.9900000,193.5900000,170.0100000,180.8800000,18824933
NVTK,M,20080501,000000,181.5000000,217.0000000,179.0000000,211.0100000,31030144
NVTK,M,20080601,000000,211.3000000,215.0200000,194.5000000,200.5000000,15201968
NVTK,M,20080701,000000,201.0000000,211.0000000,173.1300000,178.7000000,14299923
NVTK,M,20080801,000000,179.9900000,184.7000000,160.5100000,176.0000000,9876967
NVTK,M,20080901,000000,174.6000000,183.0000000,90.1200000,116.9900000,13841112
NVTK,M,20081001,000000,121.0000000,123.1000000,73.4100000,99.0000000,10052177
NVTK,M,20081101,000000,98.0100000,114.0000000,54.4000000,58.1900000,12164038
NVTK,M,20081201,000000,58.0000000,59.7700000,45.3000000,48.4900000,29919749
NVTK,M,20090101,000000,51.9500000,71.9600000,49.0000000,65.4900000,22401912
NVTK,M,20090201,000000,65.3900000,97.6000000,64.0000000,81.6000000,23716899
NVTK,M,20090301,000000,79.0000000,91.0000000,69.7500000,78.6100000,39192490
NVTK,M,20090401,000000,79.0100000,116.8600000,76.2000000,108.2000000,22526064
NVTK,M,20090501,000000,111.8500000,146.0000000,110.0200000,141.7200000,15389975
NVTK,M,20090601,000000,144.0000000,196.5800000,112.3000000,127.9600000,12965634
NVTK,M,20090701,000000,127.9600000,138.0000000,113.5000000,121.2000000,10028573
NVTK,M,20090801,000000,123.4300000,130.9000000,113.7200000,118.4000000,10296529
NVTK,M,20090901,000000,119.8400000,137.5000000,116.3100000,127.3500000,11937671
NVTK,M,20091001,000000,128.9800000,149.3700000,122.4000000,134.6200000,13415815
NVTK,M,20091101,000000,132.9000000,164.4700000,132.0000000,159.5500000,10193130
NVTK,M,20091201,000000,161.0000000,172.0000000,157.3800000,170.1000000,7601546
NVTK,M,20100101,000000,179.0000000,192.9900000,171.5000000,185.4500000,5627173
NVTK,M,20100201,000000,183.9700000,188.5200000,163.0200000,167.7400000,10487739
NVTK,M,20100301,000000,169.0200000,197.2800000,167.1100000,193.0900000,10649540
NVTK,M,20100401,000000,193.0100000,207.0100000,185.5000000,198.0000000,10052952
NVTK,M,20100501,000000,198.0700000,200.0000000,168.0000000,199.9900000,9332396
NVTK,M,20100601,000000,198.0000000,228.2100000,194.0700000,209.4000000,12509153
NVTK,M,20100701,000000,209.0000000,225.9900000,201.8900000,218.5000000,8272760
NVTK,M,20100801,000000,219.3500000,226.0000000,208.6100000,216.0000000,3194900
NVTK,M,20100901,000000,216.1700000,243.4000000,214.0000000,235.0000000,8033394
NVTK,M,20101001,000000,236.8400000,248.8200000,226.6800000,248.8200000,6339713
NVTK,M,20101101,000000,249.4900000,283.9900000,246.6500000,268.5000000,7865476
NVTK,M,20101201,000000,268.8200000,339.8000000,268.0400000,334.0500000,8682138
NVTK,M,20110101,000000,338.8300000,338.8300000,300.0900000,310.9800000,5188474
NVTK,M,20110201,000000,314.8300000,385.0000000,310.9800000,385.0000000,8900995
NVTK,M,20110301,000000,370.0000000,389.9700000,338.6500000,377.8300000,14087770
NVTK,M,20110401,000000,377.8300000,390.0000000,353.0000000,357.9900000,6810320
NVTK,M,20110501,000000,357.9900000,369.7900000,333.8100000,366.0100000,7289300
NVTK,M,20110601,000000,366.0200000,379.4900000,328.0000000,344.9100000,15917460
NVTK,M,20110701,000000,345.0000000,416.9700000,340.6700000,398.5400000,17617140
NVTK,M,20110801,000000,404.7000000,427.9800000,335.4200000,373.1000000,31537670
NVTK,M,20110901,000000,374.1100000,414.9800000,336.2500000,363.2100000,31647180
NVTK,M,20111001,000000,353.3300000,418.0000000,333.1100000,396.8400000,29184620
NVTK,M,20111101,000000,390.0100000,421.7000000,385.0000000,419.8000000,24390380
NVTK,M,20111201,000000,420.9700000,421.0900000,355.2000000,393.7100000,28151780
NVTK,M,20120101,000000,395.8000000,404.0200000,381.7900000,391.7100000,22925580
NVTK,M,20120201,000000,390.6700000,409.8700000,382.2000000,399.1400000,23752840
NVTK,M,20120301,000000,397.6000000,424.6900000,378.0000000,392.0000000,33244840
NVTK,M,20120401,000000,392.0000000,406.1000000,368.4000000,378.5000000,25439580
NVTK,M,20120501,000000,375.0000000,375.0000000,280.1600000,290.1000000,46973610
NVTK,M,20120601,000000,291.5600000,349.0000000,285.5900000,326.3500000,34736690
NVTK,M,20120701,000000,326.3600000,361.0700000,317.0100000,347.0000000,27011740
NVTK,M,20120801,000000,346.4700000,374.9000000,342.2100000,364.2000000,24658990
NVTK,M,20120901,000000,364.8000000,379.5000000,345.0300000,347.9900000,33210000
NVTK,M,20121001,000000,348.0000000,368.9500000,326.3000000,340.2800000,26076210
NVTK,M,20121101,000000,339.7700000,339.7700000,308.2000000,331.9700000,34903130
NVTK,M,20121201,000000,333.0000000,349.8300000,329.1600000,346.1000000,18368410
NVTK,M,20130101,000000,350.3000000,358.4900000,329.0100000,333.8100000,15438660
NVTK,M,20130201,000000,335.0300000,343.4400000,318.7700000,328.5000000,18686470
NVTK,M,20130301,000000,327.7100000,328.9400000,301.3500000,314.9000000,26537660
NVTK,M,20130401,000000,314.9000000,319.6800000,287.7500000,292.2800000,18954240
NVTK,M,20130501,000000,290.5000000,332.9800000,289.5400000,320.9900000,20094080
NVTK,M,20130601,000000,318.4700000,354.9500000,297.0000000,353.0000000,31067460
NVTK,M,20130701,000000,349.2600000,375.3200000,345.1500000,356.0000000,17338440
NVTK,M,20130801,000000,358.0000000,371.3000000,335.5200000,361.4500000,16577360
NVTK,M,20130901,000000,362.0000000,397.9900000,359.5100000,386.0100000,23631980
NVTK,M,20131001,000000,385.1400000,419.5000000,372.1600000,410.9500000,27690760
NVTK,M,20131101,000000,412.2500000,422.5400000,394.1300000,398.9800000,31080730
NVTK,M,20131201,000000,398.4700000,415.4500000,385.4000000,399.0100000,29981290
NVTK,M,20140101,000000,398.0100000,418.7900000,379.7500000,393.4500000,29665040
NVTK,M,20140201,000000,394.4700000,427.5200000,383.3100000,411.0900000,29112440
NVTK,M,20140301,000000,401.0000000,402.4200000,307.5100000,351.0000000,91012860
