<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PHOR,M,20110701,000000,13469.0000000,13469.0000000,11350.0000000,11921.0000000,1402
PHOR,M,20110801,000000,12000.0000000,12000.0000000,9500.0000000,11000.0000000,5659
PHOR,M,20110901,000000,11148.0000000,12500.0000000,10350.0000000,11683.0000000,4155
PHOR,M,20111001,000000,10601.0000000,12500.0000000,9791.0000000,11256.0000000,9057
PHOR,M,20111101,000000,11387.0000000,11496.0000000,9448.0000000,9750.0000000,4012
PHOR,M,20111201,000000,9849.0000000,10000.0000000,7700.0000000,8197.0000000,5099
PHOR,M,20120101,000000,8300.0000000,8900.0000000,8100.0000000,8601.0000000,3597
PHOR,M,20120201,000000,8600.0000000,10250.0000000,8600.0000000,10013.0000000,4034
PHOR,M,20120301,000000,992.0000000,1190.0000000,900.0000000,959.8000000,32256
PHOR,M,20120401,000000,965.0000000,1080.0000000,840.0000000,897.0000000,80979
PHOR,M,20120501,000000,899.0000000,939.6000000,801.1000000,886.0000000,41615
PHOR,M,20120601,000000,884.0000000,1184.2000000,850.6000000,1143.0000000,80021
PHOR,M,20120701,000000,1103.0000000,1280.0000000,1020.4000000,1200.1000000,199168
PHOR,M,20120801,000000,1190.4000000,1325.0000000,1170.0000000,1241.0000000,72401
PHOR,M,20120901,000000,1279.9000000,1319.0000000,1200.1000000,1258.7000000,35083
PHOR,M,20121001,000000,1232.6000000,1350.0000000,1219.5000000,1288.0000000,54142
PHOR,M,20121101,000000,1284.5000000,1380.0000000,1210.0000000,1279.2000000,50948
PHOR,M,20121201,000000,1296.9000000,1407.0000000,1220.8000000,1246.9000000,62818
PHOR,M,20130101,000000,1246.9000000,1287.1000000,1204.0000000,1227.7000000,76858
PHOR,M,20130201,000000,1227.7000000,1280.0000000,1220.0000000,1241.4000000,64553
PHOR,M,20130301,000000,1231.5000000,1378.5000000,1230.2000000,1282.5000000,331283
