<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ROSN,M,20060701,000000,220.3200000,220.3200000,199.2500000,202.6000000,9896842
ROSN,M,20060801,000000,202.5000000,203.0000000,195.9000000,197.7000000,22631395
ROSN,M,20060901,000000,198.0100000,217.0000000,197.3000000,211.9900000,28460523
ROSN,M,20061001,000000,212.2500000,234.2500000,206.3400000,229.8000000,24139734
ROSN,M,20061101,000000,230.5000000,264.9500000,228.3100000,240.4500000,68755290
ROSN,M,20061201,000000,241.0000000,252.1600000,237.4300000,243.8800000,38383777
ROSN,M,20070101,000000,237.3900000,243.2000000,224.0000000,234.7000000,46706023
ROSN,M,20070201,000000,237.2500000,242.2300000,216.0000000,221.5000000,43745617
ROSN,M,20070301,000000,219.8000000,224.9000000,198.5000000,216.2000000,107398281
ROSN,M,20070401,000000,215.9000000,238.5000000,210.8800000,223.7900000,242366092
ROSN,M,20070501,000000,221.8000000,226.2500000,196.1500000,205.3700000,155597440
ROSN,M,20070601,000000,207.1400000,214.4000000,200.7000000,204.7900000,72790931
ROSN,M,20070701,000000,205.0000000,227.7700000,204.0600000,213.6200000,207719731
ROSN,M,20070801,000000,210.6000000,215.2000000,197.8500000,211.8000000,130800971
ROSN,M,20070901,000000,211.9600000,220.1800000,207.3500000,213.1200000,123035891
ROSN,M,20071001,000000,212.8000000,221.9500000,207.9200000,217.0900000,206721435
ROSN,M,20071101,000000,218.2500000,229.9000000,207.5600000,221.0700000,288822910
ROSN,M,20071201,000000,221.4100000,239.1000000,218.0100000,231.7000000,217703896
ROSN,M,20080101,000000,231.9900000,236.1000000,169.6000000,172.0000000,267406796
ROSN,M,20080201,000000,175.0000000,207.6000000,164.4400000,196.0400000,302737840
ROSN,M,20080301,000000,191.1300000,214.0000000,186.4500000,211.2100000,242391837
ROSN,M,20080401,000000,211.9300000,235.0000000,207.8400000,231.2000000,285819981
ROSN,M,20080501,000000,233.0000000,287.4000000,228.3100000,286.9000000,274587054
ROSN,M,20080601,000000,287.9900000,291.3600000,258.0000000,272.6000000,211438995
ROSN,M,20080701,000000,270.7700000,272.4000000,224.0000000,247.4000000,249467621
ROSN,M,20080801,000000,245.5500000,249.4600000,180.5000000,209.0000000,265172873
ROSN,M,20080901,000000,207.5000000,220.0000000,105.3800000,171.3900000,313766955
ROSN,M,20081001,000000,176.1100000,178.9900000,76.0000000,123.6000000,337506028
ROSN,M,20081101,000000,125.5000000,151.8400000,78.0000000,108.5000000,323287047
ROSN,M,20081201,000000,106.8000000,121.7800000,93.0000000,110.2900000,319283254
ROSN,M,20090101,000000,114.9000000,124.6300000,98.8100000,111.1600000,184032996
ROSN,M,20090201,000000,110.7800000,133.3000000,106.0400000,126.1000000,295288981
ROSN,M,20090301,000000,121.9100000,172.7900000,118.7000000,146.5900000,404207299
ROSN,M,20090401,000000,145.9900000,186.9000000,144.1000000,176.9900000,278901469
ROSN,M,20090501,000000,179.0800000,207.4700000,168.0000000,206.5100000,213205360
ROSN,M,20090601,000000,211.9900000,223.1500000,160.5200000,168.0000000,286638382
ROSN,M,20090701,000000,170.5100000,195.3000000,154.2000000,191.0000000,393991926
ROSN,M,20090801,000000,194.0000000,211.7000000,175.7000000,198.3000000,285821872
ROSN,M,20090901,000000,200.0000000,232.1200000,193.4600000,227.2000000,341411404
ROSN,M,20091001,000000,229.6600000,256.5000000,211.6500000,222.9000000,345567093
ROSN,M,20091101,000000,221.7000000,262.3000000,215.7400000,233.8100000,269495998
ROSN,M,20091201,000000,236.5000000,265.2500000,233.7300000,252.0100000,205480892
ROSN,M,20100101,000000,262.0000000,272.7100000,229.0000000,236.2500000,189523159
ROSN,M,20100201,000000,232.9900000,246.9700000,215.7500000,231.2000000,361001371
ROSN,M,20100301,000000,232.5500000,243.7700000,221.2000000,233.5600000,296683731
ROSN,M,20100401,000000,234.5000000,258.2300000,233.9900000,237.1900000,245912627
ROSN,M,20100501,000000,238.0000000,238.5000000,195.3100000,228.8600000,268505014
ROSN,M,20100601,000000,226.1300000,232.0000000,190.6600000,192.9000000,387426011
ROSN,M,20100701,000000,190.0000000,211.3800000,182.7400000,203.1900000,319557569
ROSN,M,20100801,000000,205.1800000,210.9000000,193.0200000,196.3600000,191547974
ROSN,M,20100901,000000,196.7500000,209.1400000,194.5200000,203.5200000,233775050
ROSN,M,20101001,000000,204.0400000,220.3800000,203.8100000,216.0100000,305919322
ROSN,M,20101101,000000,216.9000000,224.9100000,206.7600000,207.7700000,202333463
ROSN,M,20101201,000000,209.0100000,225.3700000,208.6900000,218.8500000,253913952
ROSN,M,20110101,000000,219.8100000,255.0000000,218.9000000,255.0000000,278202288
ROSN,M,20110201,000000,257.0300000,276.2000000,245.8300000,271.6800000,272559679
ROSN,M,20110301,000000,273.4800000,273.5000000,248.1300000,259.9900000,284291440
ROSN,M,20110401,000000,260.6000000,271.1900000,237.2600000,243.6000000,281530250
ROSN,M,20110501,000000,243.4900000,245.4400000,220.1000000,242.1500000,218645530
ROSN,M,20110601,000000,242.5000000,252.2700000,226.8100000,236.1000000,209583520
ROSN,M,20110701,000000,236.1100000,244.5100000,228.2100000,235.8000000,179187370
ROSN,M,20110801,000000,239.2600000,240.4100000,181.9800000,228.0000000,411329060
ROSN,M,20110901,000000,227.0600000,232.4700000,176.3000000,190.2800000,361399120
ROSN,M,20111001,000000,185.9900000,228.0000000,171.0400000,217.8200000,357981930
ROSN,M,20111101,000000,215.6400000,229.4000000,198.6000000,223.1300000,274481880
ROSN,M,20111201,000000,224.8000000,227.0000000,196.2500000,213.8000000,227310960
ROSN,M,20120101,000000,215.2200000,234.0000000,214.2400000,224.8300000,167269830
ROSN,M,20120201,000000,224.3000000,234.9100000,208.2000000,225.9900000,318749540
ROSN,M,20120301,000000,224.8000000,228.6700000,203.0500000,210.1900000,244655050
ROSN,M,20120401,000000,211.1900000,217.3300000,204.5900000,210.2800000,169852100
ROSN,M,20120501,000000,211.3300000,214.3000000,188.2300000,208.5700000,277419260
ROSN,M,20120601,000000,208.0000000,208.9800000,194.8800000,204.3200000,229901160
ROSN,M,20120701,000000,204.5200000,213.7500000,191.7000000,195.5000000,151870360
ROSN,M,20120801,000000,195.3000000,204.9000000,192.1100000,192.8000000,158634660
ROSN,M,20120901,000000,193.0600000,214.8400000,193.0600000,210.9200000,154589180
ROSN,M,20121001,000000,210.2000000,238.2400000,206.3200000,232.7000000,293967930
ROSN,M,20121101,000000,232.2700000,254.4900000,231.3700000,243.8800000,208428140
ROSN,M,20121201,000000,244.0100000,270.2000000,240.3100000,270.0100000,112092260
ROSN,M,20130101,000000,271.5100000,275.5000000,257.5700000,267.1500000,103368720
ROSN,M,20130201,000000,267.1500000,267.2400000,243.8300000,244.0100000,112416030
ROSN,M,20130301,000000,243.2700000,251.1600000,234.5200000,238.6600000,103025190
ROSN,M,20130401,000000,238.4600000,240.8500000,211.2800000,214.3800000,134213620
ROSN,M,20130501,000000,210.9000000,226.6900000,178.9200000,211.5000000,133554250
ROSN,M,20130601,000000,209.8000000,235.7000000,204.0000000,227.8000000,163447010
ROSN,M,20130701,000000,227.8100000,250.2200000,223.9800000,234.5000000,94682250
ROSN,M,20130801,000000,236.0000000,249.5600000,226.0500000,246.3300000,119559460
ROSN,M,20130901,000000,246.0000000,270.2000000,243.8100000,263.7100000,169659960
ROSN,M,20131001,000000,263.3000000,267.5200000,247.4300000,254.0000000,167795880
ROSN,M,20131101,000000,254.0700000,255.6500000,235.3900000,238.4900000,139841920
ROSN,M,20131201,000000,238.3700000,251.7500000,227.2300000,251.6000000,154689600
ROSN,M,20140101,000000,247.1000000,252.0000000,236.2600000,245.0000000,122617750
ROSN,M,20140201,000000,244.9400000,252.4700000,238.0500000,243.9500000,101211630
ROSN,M,20140301,000000,239.9800000,242.0000000,219.1700000,234.5300000,158543530
ROSN,M,20140401,000000,234.3500000,235.3500000,218.1800000,222.6200000,113344780
ROSN,M,20140501,000000,219.4300000,235.8000000,219.0500000,226.0000000,109634750
ROSN,M,20140601,000000,227.8000000,258.3000000,227.8000000,249.3000000,130304650
ROSN,M,20140701,000000,249.2600000,259.0000000,214.3900000,223.0000000,142996840
ROSN,M,20140801,000000,222.1000000,234.7000000,218.5500000,226.0000000,93447890
ROSN,M,20140901,000000,227.0400000,241.6200000,226.5000000,232.0000000,94135240
ROSN,M,20141001,000000,231.3200000,239.9000000,221.4000000,239.9000000,85561390
ROSN,M,20141101,000000,240.1100000,243.9500000,228.9200000,233.7400000,82941100
ROSN,M,20141201,000000,232.0000000,239.5000000,183.9500000,195.8000000,153357090
ROSN,M,20150101,000000,193.0000000,247.7500000,192.0000000,229.3500000,109516490
ROSN,M,20150201,000000,231.6500000,294.2000000,224.5000000,265.8500000,146169490
ROSN,M,20150301,000000,267.0000000,279.9000000,234.6000000,252.1500000,106927590
ROSN,M,20150401,000000,252.0000000,270.9000000,246.5500000,256.5000000,94177990
ROSN,M,20150501,000000,257.5000000,263.5500000,234.0000000,234.0000000,55105270
ROSN,M,20150601,000000,236.4000000,254.3500000,226.0000000,232.0000000,87875400
ROSN,M,20150701,000000,231.8500000,236.7500000,214.8000000,236.7000000,97157990
ROSN,M,20150801,000000,235.8000000,248.4000000,224.1000000,245.1000000,94413620
ROSN,M,20150901,000000,245.3500000,261.1000000,232.7000000,242.9500000,106798190
ROSN,M,20151001,000000,243.1000000,270.2500000,233.1000000,258.1000000,103824710
ROSN,M,20151101,000000,257.8000000,282.1000000,255.6000000,265.0000000,94388670
ROSN,M,20151201,000000,266.3500000,268.1000000,241.0500000,253.2500000,100116730
ROSN,M,20160101,000000,254.4000000,272.4500000,228.3000000,272.4500000,101328000
ROSN,M,20160201,000000,272.2500000,287.6000000,259.7000000,287.6000000,100933460
ROSN,M,20160301,000000,287,322.75,285.1,305.2,123528470,0
ROSN,M,20160401,000000,302.75,351.75,297.2,351,130259180,0
ROSN,M,20160501,000000,347,356.95,311.55,316,82946690,0
ROSN,M,20160601,000000,316,348,309.5,330,102046180,0
