<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RTKM,M,19980101,000000,21.5200000,22.0000000,14.7300000,17.3900000,1941800
RTKM,M,19980201,000000,18.0000000,21.5000000,16.7700000,21.1000000,3605000
RTKM,M,19980301,000000,21.1300000,23.6000000,18.7000000,19.9000000,2567400
RTKM,M,19980401,000000,19.7100000,22.9000000,18.8000000,22.0000000,3099200
RTKM,M,19980501,000000,22.4200000,22.5000000,15.1000000,16.0000000,2940300
RTKM,M,19980601,000000,15.7300000,18.4500000,13.2000000,14.0000000,2537000
RTKM,M,19980701,000000,14.3000000,17.9600000,11.6500000,14.6000000,2515500
RTKM,M,19980801,000000,13.7000000,14.5000000,4.0000000,5.0000000,859300
RTKM,M,19980901,000000,5.8500000,10.0000000,4.0100000,8.7500000,489600
RTKM,M,19981001,000000,7.0100000,10.2200000,4.5000000,9.9900000,524000
RTKM,M,19981101,000000,10.0000000,19.3000000,9.1000000,19.2500000,506900
RTKM,M,19981201,000000,18.6000000,19.5000000,14.7000000,15.2000000,542000
RTKM,M,19990101,000000,15.2000000,19.0000000,14.6000000,15.0100000,305000
RTKM,M,19990201,000000,15.1100000,20.9400000,15.0000000,18.0000000,1340000
RTKM,M,19990301,000000,18.2100000,21.4900000,18.0000000,19.6400000,1162700
RTKM,M,19990401,000000,17.6600000,20.0000000,15.8100000,17.0400000,589600
RTKM,M,19990501,000000,19.1000000,31.2000000,18.0000000,28.2400000,2681300
RTKM,M,19990601,000000,28.2200000,44.4000000,27.0000000,37.0700000,22093
RTKM,M,19990701,000000,39.5000000,46.5000000,32.7000000,34.0000000,18840
RTKM,M,19990801,000000,33.7200000,34.5000000,24.0100000,29.1300000,6655
RTKM,M,19990901,000000,29.1000000,31.0100000,18.1000000,19.0000000,9397
RTKM,M,19991001,000000,19.7000000,24.9500000,19.7000000,22.5200000,11438
RTKM,M,19991101,000000,22.7500000,40.9500000,22.5000000,36.0000000,27464
RTKM,M,19991201,000000,36.8900000,54.0000000,32.7500000,51.1000000,15637
RTKM,M,20000101,000000,55.0000000,82.8000000,55.0000000,60.7000000,13356
RTKM,M,20000201,000000,62.0000000,86.0000000,58.1500000,80.0000000,52093
RTKM,M,20000301,000000,83.0000000,136.7500000,81.6500000,113.5500000,75249
RTKM,M,20000401,000000,116.5000000,116.5000000,77.0000000,94.7800000,99468
RTKM,M,20000501,000000,95.2000000,96.6000000,56.2000000,73.0000000,84388
RTKM,M,20000601,000000,72.5000000,82.5000000,56.3500000,62.2000000,59506
RTKM,M,20000701,000000,63.5000000,74.0000000,61.0100000,64.9500000,148209
RTKM,M,20000801,000000,67.0000000,74.4000000,65.1000000,67.0000000,179655
RTKM,M,20000901,000000,67.5000000,67.5000000,41.0000000,43.8500000,190049
RTKM,M,20001001,000000,41.5100000,44.1700000,31.0000000,38.6100000,219646
RTKM,M,20001101,000000,39.9000000,41.2500000,26.0000000,26.1500000,177670
RTKM,M,20001201,000000,26.5900000,49.0000000,23.5000000,24.9100000,129162
RTKM,M,20010101,000000,23.1000000,32.0000000,22.4400000,29.4000000,182884
RTKM,M,20010201,000000,29.1300000,32.8400000,23.6500000,24.5000000,181462
RTKM,M,20010301,000000,23.8300000,27.7400000,22.0000000,22.3100000,164173
RTKM,M,20010401,000000,22.5000000,25.4900000,19.8400000,22.6800000,307642
RTKM,M,20010501,000000,23.0100000,25.3900000,21.9000000,25.1500000,408773
RTKM,M,20010601,000000,25.4700000,28.4100000,24.8000000,25.5000000,458283
RTKM,M,20010701,000000,25.4200000,26.5500000,20.6000000,21.0700000,229023
RTKM,M,20010801,000000,20.9500000,21.2700000,19.2000000,20.3000000,139909
RTKM,M,20010901,000000,20.5500000,20.6700000,14.7000000,14.9300000,220583
RTKM,M,20011001,000000,15.0000000,18.4500000,13.3000000,17.9500000,630263
RTKM,M,20011101,000000,18.0500000,27.7200000,18.0500000,27.0800000,1017969
RTKM,M,20011201,000000,27.0000000,28.8000000,24.2000000,27.8300000,491871
RTKM,M,20020101,000000,27.7500000,33.6500000,27.7500000,32.7000000,77780239
RTKM,M,20020201,000000,33.0000000,36.7300000,32.5500000,35.4000000,56489103
RTKM,M,20020301,000000,35.0500000,40.2500000,35.0100000,39.6400000,66582067
RTKM,M,20020401,000000,39.0100000,52.4500000,37.0500000,46.1000000,105949130
RTKM,M,20020501,000000,46.3700000,48.8900000,35.4100000,40.6500000,79378137
RTKM,M,20020601,000000,40.4500000,41.3900000,30.6000000,31.3500000,81013527
RTKM,M,20020701,000000,31.0100000,38.5100000,29.9300000,35.1000000,101970055
RTKM,M,20020801,000000,35.7000000,37.1700000,30.3300000,34.3400000,58927623
RTKM,M,20020901,000000,34.1400000,34.3000000,30.4100000,30.6000000,55917530
RTKM,M,20021001,000000,30.8000000,36.7500000,30.8000000,36.5400000,81144973
RTKM,M,20021101,000000,36.5000000,40.1500000,35.5600000,39.4300000,118714434
RTKM,M,20021201,000000,39.4900000,41.3500000,37.3600000,38.2400000,92545947
RTKM,M,20030101,000000,38.5500000,41.2000000,35.2300000,36.0700000,76580075
RTKM,M,20030201,000000,36.1500000,42.9800000,36.1000000,42.8800000,115515561
RTKM,M,20030301,000000,43.1500000,44.6500000,40.2000000,40.9800000,108206585
RTKM,M,20030401,000000,41.1500000,45.7200000,41.0900000,43.8500000,118574197
RTKM,M,20030501,000000,44.0200000,62.5000000,43.9000000,55.2900000,195704893
RTKM,M,20030601,000000,55.7600000,56.9000000,50.7000000,53.0400000,126772771
RTKM,M,20030701,000000,53.0200000,55.9000000,44.1200000,48.1100000,114656715
RTKM,M,20030801,000000,48.2100000,53.2400000,46.3700000,53.1800000,100096103
RTKM,M,20030901,000000,53.2400000,55.2400000,50.2000000,52.3000000,107908879
RTKM,M,20031001,000000,52.3500000,67.5900000,50.2100000,54.4400000,360962515
RTKM,M,20031101,000000,55.6000000,60.8300000,51.2100000,56.7800000,165688536
RTKM,M,20031201,000000,57.3800000,63.2000000,55.7400000,59.9000000,151513608
RTKM,M,20040101,000000,61.0000000,66.5800000,60.3300000,63.2000000,171591861
RTKM,M,20040201,000000,63.0100000,68.7500000,61.4900000,68.5000000,192381812
RTKM,M,20040301,000000,68.8700000,70.2000000,64.5700000,69.3400000,210900038
RTKM,M,20040401,000000,69.9500000,76.0000000,61.7000000,63.0000000,225319853
RTKM,M,20040501,000000,66.0000000,66.0000000,55.0100000,59.3700000,129320777
RTKM,M,20040601,000000,59.3000000,64.7800000,56.6100000,61.7300000,110807020
RTKM,M,20040701,000000,62.4000000,63.7200000,51.1300000,54.0000000,110922923
RTKM,M,20040801,000000,54.5000000,59.6000000,52.3400000,59.4000000,119450432
RTKM,M,20040901,000000,59.0100000,65.8400000,58.5700000,65.7000000,147657661
RTKM,M,20041001,000000,65.7000000,71.0500000,62.7000000,66.5500000,199876607
RTKM,M,20041101,000000,67.0100000,71.4000000,59.8500000,60.5000000,170964492
RTKM,M,20041201,000000,60.3500000,60.4000000,45.8800000,50.2600000,197064076
RTKM,M,20050101,000000,50.1500000,52.1700000,47.4500000,50.6300000,89779154
RTKM,M,20050201,000000,50.8000000,60.7400000,50.3100000,60.4000000,333488568
RTKM,M,20050301,000000,60.4000000,62.6000000,55.8000000,58.6000000,290475307
RTKM,M,20050401,000000,58.8000000,65.3000000,57.8000000,58.3000000,305998077
RTKM,M,20050501,000000,58.9300000,60.2300000,54.8100000,57.1700000,141913777
RTKM,M,20050601,000000,57.0100000,59.4500000,56.3100000,57.4900000,118508984
RTKM,M,20050701,000000,57.4400000,62.5600000,57.0000000,59.6700000,163644494
RTKM,M,20050801,000000,59.4400000,66.1900000,58.3700000,64.3000000,288825781
RTKM,M,20050901,000000,64.3000000,75.7300000,62.3000000,72.2300000,449708779
RTKM,M,20051001,000000,72.3300000,74.9100000,57.6100000,59.9000000,234554940
RTKM,M,20051101,000000,60.5100000,68.3000000,59.8200000,65.9100000,169696031
RTKM,M,20051201,000000,65.9000000,70.9800000,63.2500000,64.5700000,184337043
RTKM,M,20060101,000000,66.3000000,70.4000000,62.5100000,63.0600000,151822601
RTKM,M,20060201,000000,63.4500000,108.4100000,63.4500000,93.5000000,700269800
RTKM,M,20060301,000000,93.5600000,99.4900000,83.3200000,89.8900000,438976121
RTKM,M,20060401,000000,89.9800000,100.4500000,89.6900000,96.6700000,207594641
RTKM,M,20060501,000000,100.0800000,110.9400000,78.0300000,109.5000000,238754615
RTKM,M,20060601,000000,111.1100000,131.0000000,99.0000000,128.8900000,252128702
RTKM,M,20060701,000000,128.8900000,142.0000000,116.6900000,133.4600000,71628251
RTKM,M,20060801,000000,133.3000000,138.8000000,124.0200000,127.0200000,75502218
RTKM,M,20060901,000000,127.0100000,134.8000000,125.5000000,134.0000000,46759404
RTKM,M,20061001,000000,134.8000000,139.4800000,129.2700000,135.7900000,40846546
RTKM,M,20061101,000000,135.9900000,167.4200000,135.5300000,166.7800000,54371863
RTKM,M,20061201,000000,167.0000000,205.8400000,165.0200000,198.6500000,77062672
RTKM,M,20070101,000000,196.0000000,209.9000000,185.5000000,209.7000000,40540840
RTKM,M,20070201,000000,209.8800000,224.0000000,200.0000000,209.9900000,35894367
RTKM,M,20070301,000000,211.0000000,230.9000000,200.3000000,223.6000000,34839869
RTKM,M,20070401,000000,224.0000000,258.3900000,217.8800000,225.3900000,43934063
RTKM,M,20070501,000000,223.1000000,243.0000000,216.0000000,226.3100000,39346493
RTKM,M,20070601,000000,227.0000000,250.0100000,224.6000000,244.5700000,24567746
RTKM,M,20070701,000000,246.2000000,253.9800000,235.1300000,242.9500000,41365928
