<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RTKMP,M,19990401,000000,5.5000000,6.1500000,5.0000000,5.0000000,23100
RTKMP,M,19990501,000000,6.0000000,9.4400000,5.2000000,9.4400000,65900
RTKMP,M,19990601,000000,8.1000000,15.5000000,8.0000000,12.0000000,2181
RTKMP,M,19990701,000000,11.2000000,16.5900000,10.0000000,11.0000000,2711
RTKMP,M,19990801,000000,11.5000000,11.5000000,8.4000000,9.0200000,1470
RTKMP,M,19990901,000000,9.9900000,10.4000000,7.0000000,8.0000000,797
RTKMP,M,19991001,000000,0.8100000,8.7000000,0.8100000,7.7000000,1027
RTKMP,M,19991101,000000,8.4900000,12.1800000,7.0000000,10.0000000,4215
RTKMP,M,19991201,000000,11.9900000,18.2000000,9.0000000,17.1700000,6609
RTKMP,M,20000101,000000,18.0000000,29.0000000,18.0000000,20.3500000,8056
RTKMP,M,20000201,000000,21.9000000,28.8000000,20.0000000,26.9000000,9975
RTKMP,M,20000301,000000,26.5000000,43.0000000,26.5000000,38.0000000,21642
RTKMP,M,20000401,000000,36.2000000,41.7900000,30.0000000,36.2000000,12029
RTKMP,M,20000501,000000,35.5100000,37.0600000,19.5000000,26.4000000,9162
RTKMP,M,20000601,000000,26.7000000,29.1000000,16.0000000,20.5000000,2811
RTKMP,M,20000701,000000,20.0400000,24.7000000,20.0000000,23.0500000,6606
RTKMP,M,20000801,000000,23.2600000,25.9000000,22.8000000,23.8100000,6828
RTKMP,M,20000901,000000,24.0000000,24.0000000,16.0000000,17.0000000,3910
RTKMP,M,20001001,000000,17.0000000,17.2400000,11.2000000,13.6800000,5955
RTKMP,M,20001101,000000,13.7500000,14.8500000,9.0900000,9.8000000,7884
RTKMP,M,20001201,000000,9.3800000,11.9500000,9.0000000,10.5000000,1713
RTKMP,M,20010101,000000,10.0000000,15.0000000,10.0000000,11.5000000,6503
RTKMP,M,20010201,000000,11.4000000,12.0000000,10.0000000,10.0000000,5501
RTKMP,M,20010301,000000,9.8000000,11.1000000,9.0300000,9.5000000,4513
RTKMP,M,20010401,000000,9.2500000,10.9800000,7.7500000,9.0700000,30621
RTKMP,M,20010501,000000,9.3100000,9.5000000,8.5500000,8.9500000,30049
RTKMP,M,20010601,000000,9.0000000,10.5900000,8.9800000,9.9300000,66007
RTKMP,M,20010701,000000,9.9900000,10.2400000,8.4100000,8.8800000,24639
RTKMP,M,20010801,000000,8.6500000,9.0000000,8.2000000,8.7300000,9806
RTKMP,M,20010901,000000,8.7900000,9.1000000,7.0000000,7.1500000,16033
RTKMP,M,20011001,000000,7.5000000,8.3600000,6.2000000,8.1600000,43917
RTKMP,M,20011101,000000,8.1600000,12.7700000,8.1500000,12.6300000,88375
RTKMP,M,20011201,000000,12.8400000,15.2900000,11.8000000,14.8500000,64567
RTKMP,M,20020101,000000,14.8200000,17.3900000,14.8200000,16.8100000,9600143
RTKMP,M,20020201,000000,17.2000000,19.9400000,16.7000000,19.7000000,6536805
RTKMP,M,20020301,000000,19.7000000,23.2000000,19.6400000,22.3000000,8523335
RTKMP,M,20020401,000000,22.1500000,27.0000000,20.8100000,23.5000000,10020791
