DATE,RATE
03.03.2015,62.2248
28.02.2015,61.2718
27.02.2015,60.7109
26.02.2015,62.5906
25.02.2015,63.5083
21.02.2015,61.7235
20.02.2015,62.1307
19.02.2015,62.4001
18.02.2015,62.8353
17.02.2015,62.6632
14.02.2015,65.0862
13.02.2015,66.0994
11.02.2015,65.4469
10.02.2015,65.7817
7.02.2015,66.0432
6.02.2015,68.6113
5.02.2015,65.447
4.02.2015,67.7727
3.02.2015,69.664
31.01.2015,68.9291
30.01.2015,68.7303
29.01.2015,67.1506
28.01.2015,67.8153
27.01.2015,65.5937
24.01.2015,63.393
23.01.2015,65.4
22.01.2015,65.5558
21.01.2015,64.9862
20.01.2015,64.9732
17.01.2015,65.1738
16.01.2015,64.8337
15.01.2015,66.0983
14.01.2015,64.8425
13.01.2015,62.7363
1.01.2015,56.2376
31.12.2014,56.2584
30.12.2014,56.6801
27.12.2014,52.0343
26.12.2014,52.6159
25.12.2014,54.4913
24.12.2014,54.5687
23.12.2014,56.494
20.12.2014,60.6825
19.12.2014,59.6029
18.12.2014,67.7851
17.12.2014,61.1512
16.12.2014,58.3461
13.12.2014,56.8919
10.12.2014,54.2116
9.12.2014,53.3079
6.12.2014,53.1088
5.12.2014,52.6932
4.12.2014,54.3821
3.12.2014,50.7678
2.12.2014,51.8068
1.12.2014,47.6629
29.11.2014,49.322
28.11.2014,47.6629
27.11.2014,46.4244
26.11.2014,44.9758
25.11.2014,44.7852
22.11.2014,45.7926
21.11.2014,46.7047
20.11.2014,47.0294
19.11.2014,46.9797
18.11.2014,47.3329
15.11.2014,47.392
14.11.2014,46.1233
13.11.2014,46.3379
12.11.2014,45.952
11.11.2014,45.8926
8.11.2014,47.8774
7.11.2014,45.1854
6.11.2014,44.3993
1.11.2014,41.9627
31.10.2014,43.3943
30.10.2014,42.6525
29.10.2014,42.3934
28.10.2014,41.9497
27.10.2014,41.4958
25.10.2014,41.8101
24.10.2014,41.4958
23.10.2014,40.9671
22.10.2014,41.0501
21.10.2014,40.8815
18.10.2014,41.045
17.10.2014,40.7457
16.10.2014,40.9416
15.10.2014,40.5304
14.10.2014,40.3251
11.10.2014,40.2125
10.10.2014,39.98
9.10.2014,39.9819
8.10.2014,39.7417
7.10.2014,39.982
4.10.2014,39.698
3.10.2014,39.5474
2.10.2014,39.6604
1.10.2014,39.3836
30.09.2014,39.3866
27.09.2014,38.7243
26.09.2014,38.3007
25.09.2014,38.383
24.09.2014,38.6672
23.09.2014,38.5782
20.09.2014,38.4134
19.09.2014,38.4209
18.09.2014,38.3724
17.09.2014,38.7058
16.09.2014,37.9861
13.09.2014,37.6545
12.09.2014,37.3758
11.09.2014,37.1693
10.09.2014,37.0261
9.09.2014,37.0866
6.09.2014,36.9219
5.09.2014,36.8038
4.09.2014,37.3183
3.09.2014,37.348
2.09.2014,37.2945
30.08.2014,36.9316
29.08.2014,36.3053
28.08.2014,36.1397
27.08.2014,36.1358
26.08.2014,36.1201
23.08.2014,36.0027
22.08.2014,36.3317
21.08.2014,36.224
20.08.2014,36.1094
19.08.2014,36.0294
16.08.2014,36.0014
15.08.2014,36.0395
14.08.2014,36.2222
13.08.2014,36.089
12.08.2014,36.0475
9.08.2014,36.4461
8.08.2014,36.2496
7.08.2014,36.1102
6.08.2014,35.7987
5.08.2014,35.6605
2.08.2014,35.7272
1.08.2014,35.4438
31.07.2014,35.7271
30.07.2014,35.6339
29.07.2014,35.3457
26.07.2014,35.0535
25.07.2014,35.0786
24.07.2014,34.8101
23.07.2014,35.0387
22.07.2014,35.09
19.07.2014,35.1627
18.07.2014,34.7998
17.07.2014,34.3853
16.07.2014,34.3723
15.07.2014,34.3135
12.07.2014,34.0582
11.07.2014,33.8353
10.07.2014,34.0758
9.07.2014,34.4258
8.07.2014,34.5691
5.07.2014,34.3236
4.07.2014,34.1949
3.07.2014,34.2496
2.07.2014,34.2275
1.07.2014,33.8434
28.06.2014,33.6306
27.06.2014,33.7508
26.06.2014,33.907
25.06.2014,33.9812
24.06.2014,34.2797
21.06.2014,34.419
20.06.2014,34.3025
19.06.2014,34.8232
18.06.2014,34.8095
17.06.2014,34.5654
12.06.2014,34.3227
11.06.2014,34.3681
10.06.2014,34.3303
7.06.2014,34.6573
6.06.2014,34.9043
5.06.2014,35.1398
4.06.2014,35.0115
3.06.2014,34.8887
31.05.2014,34.7352
30.05.2014,34.6481
29.05.2014,34.4895
28.05.2014,34.2571
27.05.2014,34.0771
24.05.2014,34.3139
23.05.2014,34.2802
22.05.2014,34.5078
21.05.2014,34.6007
20.05.2014,34.7394
17.05.2014,34.7794
16.05.2014,34.7005
15.05.2014,34.709
14.05.2014,34.8789
13.05.2014,35.2091
9.05.2014,35.0343
8.05.2014,35.4971
7.05.2014,35.655
6.05.2014,35.8381
1.05.2014,35.7227
30.04.2014,35.6983
29.04.2014,36.0245
26.04.2014,35.9289
25.04.2014,35.683
24.04.2014,35.6625
23.04.2014,35.6785
22.04.2014,35.6688
19.04.2014,35.5389
18.04.2014,35.9287
17.04.2014,36.0813
16.04.2014,35.9635
15.04.2014,35.989
12.04.2014,35.6239
11.04.2014,35.5581
10.04.2014,35.7493
9.04.2014,35.5475
8.04.2014,35.4679
5.04.2014,35.501
4.04.2014,35.5154
3.04.2014,35.2517
2.04.2014,35.024
1.04.2014,35.6053
29.03.2014,35.6871
28.03.2014,35.581
27.03.2014,35.4494
26.03.2014,35.9316
25.03.2014,36.1663
22.03.2014,36.4022
21.03.2014,36.1081
20.03.2014,36.207
19.03.2014,36.4487
18.03.2014,36.6505
15.03.2014,36.6391
14.03.2014,36.4566
13.03.2014,36.4865
12.03.2014,36.4015
8.03.2014,36.2618
7.03.2014,36.1251
6.03.2014,36.0849
5.03.2014,36.3208
4.03.2014,36.3784
1.03.2014,36.1847
28.02.2014,36.0501
27.02.2014,35.7872
26.02.2014,35.5669
25.02.2014,35.5112
22.02.2014,35.6828
21.02.2014,35.767
20.02.2014,35.5857
19.02.2014,35.2386
18.02.2014,35.0976
15.02.2014,35.2559
14.02.2014,34.8611
13.02.2014,34.7595
12.02.2014,34.7964
11.02.2014,34.7636
8.02.2014,34.6044
7.02.2014,34.7287
6.02.2014,34.9592
5.02.2014,35.4502
4.02.2014,35.2347
1.02.2014,35.18
31.01.2014,35.2448
30.01.2014,34.5633
29.01.2014,34.625
28.01.2014,34.7093
25.01.2014,34.26
24.01.2014,34.0334
23.01.2014,33.8688
22.01.2014,33.8161
21.01.2014,33.6429
18.01.2014,33.4343
17.01.2014,33.4013
16.01.2014,33.3562
15.01.2014,33.2386
14.01.2014,33.1204
11.01.2014,33.2062
10.01.2014,33.1547
1.01.2014,32.6587
31.12.2013,32.7292
28.12.2013,32.6282
27.12.2013,32.671
26.12.2013,32.6487
25.12.2013,32.6284
24.12.2013,32.9506
21.12.2013,32.9798
20.12.2013,32.9527
19.12.2013,32.9404
18.12.2013,32.8646
17.12.2013,32.8658
14.12.2013,32.8663
13.12.2013,32.7518
12.12.2013,32.7315
11.12.2013,32.7848
10.12.2013,32.7782
7.12.2013,32.9514
6.12.2013,33.114
5.12.2013,33.2632
4.12.2013,33.246
3.12.2013,33.1482
30.11.2013,33.1916
29.11.2013,33.1332
28.11.2013,33.0041
27.11.2013,32.9879
26.11.2013,32.7733
23.11.2013,32.9055
22.11.2013,33.018
21.11.2013,32.7417
20.11.2013,32.6098
19.11.2013,32.5658
16.11.2013,32.6807
15.11.2013,32.6874
14.11.2013,32.8184
13.11.2013,32.8076
12.11.2013,32.6622
9.11.2013,32.5479
8.11.2013,32.3803
7.11.2013,32.4511
6.11.2013,32.3509
2.11.2013,32.1808
1.11.2013,32.0758
31.10.2013,32.0613
30.10.2013,31.9445
29.10.2013,31.8119
26.10.2013,31.6775
25.10.2013,31.6618
24.10.2013,31.7448
23.10.2013,31.9346
22.10.2013,31.9013
19.10.2013,31.846
18.10.2013,32.0816
17.10.2013,32.2561
16.10.2013,32.2676
15.10.2013,32.2663
12.10.2013,32.2133
11.10.2013,32.3564
10.10.2013,32.3619
9.10.2013,32.2984
8.10.2013,32.2931
5.10.2013,32.1005
4.10.2013,32.125
3.10.2013,32.2979
2.10.2013,32.2965
1.10.2013,32.4839
28.09.2013,32.3451
27.09.2013,32.1736
26.09.2013,31.9343
25.09.2013,31.8167
24.09.2013,31.9106
21.09.2013,31.7326
20.09.2013,31.5892
19.09.2013,32.245
18.09.2013,32.3237
17.09.2013,32.2907
14.09.2013,32.7406
13.09.2013,32.6731
12.09.2013,32.9629
11.09.2013,33.06
10.09.2013,33.3243
7.09.2013,33.4338
6.09.2013,33.3901
5.09.2013,33.4656
4.09.2013,33.3693
3.09.2013,33.2522
31.08.2013,33.2474
30.08.2013,33.1783
29.08.2013,33.1798
28.08.2013,33.1224
27.08.2013,32.9564
24.08.2013,33.0552
23.08.2013,33.1908
22.08.2013,32.9737
21.08.2013,33.0006
20.08.2013,32.9226
17.08.2013,32.9421
16.08.2013,33.0004
15.08.2013,33.1583
14.08.2013,33.0426
13.08.2013,32.891
12.08.2013,32.9401
10.08.2013,32.8606
9.08.2013,32.9401
8.08.2013,32.9848
7.08.2013,32.939
6.08.2013,32.8811
5.08.2013,32.9741
3.08.2013,33.0978
2.08.2013,32.9741
1.08.2013,33.033
31.07.2013,32.8901
30.07.2013,32.8556
27.07.2013,32.6371
26.07.2013,32.5376
25.07.2013,32.3462
24.07.2013,32.3106
23.07.2013,32.3236
20.07.2013,32.4288
19.07.2013,32.3998
18.07.2013,32.4526
17.07.2013,32.5417
16.07.2013,32.622
13.07.2013,32.6429
12.07.2013,32.5867
11.07.2013,32.9112
10.07.2013,33.0842
9.07.2013,33.321
6.07.2013,33.2247
5.07.2013,33.1605
4.07.2013,33.2204
3.07.2013,32.9475
2.07.2013,32.8517
29.06.2013,32.709
28.06.2013,32.8766
27.06.2013,32.8876
26.06.2013,32.714
25.06.2013,32.9097
22.06.2013,32.7433
21.06.2013,32.7041
