<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,M,19990601,000000,548.0000000,1395.0000000,495.0000000,1032.0000000,130469
SBER,M,19990701,000000,1100.0000000,1254.0000000,680.0100000,749.9800000,230367
SBER,M,19990801,000000,780.0000000,853.0000000,500.0000000,731.0000000,279795
SBER,M,19990901,000000,712.1200000,776.0000000,500.0000000,517.0000000,332142
SBER,M,19991001,000000,529.0000000,663.0000000,521.0000000,584.9800000,157217
SBER,M,19991101,000000,583.5000000,872.0000000,541.1000000,763.0000000,354595
SBER,M,19991201,000000,760.0000000,1089.0000000,690.0000000,1016.0000000,426600
SBER,M,20000101,000000,1150.0000000,1543.0000000,1080.0000000,1137.0000000,728136
SBER,M,20000201,000000,1160.0000000,1447.0000000,1117.0000000,1348.0000000,537210
SBER,M,20000301,000000,1385.0000000,1637.0100000,1320.0000000,1420.0000000,910994
SBER,M,20000401,000000,1422.0000000,1573.0000000,1350.0000000,1486.5000000,684935
SBER,M,20000501,000000,1471.5500000,1501.0000000,860.0000000,1130.0000000,295793
SBER,M,20000601,000000,1112.0000000,1266.0000000,871.0000000,975.0000000,305104
SBER,M,20000701,000000,980.0000000,1440.0000000,980.0000000,1310.0000000,476742
SBER,M,20000801,000000,1337.0000000,1459.0000000,1293.0000000,1403.0500000,451864
SBER,M,20000901,000000,1413.0000000,1420.0000000,1030.0000000,1153.0000000,202712
SBER,M,20001001,000000,1148.9000000,1220.0000000,990.0000000,1125.0000000,172947
SBER,M,20001101,000000,1149.0000000,1169.5000000,790.0000000,798.0000000,108598
SBER,M,20001201,000000,805.0000000,930.0000000,621.0000000,700.0000000,243557
SBER,M,20010101,000000,680.0000000,837.0000000,630.0000000,755.0000000,258932
SBER,M,20010201,000000,750.0000000,789.9700000,650.0000000,674.0000000,255593
SBER,M,20010301,000000,660.0000000,1034.0000000,645.0000000,937.9900000,443265
SBER,M,20010401,000000,945.0000000,1121.0000000,885.1300000,1045.0000000,312722
SBER,M,20010501,000000,1050.0000000,1194.0000000,1034.1000000,1068.0100000,234697
SBER,M,20010601,000000,1065.0100000,1193.9300000,1030.0000000,1100.0000000,320701
SBER,M,20010701,000000,1099.0000000,1110.0000000,975.0000000,1000.0000000,135851
SBER,M,20010801,000000,1000.1000000,1070.0000000,990.0000000,1055.0000000,129518
SBER,M,20010901,000000,1050.0100000,1112.6800000,843.0000000,890.0000000,156530
SBER,M,20011001,000000,900.0000000,1019.9800000,872.0100000,1001.0200000,106275
SBER,M,20011101,000000,991.0000000,1414.0000000,990.0000000,1392.0000000,472502
SBER,M,20011201,000000,1403.0000000,2299.9900000,1380.0000000,2219.0000000,919161
SBER,M,20020101,000000,2246.0000000,2890.0000000,2185.7000000,2569.4800000,480293
SBER,M,20020201,000000,2578.0000000,2842.9000000,2400.0000000,2749.8000000,233625
SBER,M,20020301,000000,2726.0000000,4413.0000000,2726.0000000,4280.0000000,822607
SBER,M,20020401,000000,4260.0000000,5562.0000000,4231.0000000,5305.0000000,1193845
SBER,M,20020501,000000,5350.0000000,5880.0000000,4912.0100000,5391.0000000,559798
SBER,M,20020601,000000,5400.0000000,5734.1100000,5140.0000000,5299.0000000,374749
SBER,M,20020701,000000,5290.0000000,5430.0000000,4570.0000000,4611.0000000,210609
SBER,M,20020801,000000,4670.0000000,5025.0000000,4155.0200000,4758.0000000,93974
SBER,M,20020901,000000,4750.0000000,5310.0000000,4561.0000000,4968.0000000,207914
SBER,M,20021001,000000,4952.0000000,5980.0000000,4950.0000000,5915.0000000,265383
SBER,M,20021101,000000,5891.0000000,6479.0000000,5801.0000000,6460.0000000,207065
SBER,M,20021201,000000,6459.9900000,6530.0000000,5662.0000000,6110.0000000,192915
SBER,M,20030101,000000,6120.0000000,6360.0000000,5930.0000000,6040.0000000,163446
SBER,M,20030201,000000,6022.0000000,6774.9900000,6001.0000000,6668.0000000,177860
SBER,M,20030301,000000,6686.0000000,7099.0000000,6380.0000000,6420.0000000,167238
SBER,M,20030401,000000,6385.0000000,7220.0000000,6300.0000000,7052.0000000,234248
SBER,M,20030501,000000,7130.0000000,8500.0000000,7056.0000000,8070.0000000,256364
SBER,M,20030601,000000,8124.9000000,8698.0000000,7910.0000000,8414.0000000,187845
SBER,M,20030701,000000,8450.0000000,8700.0000000,7152.5000000,7688.0000000,176316
SBER,M,20030801,000000,7650.0000000,8498.5000000,7215.0000000,7765.0000000,226716
SBER,M,20030901,000000,7732.0000000,8500.0000000,7730.0000000,8020.0000000,234756
SBER,M,20031001,000000,8030.0000000,9350.0000000,7000.0000000,7706.9000000,547826
SBER,M,20031101,000000,7800.0000000,8175.0000000,7007.0000000,7544.9900000,264427
SBER,M,20031201,000000,7512.9800000,7960.0000000,6900.0000000,7575.0000000,194507
SBER,M,20040101,000000,7660.0100000,8725.0000000,7610.0000000,8369.9900000,383423
SBER,M,20040201,000000,8368.9900000,9980.0000000,8275.0000000,9840.0000000,588185
SBER,M,20040301,000000,9863.0000000,13339.0000000,9475.0000000,12625.0000000,1083897
SBER,M,20040401,000000,12680.0000000,13119.0000000,11100.0000000,11126.0000000,827042
SBER,M,20040501,000000,11200.0000000,12490.0000000,9750.0000000,11344.9900000,573251
SBER,M,20040601,000000,11345.0000000,12233.5000000,10310.0000000,11729.0000000,638822
SBER,M,20040701,000000,11763.0000000,12856.7800000,10950.0000000,11099.9700000,483861
SBER,M,20040801,000000,11190.0000000,11550.0000000,10635.0000000,11472.1000000,251901
SBER,M,20040901,000000,11449.4900000,12650.0000000,11381.0000000,12140.0000000,323607
SBER,M,20041001,000000,12209.5000000,13687.9800000,12100.0000000,13580.0000000,499676
SBER,M,20041101,000000,13744.5000000,14660.0000000,12945.0000000,13758.7500000,467101
SBER,M,20041201,000000,13751.0000000,14097.0000000,11750.0000000,13910.0500000,357713
SBER,M,20050101,000000,14010.0000000,14637.5700000,13310.0000000,14298.5000000,211262
SBER,M,20050201,000000,14124.5000000,16349.0000000,14124.5000000,16296.0000000,351836
SBER,M,20050301,000000,16330.0000000,16651.0000000,15031.0000000,16495.0000000,499089
SBER,M,20050401,000000,16555.0000000,18530.0000000,16460.0100000,17961.0000000,372591
SBER,M,20050501,000000,17977.5000000,18549.0000000,17199.0100000,18499.0000000,211722
SBER,M,20050601,000000,18500.5100000,19406.0000000,18267.5600000,19180.0000000,174908
SBER,M,20050701,000000,19180.0000000,23319.9900000,18772.6300000,21861.0000000,432944
SBER,M,20050801,000000,21849.9000000,26283.5000000,21450.0000000,25510.0000000,320805
SBER,M,20050901,000000,25515.0000000,27699.0000000,23667.0000000,27390.0000000,348947
SBER,M,20051001,000000,27350.0000000,27780.0000000,23347.0000000,25379.0000000,292660
SBER,M,20051101,000000,25179.5000000,32320.0000000,25137.5300000,31856.4100000,473104
SBER,M,20051201,000000,32097.0000000,38783.0000000,30000.0000000,37662.7200000,468992
SBER,M,20060101,000000,38550.0000000,49300.0000000,38300.0000000,41709.0000000,737544
SBER,M,20060201,000000,41800.0000000,46500.0000000,40500.0100000,42902.0000000,512388
SBER,M,20060301,000000,43159.0000000,43700.0000000,37826.6000000,41169.0000000,581154
SBER,M,20060401,000000,41171.0300000,50050.0000000,40430.0000000,48945.0000000,890754
SBER,M,20060501,000000,49349.9900000,52495.0000000,35500.0000000,43150.0000000,993178
SBER,M,20060601,000000,43202.0100000,48127.0000000,38000.0000000,45950.0000000,759582
SBER,M,20060701,000000,46485.0100000,52650.0000000,43557.0000000,46400.0000000,492562
SBER,M,20060801,000000,51992.0000000,59230.0000000,50100.0000000,57193.7500000,451752
SBER,M,20060901,000000,57489.0000000,60198.0000000,52815.0000000,58000.0200000,601532
SBER,M,20061001,000000,58500.0000000,63300.0000000,55300.0000000,60155.0000000,586067
SBER,M,20061101,000000,60449.0000000,66590.0000000,60066.0000000,65430.0000000,442189
SBER,M,20061201,000000,65600.0000000,93600.0000000,64701.3700000,92758.8000000,873733
SBER,M,20070101,000000,89995.0000000,97450.2000000,78701.0000000,87379.9900000,1394019
SBER,M,20070201,000000,88500.0000000,99769.9300000,85550.0000000,96705.0000000,1178362
SBER,M,20070301,000000,96400.0000000,96400.0000000,85006.0000000,92500.0000000,1027874
SBER,M,20070401,000000,92200.0000000,103800.0000000,91307.0100000,101800.0000000,905322
SBER,M,20070501,000000,102000.0000000,105600.0000000,86000.0000000,91800.0000000,761200
SBER,M,20070601,000000,91900.0000000,101550.0000000,90700.0000000,100019.8800000,710100
SBER,M,20070701,000000,100003.3000000,113050.0000000,99900.0000000,105500.0000000,670476
SBER,M,20070801,000000,102.6500000,103.8900000,88.3100000,97.3900000,994134758
SBER,M,20070901,000000,97.8000000,103.8000000,93.2000000,103.5000000,798894374
SBER,M,20071001,000000,102.8800000,110.3800000,100.2000000,106.4800000,1360223828
SBER,M,20071101,000000,107.5100000,107.7800000,96.8000000,103.7400000,993224025
SBER,M,20071201,000000,103.9400000,109.5100000,101.8300000,102.0000000,864037364
SBER,M,20080101,000000,101.9900000,106.6000000,75.0100000,87.8900000,1125354870
SBER,M,20080201,000000,90.5000000,92.9000000,79.6200000,80.2000000,1444905368
SBER,M,20080301,000000,78.2000000,80.6500000,71.1100000,73.4800000,2020374921
SBER,M,20080401,000000,73.5000000,79.6700000,72.7300000,77.1000000,2359647666
SBER,M,20080501,000000,77.7800000,88.8700000,77.7800000,85.2000000,2123624952
SBER,M,20080601,000000,85.1200000,85.4900000,73.9200000,74.2900000,1345713560
SBER,M,20080701,000000,74.1000000,77.8500000,66.0100000,69.0900000,2460170300
SBER,M,20080801,000000,68.1500000,69.7300000,51.0000000,57.4000000,2474174438
SBER,M,20080901,000000,56.3200000,61.8900000,26.3100000,43.6900000,3095296339
SBER,M,20081001,000000,44.8800000,44.9900000,16.7700000,27.7700000,3799965898
SBER,M,20081101,000000,28.6000000,34.3000000,21.1000000,23.2100000,3880359601
SBER,M,20081201,000000,23.1900000,24.0000000,20.0100000,22.7900000,3424946567
SBER,M,20090101,000000,23.3000000,23.4500000,14.1500000,16.4400000,3065490757
SBER,M,20090201,000000,16.2600000,19.5300000,13.5000000,14.2700000,7561032911
SBER,M,20090301,000000,13.8000000,26.8900000,13.7500000,20.8500000,13907588072
SBER,M,20090401,000000,20.9800000,29.9400000,20.2600000,27.8000000,14822578635
SBER,M,20090501,000000,28.4000000,44.5300000,28.0600000,44.1300000,12366591467
SBER,M,20090601,000000,45.9100000,56.9000000,31.1900000,38.0800000,14993234235
SBER,M,20090701,000000,38.5400000,43.4500000,32.5000000,42.3900000,12209685367
SBER,M,20090801,000000,43.1300000,50.0700000,43.0900000,47.4500000,11517715442
SBER,M,20090901,000000,47.8100000,63.2900000,47.7100000,59.8500000,9783605158
SBER,M,20091001,000000,60.4900000,72.2900000,55.6600000,64.6100000,9106616956
SBER,M,20091101,000000,64.0600000,74.8900000,61.7500000,69.2100000,6332486356
SBER,M,20091201,000000,69.8900000,84.4000000,69.4200000,82.9400000,4307632998
SBER,M,20100101,000000,86.5600000,92.4900000,84.1000000,88.4100000,2709780488
SBER,M,20100201,000000,87.6100000,89.8000000,73.2300000,76.3000000,4009732733
SBER,M,20100301,000000,77.0000000,90.9200000,76.7100000,85.8000000,4752833434
SBER,M,20100401,000000,86.4100000,90.2700000,77.8200000,78.6000000,3275071453
SBER,M,20100501,000000,79.1900000,84.7300000,63.8100000,71.0000000,6102825681
SBER,M,20100601,000000,70.4300000,84.5600000,67.4000000,76.5000000,5090215722
SBER,M,20100701,000000,75.1000000,86.7000000,71.5000000,84.5600000,4743201026
SBER,M,20100801,000000,85.4000000,86.9000000,73.5500000,78.3100000,3524131114
SBER,M,20100901,000000,78.5500000,86.1500000,77.6000000,86.0800000,3288777858
SBER,M,20101001,000000,85.9400000,104.4400000,85.7200000,101.3600000,4030289811
SBER,M,20101101,000000,102.3400000,106.4700000,94.7700000,101.5100000,3705040507
SBER,M,20101201,000000,102.1200000,108.9000000,101.6000000,104.1800000,2865834159
SBER,M,20110101,000000,104.9900000,110.9500000,102.5000000,105.9000000,2375765759
SBER,M,20110201,000000,106.4500000,107.3500000,95.5000000,102.1000000,3502468312
SBER,M,20110301,000000,102.5100000,107.9500000,93.7100000,106.6500000,4306460100
SBER,M,20110401,000000,106.7300000,109.7600000,99.2600000,100.0000000,3056353990
SBER,M,20110501,000000,99.9000000,100.1700000,91.5000000,97.5900000,2893923410
SBER,M,20110601,000000,98.0000000,100.2500000,93.2600000,100.0000000,2718241380
SBER,M,20110701,000000,100.0500000,107.7000000,99.8400000,101.7500000,3491340390
SBER,M,20110801,000000,103.1100000,104.1000000,75.5800000,84.9300000,6734159520
SBER,M,20110901,000000,84.7000000,85.6000000,66.0200000,70.4400000,6818859290
SBER,M,20111001,000000,68.3600000,86.9500000,60.9100000,81.8800000,8961852720
SBER,M,20111101,000000,80.7300000,87.6900000,73.7500000,87.5500000,7345270670
SBER,M,20111201,000000,88.6400000,91.2800000,77.2000000,79.4000000,5237200880
SBER,M,20120101,000000,80.1200000,91.2800000,80.1200000,90.1700000,3961657210
SBER,M,20120201,000000,89.7400000,100.4000000,89.1700000,100.1900000,3504556390
SBER,M,20120301,000000,99.4800000,103.8500000,93.4000000,94.8600000,3726481890
SBER,M,20120401,000000,95.4000000,98.2300000,91.1400000,93.9500000,2980466930
