<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBERP,M,19990601,000000,5.8600000,14.3500000,5.3000000,11.1000000,1940300
SBERP,M,19990701,000000,10.3100000,14.1500000,7.0000000,7.7900000,1283700
SBERP,M,19990801,000000,7.9800000,8.3900000,0.8500000,7.1500000,1060700
SBERP,M,19990901,000000,7.4500000,7.7500000,4.9900000,5.2100000,1338200
SBERP,M,19991001,000000,5.2000000,6.6000000,5.2000000,5.8700000,1185800
SBERP,M,19991101,000000,5.8100000,8.6000000,5.5000000,7.5400000,1841200
SBERP,M,19991201,000000,7.6400000,10.8000000,6.6500000,9.7600000,3986300
SBERP,M,20000101,000000,10.5000000,15.1500000,10.5000000,11.4500000,4537200
SBERP,M,20000201,000000,12.1800000,14.5000000,11.4000000,13.2000000,2230500
SBERP,M,20000301,000000,13.5800000,16.3400000,13.0000000,14.2000000,2551800
SBERP,M,20000401,000000,14.0500000,15.8500000,13.6200000,15.1000000,2440000
SBERP,M,20000501,000000,14.9400000,15.2000000,8.8000000,11.3900000,1190200
SBERP,M,20000601,000000,11.5500000,13.4000000,8.6200000,9.6900000,1248900
SBERP,M,20000701,000000,10.5000000,13.9800000,3.3800000,12.7500000,2125600
SBERP,M,20000801,000000,13.1400000,13.7700000,12.0000000,13.5000000,1924300
SBERP,M,20000901,000000,13.6500000,13.6500000,9.9000000,11.2300000,961000
SBERP,M,20001001,000000,11.4500000,12.1700000,10.0000000,11.2000000,1197000
SBERP,M,20001101,000000,11.3000000,11.4700000,8.1000000,8.1000000,461500
SBERP,M,20001201,000000,8.2500000,9.9700000,7.0000000,8.3900000,1384100
SBERP,M,20010101,000000,7.9000000,10.0000000,5.5000000,8.5200000,1734700
SBERP,M,20010201,000000,8.4000000,8.8400000,7.7500000,8.2000000,4763800
SBERP,M,20010301,000000,8.0500000,10.9200000,8.0500000,9.8100000,2542800
SBERP,M,20010401,000000,9.9000000,12.6900000,9.5000000,12.1700000,3222200
SBERP,M,20010501,000000,12.3000000,12.7000000,11.0000000,12.2400000,4955700
SBERP,M,20010601,000000,12.2600000,13.0000000,11.5000000,11.5100000,4020700
SBERP,M,20010701,000000,11.4600000,11.9300000,10.2000000,10.5000000,1694400
SBERP,M,20010801,000000,10.3700000,11.2500000,10.0000000,11.0400000,729100
SBERP,M,20010901,000000,11.3100000,11.5200000,9.4400000,9.7700000,1434600
SBERP,M,20011001,000000,9.7800000,11.4900000,9.3800000,11.2500000,1979300
SBERP,M,20011101,000000,11.2900000,15.7000000,11.2000000,15.3800000,8908600
SBERP,M,20011201,000000,15.6900000,25.4900000,15.0200000,24.4500000,8300600
SBERP,M,20020101,000000,24.4900000,28.9800000,23.2500000,27.1200000,6816600
SBERP,M,20020201,000000,26.6000000,34.3000000,26.0000000,34.1000000,3181400
SBERP,M,20020301,000000,34.1000000,58.1000000,33.1100000,57.2000000,11283500
SBERP,M,20020401,000000,57.0000000,69.7700000,53.2000000,64.9800000,8589100
SBERP,M,20020501,000000,64.4000000,73.7700000,60.0000000,62.1100000,4780500
SBERP,M,20020601,000000,61.0200000,66.3100000,50.0000000,56.5000000,2404600
SBERP,M,20020701,000000,55.0000000,57.4100000,44.1200000,47.8900000,1742300
SBERP,M,20020801,000000,50.7700000,56.3000000,42.0000000,52.7500000,1426500
SBERP,M,20020901,000000,52.6000000,61.9000000,50.1300000,56.3500000,1566100
SBERP,M,20021001,000000,55.2000000,68.4000000,55.2000000,67.5000000,2264700
SBERP,M,20021101,000000,67.6000000,70.6000000,65.5100000,70.3200000,1522800
SBERP,M,20021201,000000,70.0000000,73.0000000,66.3000000,70.5500000,2235900
SBERP,M,20030101,000000,70.9900000,72.9600000,69.1500000,70.3600000,790300
SBERP,M,20030201,000000,70.0100000,87.7900000,70.0000000,86.8500000,2657300
SBERP,M,20030301,000000,86.8500000,122.9000000,86.8500000,101.1000000,4553290
SBERP,M,20030401,000000,101.5000000,121.8500000,100.2700000,117.1000000,1737923
SBERP,M,20030501,000000,118.9500000,119.0000000,105.0100000,113.2000000,2569849
SBERP,M,20030601,000000,111.4100000,126.0000000,110.0000000,121.3800000,2355213
SBERP,M,20030701,000000,120.0100000,122.2500000,103.0000000,110.0000000,1385468
SBERP,M,20030801,000000,110.0000000,114.9900000,106.2000000,114.2200000,1419003
SBERP,M,20030901,000000,114.9900000,121.0000000,113.3200000,115.9000000,1134715
SBERP,M,20031001,000000,115.6100000,134.9900000,97.0000000,113.9900000,3043292
SBERP,M,20031101,000000,114.5000000,119.0000000,101.8000000,107.5000000,2606016
SBERP,M,20031201,000000,107.8000000,109.4800000,100.5100000,104.5000000,2594519
SBERP,M,20040101,000000,104.9000000,122.0000000,104.6500000,116.3900000,3364901
SBERP,M,20040201,000000,116.3900000,129.5000000,115.1500000,128.1000000,3984893
SBERP,M,20040301,000000,128.1000000,148.4800000,122.3000000,144.4300000,12550809
SBERP,M,20040401,000000,145.0000000,163.8500000,135.8000000,140.5000000,9873848
SBERP,M,20040501,000000,139.0000000,149.4500000,120.5000000,140.0000000,2910813
SBERP,M,20040601,000000,140.9300000,145.0000000,130.0000000,139.2500000,1682532
SBERP,M,20040701,000000,139.0200000,148.9800000,130.0000000,133.7500000,2101203
SBERP,M,20040801,000000,132.6000000,136.2000000,125.0100000,135.7500000,1056510
SBERP,M,20040901,000000,135.0000000,149.4800000,134.0000000,148.0000000,2401012
SBERP,M,20041001,000000,148.0000000,156.0000000,145.0500000,154.9600000,3653673
