<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SNGSP,M,19980101,0,0.72,0.73,0.36,0.4,2979500
SNGSP,M,19980201,0,0.45,0.53,0.44,0.46,11549600
SNGSP,M,19980301,0,0.47,0.55,0.44,0.49,21498700
SNGSP,M,19980401,0,0.47,0.49,0.41,0.44,16925400
SNGSP,M,19980501,0,0.45,0.45,0.21,0.27,10769000
SNGSP,M,19980601,0,0.23,0.33,0.2,0.23,17792600
SNGSP,M,19980701,0,0.25,0.33,0.2,0.27,11178400
SNGSP,M,19980801,0,0.26,0.27,0.19,0.22,910700
SNGSP,M,19980901,0,0.192,0.29,0.122,0.155,1203300
SNGSP,M,19981001,0,0.11,0.75,0.059,0.198,7904000
SNGSP,M,19981101,0,0.2,0.427,0.191,0.41,8969400
SNGSP,M,19981201,0,0.4,0.422,0.374,0.4,3764600
SNGSP,M,19990101,0,0.43,0.46,0.36,0.43,4859900
SNGSP,M,19990201,0,0.431,0.629,0.42,0.57,7717000
SNGSP,M,19990301,0,0.575,1.4,0.575,1,14078900
SNGSP,M,19990401,0,1,1.018,0.71,0.99,31403500
SNGSP,M,19990501,0,1.15,1.189,0.838,1.099,41775300
SNGSP,M,19990601,0,1.11,1.22,1.013,1.125,38521400
SNGSP,M,19990701,0,1.168,1.5,1.143,1.26,32503100
SNGSP,M,19990801,0,1.25,2.033,1,1.215,14262700
SNGSP,M,19990901,0,1.3,1.3,0.77,0.98,14257800
SNGSP,M,19991001,0,1,1.21,0.99,1.11,19006700
SNGSP,M,19991101,0,1.076,1.625,1.07,1.47,36502400
SNGSP,M,19991201,0,1.45,2.58,1.45,2.42,32991000
SNGSP,M,20000101,0,2.79,3.49,2.51,2.58,28800300
SNGSP,M,20000201,0,2.62,2.98,2.05,2.28,21745900
SNGSP,M,20000301,0,2.447,2.95,2.31,2.735,44757900
SNGSP,M,20000401,0,2.671,4.128,2.5,4.06,80605300
SNGSP,M,20000501,0,4.1,4.41,2.5,3.7,29065600
SNGSP,M,20000601,0,3.8,3.998,2.97,3.22,14739600
SNGSP,M,20000701,0,3.3,3.62,3.26,3.476,15059100
SNGSP,M,20000801,0,3.59,4.635,3.45,4.427,35686600
SNGSP,M,20000901,0,4.48,4.48,3.334,3.63,20187200
SNGSP,M,20001001,0,3.65,7.57,3.2,3.679,30515800
SNGSP,M,20001101,0,3.695,3.74,2.25,2.49,15484400
SNGSP,M,20001201,0,2.52,3.188,2.3,2.61,33910000
