Date,Value
Jan-1998,988
Feb-1998,1000
Mar-1998,1059
Apr-1998,1040
May-1998,1047
Jun-1998,1122
Jul-1998,1110
Aug-1998,1052
Sep-1998,1112
Oct-1998,1123
Nov-1998,1164
Dec-1998,1482
Jan-1999,1167
Feb-1999,1199
Mar-1999,1385
Apr-1999,1423
May-1999,1472
Jun-1999,1626
Jul-1999,1618
Aug-1999,1608
Sep-1999,1684
Oct-1999,1716
Nov-1999,1789
Dec-1999,2283
Jan-2000,1830
Feb-2000,1839
Mar-2000,2018
Apr-2000,2039
May-2000,2101
Jun-2000,2294
Jul-2000,2302
Aug-2000,2289
Sep-2000,2367
Oct-2000,2425
Nov-2000,2508
Dec-2000,3025
Jan-2001,2733
Feb-2001,2655
Mar-2001,2964
Apr-2001,2923
May-2001,3054
Jun-2001,3284
Jul-2001,3364
Aug-2001,3376
Sep-2001,3405
Oct-2001,3515
Nov-2001,3578
Dec-2001,4541
Jan-2002,3760
Feb-2002,3725
Mar-2002,4031
Apr-2002,4110
May-2002,4187
Jun-2002,4460
Jul-2002,4597
Aug-2002,4511
Sep-2002,4521
Oct-2002,4646
Nov-2002,4694
Dec-2002,5738
Jan-2003,4696
Feb-2003,4701
Mar-2003,4986
Apr-2003,5100
May-2003,5221
Jun-2003,5550
Jul-2003,5615
Aug-2003,5491
Sep-2003,5556
Oct-2003,5864
Nov-2003,5990
Dec-2003,7344
Jan-2004,5932
Feb-2004,6141
Mar-2004,6428
Apr-2004,6448
May-2004,6524
Jun-2004,7003
Jul-2004,6982
Aug-2004,6873
Sep-2004,6918
Oct-2004,6908
Nov-2004,7046
Dec-2004,8799
Jan-2005,7346
Feb-2005,7465
Mar-2005,8093
Apr-2005,8002
May-2005,8089
Jun-2005,8637
Jul-2005,8651
Aug-2005,8616
Sep-2005,8829
Oct-2005,8701
Nov-2005,8931
Dec-2005,11319
Jan-2006,9016
Feb-2006,9255
Mar-2006,9914
Apr-2006,9833
May-2006,10257
Jun-2006,11106
Jul-2006,10883
Aug-2006,10853
Sep-2006,11127
Oct-2006,11046
Nov-2006,11303
Dec-2006,14263
Jan-2007,11430
Feb-2007,11757
Mar-2007,12448
Apr-2007,12494
May-2007,12787
Jun-2007,13712
Jul-2007,13546
Aug-2007,13270
Sep-2007,13677
Oct-2007,13986
Nov-2007,14656
Dec-2007,18591
Jan-2008,14771
Feb-2008,15354
Mar-2008,16172
Apr-2008,16538
May-2008,16643
Jun-2008,17715
Jul-2008,17758
Aug-2008,17244
Sep-2008,17739
Oct-2008,17643
Nov-2008,17598
Dec-2008,21681
Jan-2009,17119
Feb-2009,17098
Mar-2009,18129
Apr-2009,18009
May-2009,18007
Jun-2009,19247
Jul-2009,18872
Aug-2009,18335
Sep-2009,18838
Oct-2009,18798
Nov-2009,19215
Dec-2009,24004
Jan-2010,18938
Feb-2010,19017
Mar-2010,20589
Apr-2010,20358
May-2010,20279
Jun-2010,21795
Jul-2010,21325
Aug-2010,20753
Sep-2010,20999
Oct-2010,20970
Nov-2010,21486
Dec-2010,28027
Jan-2011,20669
Feb-2011,20680
Mar-2011,22673
Apr-2011,22519
May-2011,22779
Jun-2011,24137
Jul-2011,23598
Aug-2011,23051
Sep-2011,23468
Oct-2011,23602
Nov-2011,24296
Dec-2011,32809
Jan-2012,23746
Feb-2012,24036
Mar-2012,25487
Apr-2012,25800
May-2012,26385
Jun-2012,27494
Jul-2012,26684
Aug-2012,25718
Sep-2012,25996
Oct-2012,26803
Nov-2012,27448
Dec-2012,36450
Jan-2013,26840
Feb-2013,26620
Mar-2013,28693
Apr-2013,30026
May-2013,29723
Jun-2013,30986
Jul-2013,30229
Aug-2013,29226
Sep-2013,29346
Oct-2013,30069
Nov-2013,30290
Dec-2013,39648
Jan-2014,29535
Feb-2014,29255
Mar-2014,31486
Apr-2014,32947
May-2014,32272
Jun-2014,33726
Jul-2014,32515
Aug-2014,30763
Sep-2014,31929
Oct-2014,32439
Nov-2014,32546
Dec-2014,42136
Jan-2015,30929
Feb-2015,31325
Mar-2015,32642
Apr-2015,34377
May-2015,34380
Jun-2015,35395
Jul-2015,33901
Aug-2015,32176
Sep-2015,32911
Oct-2015,33357
Nov-2015,33347
Dec-2015,43408
Jan-2016,32660
Feb-2016,33873
Mar-2016,35501
Apr-2016,36497
May-2016,37270
Jun-2016,38447
Jul-2016,35888
Aug-2016,35405
Sep-2016,35843
