<DATE>,<CLOSE>
19980101,5.96
19980102,5.96
19980103,5.96
19980104,5.96
19980105,5.96
19980106,5.963
19980107,5.969
19980108,5.969
19980109,5.972
19980110,5.974
19980111,5.974
19980112,5.974
19980113,5.976
19980114,5.98
19980115,5.99
19980116,5.995
19980117,5.9975
19980118,5.9975
19980119,5.9975
19980120,6.0005
19980121,6.001
19980122,6.005
19980123,6.015
19980124,6.02
19980125,6.02
19980126,6.02
19980127,6.02
19980128,6.021
19980129,6.023
19980130,6.025
19980131,6.026
19980201,6.026
19980202,6.026
19980203,6.029
19980204,6.031
19980205,6.033
19980206,6.036
19980207,6.038
19980208,6.038
19980209,6.038
19980210,6.041
19980211,6.043
19980212,6.045
19980213,6.047
19980214,6.05
19980215,6.05
19980216,6.05
19980217,6.052
19980218,6.054
19980219,6.057
19980220,6.059
19980221,6.062
19980222,6.062
19980223,6.062
19980224,6.064
19980225,6.066
19980226,6.068
19980227,6.07
19980228,6.072
19980301,6.072
19980302,6.072
19980303,6.073
19980304,6.075
19980305,6.077
19980306,6.079
19980307,6.081
19980308,6.081
19980309,6.081
19980310,6.081
19980311,6.083
19980312,6.084
19980313,6.086
19980314,6.088
19980315,6.088
19980316,6.088
19980317,6.09
19980318,6.091
19980319,6.093
19980320,6.094
19980321,6.096
19980322,6.096
19980323,6.096
19980324,6.097
19980325,6.099
19980326,6.1005
19980327,6.102
19980328,6.104
19980329,6.104
19980330,6.104
19980331,6.106
19980401,6.108
19980402,6.11
19980403,6.112
19980404,6.114
19980405,6.114
19980406,6.114
19980407,6.116
19980408,6.118
19980409,6.119
19980410,6.121
19980411,6.1225
19980412,6.1225
19980413,6.1225
19980414,6.1245
19980415,6.126
19980416,6.127
19980417,6.128
19980418,6.129
19980419,6.129
19980420,6.129
19980421,6.13
19980422,6.131
19980423,6.13
19980424,6.13
19980425,6.131
19980426,6.131
19980427,6.131
19980428,6.131
19980429,6.132
19980430,6.133
19980501,6.134
19980502,6.134
19980503,6.134
19980504,6.134
19980505,6.134
19980506,6.135
19980507,6.136
19980508,6.138
19980509,6.1395
19980510,6.1395
19980511,6.1395
19980512,6.1395
19980513,6.1415
19980514,6.143
19980515,6.144
19980516,6.1455
19980517,6.1455
19980518,6.1455
