<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
VTBR,M,20070501,000000,0.1449000,0.1749000,0.1355000,0.1448000,17895057000
VTBR,M,20070601,000000,0.1450000,0.1475000,0.1398000,0.1409000,38294046000
VTBR,M,20070701,000000,0.1409000,0.1417000,0.1348000,0.1367000,65695589000
VTBR,M,20070801,000000,0.1359000,0.1375000,0.1125000,0.1200000,167284895000
VTBR,M,20070901,000000,0.1200000,0.1261000,0.1037000,0.1149000,367364468000
VTBR,M,20071001,000000,0.1141000,0.1212000,0.1104000,0.1193000,355123643000
VTBR,M,20071101,000000,0.1201000,0.1224000,0.1052000,0.1125000,261223031000
VTBR,M,20071201,000000,0.1125000,0.1326000,0.1103000,0.1259000,609280647000
VTBR,M,20080101,000000,0.1236000,0.1252000,0.0950000,0.0986000,407467270000
VTBR,M,20080201,000000,0.1009000,0.1064000,0.0895000,0.0908000,460266242000
VTBR,M,20080301,000000,0.0887000,0.0893000,0.0785000,0.0855000,890107798000
VTBR,M,20080401,000000,0.0854000,0.0927000,0.0845000,0.0884000,950096115000
VTBR,M,20080501,000000,0.0897000,0.1033000,0.0897000,0.0973000,818985562000
VTBR,M,20080601,000000,0.0971000,0.0978000,0.0806000,0.0813000,485308272000
VTBR,M,20080701,000000,0.0814000,0.0883000,0.0791000,0.0805000,603261271000
VTBR,M,20080801,000000,0.0802000,0.0819000,0.0608000,0.0676000,491739839000
VTBR,M,20080901,000000,0.0661000,0.0722000,0.0251000,0.0505000,806949105000
VTBR,M,20081001,000000,0.0518000,0.0523000,0.0271000,0.0419000,645002155000
VTBR,M,20081101,000000,0.0425000,0.0481000,0.0278000,0.0317000,449486112000
VTBR,M,20081201,000000,0.0315000,0.0362000,0.0286000,0.0334000,316782603000
VTBR,M,20090101,000000,0.0336000,0.0357000,0.0204000,0.0220000,313362310000
VTBR,M,20090201,000000,0.0216000,0.0270000,0.0191000,0.0196000,558173848000
VTBR,M,20090301,000000,0.0192000,0.0342000,0.0190000,0.0280000,1318312185000
VTBR,M,20090401,000000,0.0279000,0.0358000,0.0273000,0.0315000,1021145512000
VTBR,M,20090501,000000,0.0321000,0.0502000,0.0319000,0.0446000,1811154008000
VTBR,M,20090601,000000,0.0458000,0.0527000,0.0292000,0.0344000,1459826829000
VTBR,M,20090701,000000,0.0346000,0.0429000,0.0299000,0.0426000,1079584966000
VTBR,M,20090801,000000,0.0435000,0.0450000,0.0403000,0.0433000,1071997540000
VTBR,M,20090901,000000,0.0435000,0.0601000,0.0411000,0.0554000,1813946876000
VTBR,M,20091001,000000,0.0563000,0.0723000,0.0531000,0.0582000,1808892696000
VTBR,M,20091101,000000,0.0574000,0.0674000,0.0540000,0.0619000,1271996868000
VTBR,M,20091201,000000,0.0624000,0.0722000,0.0622000,0.0695000,914426389000
VTBR,M,20100101,000000,0.0725000,0.0772000,0.0697000,0.0754000,788082997000
VTBR,M,20100201,000000,0.0744000,0.0776000,0.0696000,0.0738000,841717834000
VTBR,M,20100301,000000,0.0742000,0.0823000,0.0740000,0.0807000,793577992000
VTBR,M,20100401,000000,0.0812000,0.0863000,0.0755000,0.0788000,686457811000
VTBR,M,20100501,000000,0.0788000,0.0795000,0.0657000,0.0741000,770627846000
VTBR,M,20100601,000000,0.0735000,0.0807000,0.0703000,0.0754000,718635533000
VTBR,M,20100701,000000,0.0743000,0.0842000,0.0704000,0.0814000,567919185000
VTBR,M,20100801,000000,0.0822000,0.0856000,0.0759000,0.0793000,412038099000
VTBR,M,20100901,000000,0.0798000,0.0913000,0.0790000,0.0878000,615762015000
VTBR,M,20101001,000000,0.0876000,0.1056000,0.0871000,0.1012000,654931996000
VTBR,M,20101101,000000,0.1022000,0.1086000,0.0856000,0.1000000,548280470000
VTBR,M,20101201,000000,0.1005000,0.1054000,0.1000000,0.1010000,435240035000
VTBR,M,20110101,000000,0.1019000,0.1114000,0.1014000,0.1070000,354386723000
VTBR,M,20110201,000000,0.1073000,0.1106000,0.0925000,0.1012000,823982761000
VTBR,M,20110301,000000,0.1016000,0.1017400,0.0896500,0.0987000,633869800000
VTBR,M,20110401,000000,0.0986500,0.1008700,0.0870800,0.0886000,526542170000
VTBR,M,20110501,000000,0.0883000,0.0890800,0.0806400,0.0868000,494207490000
VTBR,M,20110601,000000,0.0866400,0.0900700,0.0815300,0.0859600,524292700000
VTBR,M,20110701,000000,0.0858000,0.0887300,0.0812200,0.0832300,664252140000
VTBR,M,20110801,000000,0.0847500,0.0854500,0.0637600,0.0750100,999245090000
VTBR,M,20110901,000000,0.0752000,0.0786700,0.0621000,0.0669700,781450460000
VTBR,M,20111001,000000,0.0650200,0.0752000,0.0586000,0.0733700,864534850000
VTBR,M,20111101,000000,0.0723500,0.0758500,0.0596000,0.0674000,702332100000
VTBR,M,20111201,000000,0.0680000,0.0719600,0.0573500,0.0587000,762429870000
VTBR,M,20120101,000000,0.0590300,0.0735000,0.0590300,0.0705300,788372070000
VTBR,M,20120201,000000,0.0703500,0.0749300,0.0672000,0.0724700,926197360000
VTBR,M,20120301,000000,0.0719100,0.0746700,0.0654000,0.0669500,802158890000
VTBR,M,20120401,000000,0.0674400,0.0700700,0.0621100,0.0632000,585753300000
VTBR,M,20120501,000000,0.0630900,0.0640900,0.0510700,0.0530700,584408960000
VTBR,M,20120601,000000,0.0530700,0.0585400,0.0503300,0.0570700,450437830000
VTBR,M,20120701,000000,0.0569500,0.0611300,0.0505000,0.0530300,768308430000
VTBR,M,20120801,000000,0.0529700,0.0582700,0.0522000,0.0534000,690574210000
VTBR,M,20120901,000000,0.0535000,0.0602000,0.0525200,0.0530700,944938910000
VTBR,M,20121001,000000,0.0525000,0.0562900,0.0523600,0.0545000,685509360000
VTBR,M,20121101,000000,0.0544400,0.0557200,0.0502000,0.0519300,564122850000
VTBR,M,20121201,000000,0.0522400,0.0554200,0.0519200,0.0535900,422783960000
VTBR,M,20130101,000000,0.0550000,0.0603600,0.0544600,0.0558200,618486100000
VTBR,M,20130201,000000,0.0559800,0.0584300,0.0524300,0.0558800,953617860000
VTBR,M,20130301,000000,0.0555700,0.0565900,0.0475400,0.0497000,681474740000
VTBR,M,20130401,000000,0.0496400,0.0499000,0.0430400,0.0492900,1199173720000
VTBR,M,20130501,000000,0.0488000,0.0515000,0.0436000,0.0460000,902503690000
VTBR,M,20130601,000000,0.0452300,0.0495800,0.0451100,0.0470100,771811740000
VTBR,M,20130701,000000,0.0468400,0.0482800,0.0455300,0.0466100,688418310000
VTBR,M,20130801,000000,0.0468800,0.0481100,0.0443600,0.0445000,423134720000
VTBR,M,20130901,000000,0.0448100,0.0458300,0.0424700,0.0426700,763965670000
VTBR,M,20131001,000000,0.0426000,0.0447500,0.0412100,0.0443500,1086654020000
VTBR,M,20131101,000000,0.0443100,0.0474800,0.0429700,0.0462800,1101435530000
VTBR,M,20131201,000000,0.0462300,0.0498700,0.0451500,0.0496600,875865070000
VTBR,M,20140101,000000,0.0493000,0.0496200,0.0452200,0.0454400,558103900000
VTBR,M,20140201,000000,0.0457700,0.0466300,0.0415500,0.0421300,526093450000
VTBR,M,20140301,000000,0.0400200,0.0408800,0.0297500,0.0396000,1705481050000
VTBR,M,20140401,000000,0.0398000,0.0405500,0.0366000,0.0386500,1579007530000
VTBR,M,20140501,000000,0.0385400,0.0482700,0.0382500,0.0479000,1336880630000
VTBR,M,20140601,000000,0.0478500,0.0517700,0.0406700,0.0411000,1219438970000
VTBR,M,20140701,000000,0.0411400,0.0434000,0.0386100,0.0398000,1061724840000
VTBR,M,20140801,000000,0.0395700,0.0415300,0.0371300,0.0384000,698633670000
VTBR,M,20140901,000000,0.0385500,0.0415300,0.0380300,0.0380400,533980320000
VTBR,M,20141001,000000,0.0384900,0.0401500,0.0373500,0.0399300,551892820000
VTBR,M,20141101,000000,0.0397300,0.0476900,0.0393200,0.0467000,1215445830000
VTBR,M,20141201,000000,0.0462000,0.0716500,0.0456200,0.0670000,1901605960000
VTBR,M,20150101,000000,0.0660000,0.0701500,0.0591000,0.0689400,471716520000
VTBR,M,20150201,000000,0.0692500,0.0719900,0.0633900,0.0680000,435485760000
VTBR,M,20150301,000000,0.0679900,0.0698800,0.0583700,0.0600000,380623390000
VTBR,M,20150401,000000,0.0600000,0.0655000,0.0557500,0.0655000,670517190000
VTBR,M,20150501,000000,0.0655000,0.0832000,0.0651500,0.0802500,1045799100000
VTBR,M,20150601,000000,0.0805000,0.0827700,0.0765000,0.0790000,757449780000
VTBR,M,20150701,000000,0.0787300,0.0794300,0.0708900,0.0720000,355083920000
VTBR,M,20150801,000000,0.0716100,0.0724000,0.0652000,0.0690000,297510050000
VTBR,M,20150901,000000,0.0690000,0.0708800,0.0658100,0.0677000,288637990000
VTBR,M,20151001,000000,0.0680700,0.0790000,0.0665300,0.0723500,405540540000
VTBR,M,20151101,000000,0.0720700,0.0788600,0.0706600,0.0710000,293159660000
VTBR,M,20151201,000000,0.0715800,0.0799000,0.0712400,0.0797000,348966350000
VTBR,M,20160101,000000,0.0795000,0.0795000,0.0660500,0.0737000,392767560000
VTBR,M,20160201,000000,0.0734000,0.0748500,0.0665400,0.0734000,283787260000
VTBR,M,20160301,000000,0.07348,0.07854,0.07167,0.07668,303739850000,0
VTBR,M,20160401,000000,0.07639,0.0775,0.06952,0.07005,351481170000,0
VTBR,M,20160501,000000,0.0694,0.07075,0.06716,0.0684,274461660000,0
VTBR,M,20160601,000000,0.06848,0.07359,0.0665,0.068,282574220000,0
VTBR,M,20160701,000000,0.0674800,0.0699400,0.0665400,0.0674100,152581500000
VTBR,M,20160801,000000,0.0679200,0.0689500,0.0661200,0.0684900,225224890000
VTBR,M,20160901,000000,0.0683000,0.0767900,0.0681200,0.0721000,359924360000
VTBR,M,20161001,000000,0.0720800,0.0721400,0.0668300,0.0677500,159309650000
VTBR,M,20161101,000000,0.0680600,0.0702900,0.0669900,0.0694000,234386460000
VTBR,M,20161201,000000,0.0695900,0.0763000,0.0678000,0.0740000,552652460000
