<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
comex.SI,D,19980101,000000,5.9550000,5.9900000,5.9250000,5.9550000,0
comex.SI,D,19980104,000000,5.8750000,5.9550000,5.8150000,5.9230000,0
comex.SI,D,19980105,000000,6.0200000,6.1900000,6.0150000,6.0650000,0
comex.SI,D,19980106,000000,6.0400000,6.0550000,5.9600000,6.0180000,0
comex.SI,D,19980107,000000,6.0450000,6.0500000,5.6400000,5.7730000,0
comex.SI,D,19980108,000000,5.7400000,5.7700000,5.6150000,5.6380000,0
comex.SI,D,19980111,000000,5.4900000,5.5400000,5.4050000,5.4750000,0
comex.SI,D,19980112,000000,5.5250000,5.6950000,5.5000000,5.6850000,0
comex.SI,D,19980113,000000,5.6750000,5.7600000,5.5950000,5.6880000,0
comex.SI,D,19980114,000000,5.7000000,5.8350000,5.6800000,5.8130000,0
comex.SI,D,19980115,000000,5.8400000,5.8800000,5.7550000,5.7830000,0
comex.SI,D,19980119,000000,5.7950000,5.8550000,5.6600000,5.6730000,0
comex.SI,D,19980120,000000,5.7400000,5.8150000,5.7050000,5.8030000,0
comex.SI,D,19980121,000000,5.8350000,5.8400000,5.7000000,5.7180000,0
comex.SI,D,19980122,000000,5.7500000,5.9400000,5.7150000,5.8930000,0
comex.SI,D,19980125,000000,5.8700000,5.9500000,5.8150000,5.9380000,0
comex.SI,D,19980126,000000,5.9900000,6.1100000,5.9750000,6.1030000,0
comex.SI,D,19980127,000000,5.9250000,6.0900000,5.8200000,6.0530000,0
comex.SI,D,19980128,000000,6.0900000,6.1100000,6.0000000,6.0300000,0
comex.SI,D,19980129,000000,6.0000000,6.3400000,5.9600000,6.1250000,0
comex.SI,D,19980201,000000,6.1600000,6.2600000,6.1400000,6.2480000,0
comex.SI,D,19980202,000000,6.2400000,6.6300000,6.2300000,6.6150000,0
comex.SI,D,19980203,000000,6.7800000,7.0800000,6.7100000,7.0200000,0
comex.SI,D,19980204,000000,7.4000000,7.4000000,6.8800000,7.2800000,0
comex.SI,D,19980205,000000,7.2700000,7.2850000,7.0300000,7.0600000,0
comex.SI,D,19980208,000000,6.9900000,7.1150000,6.9300000,6.9450000,0
