<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
comex.GC,D,19980102,000000,289.4000000,289.9000000,288.6000000,289.4000000,0
comex.GC,D,19980105,000000,288.2000000,288.2000000,281.8000000,282.7000000,0
comex.GC,D,19980106,000000,283.3000000,285.5000000,282.2000000,282.3000000,0
comex.GC,D,19980107,000000,282.8000000,284.8000000,282.1000000,284.7000000,0
comex.GC,D,19980108,000000,283.8000000,284.0000000,279.0000000,281.8000000,0
comex.GC,D,19980109,000000,281.8000000,282.6000000,279.0000000,279.1000000,0
comex.GC,D,19980112,000000,279.0000000,280.4000000,278.4000000,278.9000000,0
comex.GC,D,19980113,000000,280.3000000,284.2000000,280.0000000,283.8000000,0
comex.GC,D,19980114,000000,285.8000000,286.3000000,282.0000000,282.4000000,0
comex.GC,D,19980115,000000,283.0000000,287.3000000,282.8000000,286.4000000,0
comex.GC,D,19980116,000000,288.5000000,296.6000000,288.4000000,291.1000000,0
comex.GC,D,19980120,000000,291.3000000,293.5000000,289.1000000,291.3000000,0
comex.GC,D,19980121,000000,292.5000000,293.5000000,290.9000000,293.3000000,0
comex.GC,D,19980122,000000,295.0000000,296.3000000,290.4000000,291.3000000,0
comex.GC,D,19980123,000000,292.2000000,301.0000000,291.2000000,300.3000000,0
comex.GC,D,19980126,000000,304.0000000,304.2000000,296.7000000,297.1000000,0
comex.GC,D,19980127,000000,299.7000000,300.9000000,299.0000000,300.7000000,0
comex.GC,D,19980128,000000,298.5000000,306.0000000,297.0000000,306.0000000,0
comex.GC,D,19980129,000000,305.0000000,306.6000000,302.0000000,302.8000000,0
comex.GC,D,19980130,000000,302.5000000,305.0000000,300.6000000,302.9000000,0
comex.GC,D,19980202,000000,302.7000000,303.5000000,301.6000000,303.4000000,0
comex.GC,D,19980203,000000,300.3000000,301.0000000,294.7000000,295.8000000,0
comex.GC,D,19980204,000000,296.3000000,300.5000000,296.3000000,300.0000000,0
comex.GC,D,19980205,000000,305.5000000,305.5000000,296.8000000,299.5000000,0
comex.GC,D,19980206,000000,299.7000000,300.5000000,298.8000000,298.8000000,0
comex.GC,D,19980209,000000,301.3000000,302.3000000,300.6000000,300.6000000,0
comex.GC,D,19980210,000000,302.3000000,302.3000000,301.0000000,301.2000000,0
comex.GC,D,19980211,000000,300.0000000,301.2000000,300.0000000,300.7000000,0
comex.GC,D,19980212,000000,300.7000000,300.7000000,299.0000000,299.3000000,0
comex.GC,D,19980213,000000,300.2000000,300.6000000,300.1000000,300.6000000,0
comex.GC,D,19980217,000000,300.2000000,300.8000000,297.9000000,298.6000000,0
comex.GC,D,19980218,000000,299.0000000,299.4000000,298.2000000,298.2000000,0
comex.GC,D,19980219,000000,298.5000000,300.0000000,298.0000000,298.4000000,0
comex.GC,D,19980220,000000,299.1000000,299.2000000,298.0000000,298.1000000,0
comex.GC,D,19980223,000000,296.8000000,296.9000000,293.5000000,294.7000000,0
comex.GC,D,19980224,000000,293.7000000,293.9000000,291.8000000,292.7000000,0
comex.GC,D,19980225,000000,293.9000000,294.2000000,292.4000000,293.1000000,0
comex.GC,D,19980226,000000,293.4000000,295.6000000,293.2000000,295.4000000,0
comex.GC,D,19980227,000000,298.7000000,301.2000000,297.2000000,300.1000000,0
comex.GC,D,19980302,000000,301.3000000,301.3000000,298.7000000,300.5000000,0
comex.GC,D,19980303,000000,298.2000000,299.1000000,297.0000000,298.5000000,0
comex.GC,D,19980304,000000,298.5000000,298.7000000,295.8000000,296.8000000,0
comex.GC,D,19980305,000000,295.3000000,295.6000000,293.7000000,294.1000000,0
comex.GC,D,19980306,000000,294.8000000,296.3000000,294.5000000,295.2000000,0
comex.GC,D,19980309,000000,294.6000000,295.4000000,294.1000000,295.0000000,0
comex.GC,D,19980310,000000,295.1000000,296.6000000,294.8000000,296.5000000,0
comex.GC,D,19980311,000000,295.1000000,295.4000000,294.6000000,295.1000000,0
comex.GC,D,19980312,000000,294.8000000,295.3000000,294.3000000,295.1000000,0
comex.GC,D,19980313,000000,295.7000000,296.2000000,294.9000000,295.9000000,0
comex.GC,D,19980316,000000,294.7000000,295.4000000,294.4000000,295.1000000,0
comex.GC,D,19980317,000000,294.5000000,294.8000000,292.0000000,292.3000000,0
comex.GC,D,19980318,000000,289.2000000,292.0000000,288.7000000,291.6000000,0
comex.GC,D,19980319,000000,291.7000000,292.8000000,291.3000000,292.1000000,0
comex.GC,D,19980320,000000,291.7000000,293.7000000,291.3000000,292.2000000,0
comex.GC,D,19980323,000000,294.3000000,300.0000000,293.3000000,299.5000000,0
comex.GC,D,19980324,000000,301.0000000,302.5000000,299.5000000,299.9000000,0
comex.GC,D,19980325,000000,298.4000000,300.6000000,298.0000000,299.4000000,0
comex.GC,D,19980326,000000,299.9000000,302.1000000,299.7000000,301.8000000,0
comex.GC,D,19980327,000000,302.5000000,305.0000000,301.5000000,303.1000000,0
comex.GC,D,19980330,000000,302.4000000,303.5000000,301.0000000,301.4000000,0
