<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NYMEX.PL,D,20070903,000000,1270.6000000,1270.8000000,1270.4000000,1270.8000000,0
NYMEX.PL,D,20070904,000000,1270.9000000,1281.0000000,1270.8000000,1274.0000000,584
NYMEX.PL,D,20070905,000000,1276.5000000,1282.1000000,1271.0000000,1274.0000000,437
NYMEX.PL,D,20070906,000000,1274.0000000,1292.0000000,1274.0000000,1288.5000000,1104
NYMEX.PL,D,20070907,000000,1290.0000000,1300.0000000,1286.9000000,1290.0000000,1357
NYMEX.PL,D,20070910,000000,1296.9000000,1302.0000000,1292.0000000,1293.0000000,419
NYMEX.PL,D,20070911,000000,1295.0000000,1308.0000000,1294.0000000,1304.3000000,800
NYMEX.PL,D,20070912,000000,1304.0000000,1308.5000000,1300.9000000,1304.3000000,829
NYMEX.PL,D,20070913,000000,1305.0000000,1308.8000000,1296.1000000,1300.0000000,1022
NYMEX.PL,D,20070914,000000,1298.1000000,1303.0000000,1288.5000000,1297.5000000,921
NYMEX.PL,D,20070917,000000,1303.5000000,1305.0000000,1295.0000000,1302.0000000,666
NYMEX.PL,D,20070918,000000,1301.5000000,1310.0000000,1301.0000000,1306.7000000,589
NYMEX.PL,D,20070919,000000,1310.0000000,1314.7000000,1303.2000000,1307.0000000,577
NYMEX.PL,D,20070920,000000,1306.1000000,1329.9000000,1306.1000000,1327.0000000,2087
NYMEX.PL,D,20070921,000000,1328.0000000,1344.2000000,1326.1000000,1330.0000000,1089
NYMEX.PL,D,20070924,000000,1328.1000000,1346.4000000,1325.0000000,1343.4000000,905
NYMEX.PL,D,20070925,000000,1343.5000000,1353.5000000,1333.0000000,1351.5000000,1102
NYMEX.PL,D,20070926,000000,1351.5000000,1355.0000000,1347.3000000,1347.5000000,798
NYMEX.PL,D,20070927,000000,1346.0000000,1367.0000000,1344.5000000,1367.0000000,468
NYMEX.PL,D,20070928,000000,1364.0000000,1395.5000000,1364.0000000,1391.6000000,140
NYMEX.PL,D,20071001,000000,1407.5000000,1407.5000000,1382.0000000,1396.2000000,101
NYMEX.PL,D,20071002,000000,1357.7000000,1368.0000000,1350.0000000,1350.0000000,38
NYMEX.PL,D,20071003,000000,1366.0000000,1366.0000000,1359.0000000,1363.9000000,5
NYMEX.PL,D,20071004,000000,1379.5000000,1379.9000000,1376.0000000,1376.0000000,23
NYMEX.PL,D,20071005,000000,1384.0000000,1389.8000000,1384.0000000,1389.8000000,3
NYMEX.PL,D,20071008,000000,1372.7000000,1375.2000000,1372.6000000,1375.2000000,6
NYMEX.PL,D,20071009,000000,1369.5000000,1381.0000000,1362.0000000,1379.9000000,850
NYMEX.PL,D,20071010,000000,1379.0000000,1402.0000000,1376.0000000,1395.0000000,1236
NYMEX.PL,D,20071011,000000,1397.0000000,1425.3000000,1390.0000000,1415.0000000,1387
